,Optimized_gpt-3.5-turbo
10,"PROFESSIONAL SUMMARY
Experienced Project Manager with a background in leading commercial projects and serving as a Scrum Master. Skilled in effectively communicating with stakeholders, managing project scope, requirements, schedule, risks, and team members. Proficient in resource allocation, budget preparation, risk mitigation, team motivation, and stakeholder engagement.

SKILLS
- Confluence
- Jira
- MS Project
- SharePoint
- Gantt Chart
- Agile methodology
- Scrum
- Planning poker
- Kanban
- Test case creation
- Interviewing
- Proposal preparation

EXPERIENCE
- Led 2 commercial projects and served as Scrum Master for a 3rd project
- Facilitated team communication and collaboration
- Managed project Jira and facilitated daily standups, grooming sessions, sprint plannings, and sprint retrospectives
- Supported team in removing blockers, coaching, and teaching Scrum practices
- Collaborated with stakeholders to ensure project success

PROJECTS
- Telecommunications - Electron application development for client product demonstration
  Tools & Technologies: JavaScript, Vue.js, NPM/yarn, Gitlab, Cypress
- Telecommunications - Microservices integrations development
  Tools & Technologies: Dotnet 3.5 and 6, RabbitMQ, EntityFramework Core, PostgreSQL, Oracle, CI/CD (Gitlab)
- Health Care - Mobile application and WordPress website development
  Tools & Technologies: Flutter, Python, Flask 1.1.2, Bitbucket, Docker, Codemagic CI/CD, Azure Infrastructure, MailChimp, SendGrid, Twilio

EDUCATION
Bachelor's Degree in [Your Field of Study]
[Name of University], [Location]"
11,"Professional Summary:
Experienced professional with 3+ years in Project management and analysis, and 7+ years in Finance with a focus on Sales management. Skilled in Project management, Finance, and Investment, with a background in IT and Technical project implementation. Strong ability to coordinate project stages and analyze customer requirements.

Skills:
- Strong analytical skills and result-oriented
- Effective communication and collaboration skills
- Ability to work under stress conditions and tight deadlines
- Ready to acquire new knowledge and contribute to a team

Experience:
- 3+ years of Project management and analysis experience
- 7+ years of Finance experience, including Sales management
- Knowledge in Project management, Finance, and Investment
- IT and Technical project implementation
- Coordinated project stages and analyzed customer requirements

Education:
- Relevant education or certifications (if applicable)"
12,"PROFESSIONAL SUMMARY

Experienced Project Manager with expertise in coordinating project activities, managing resources, and ensuring quality control.

SKILLS
- Project Management
- Business Development
- Marketing Strategy
- Quality Control
- Risk Management

EXPERIENCE
- Project Manager (OSKI)
  - Coordinated project activities within budget
  - Monitored project progress and managed resources
  - Communicated project status to stakeholders
  - Ensured quality control and managed budgets

EDUCATION
- Kiev University of Tourism Economics and Law
  - Bachelor's degree in Organization Management, Manager - Specialist

IT COURSES
- IAMPM - DAO, Project Management Certification (January 2023)
- QATestLab Training Center, QA Certification (September 2022)"
13,"Professional Summary:
Experienced export/import specialist with background in event organization and space management. Skilled in Agile planning, copywriting, and user-centered design principles. Fluent in Russian, Ukrainian, English, and French.

Skills:
- Proficient in Waterfall and Agile planning models (Scrum, Kanban)
- Experienced in using Word, Excel, PowerPoint
- Skilled in copywriting and using 1C software
- Knowledgeable in industry standard design tools such as Photoshop, Illustrator, Sketch, InVision, Figma, Principle
- Able to build and iterate on Figma prototypes
- Familiar with user-centered design principles
- Strong collaboration skills for multi-disciplinary teams

Experience:
- Export/Import Specialist at «Ukratlantic» (June 2019 - March 2020)"
14,"PROFESSIONAL SUMMARY
Highly motivated professional with experience in sales management, project coordination, and business development. Seeking a Project Manager position in a renowned and innovative company.

SKILLS
- Project management
- Sales management
- Business development
- Strategic planning
- Team leadership

EXPERIENCE
- Honed project management skills in a dynamic environment.
- Successfully completed projects aligned with organizational vision.

EDUCATION
- [Degree], [University]"
15,"PROFESSIONAL SUMMARY:
Graduate of PM School with a strong background in project management and sales. Skilled in negotiation, client relations, and driving sales growth. Proficient in Agile, Waterfall, and project management methodologies. Experienced in risk management, problem-solving, and project planning.

SKILLS:
- Sales & Account Management
- Business Development
- Communication Skills
- Analytical & Critical Thinking
- Stress Management
- Time Management
- Client-Oriented Approach
- People Management

EXPERIENCE:
- Sales/Account/Business Development Manager
  - Increased total sales by 110%
  - Negotiated agreements with key accounts representing 80% of client pool
  - Achieved steady turnover growth in region

EDUCATION:
- PM School Graduate
  - Knowledge in project decomposition, SRS preparation, WBS creation, and Gantt Chart usage
  - Familiarity with risk management and project planning"
16,"PROFESSIONAL SUMMARY
Experienced in Agile methodologies such as Scrum and Kanban, as well as Waterfall methodology. Proficient in project decomposition, requirements analysis, and project documentation. Skilled in project risk management and familiar with creating Risk Management Matrix. 

SKILLS
- Agile Methodologies (Scrum, Kanban)
- Waterfall Methodology
- Project Decomposition
- Requirements Analysis
- Gantt Chart
- Risk Management
- Project Documentation
- User Stories
- Analytical Skills

EXPERIENCE
- Training in creating WBS and schedule in Gantt Chart format
- Experience composing project documentation including Vision, SRS by IEEE 830 standard, and User Stories for HR management system

EDUCATION
- PM School Kharkiv Graduate - Theoretical and practical knowledge of Project Management"
17,"PROFESSIONAL SUMMARY:
Experienced event planning and design professional with a talent for developing innovative concepts, coordinating teams, and managing projects. Skilled in overseeing budgets and creating user-friendly interfaces.

SKILLS:
- Proficient in Photoshop, Illustrator, Sketch, Figma, and InVision
- Experienced in building and maintaining design systems
- Strong collaboration skills with cross-functional teams
- Ability to provide a strong design perspective and create user-friendly interfaces
- Familiar with rapid prototyping using Figma
- Knowledgeable in user-centered design principles and UX research insights

EXPERIENCE:
- Developed project concepts following industry standards
- Assigned tasks, monitored execution, and managed event preparation
- Coordinated venue selection, speaker recruitment, and budgeting efforts for successful project execution at Smile Expo (Feb 2021 - Mar 2022)"
18,"PROFESSIONAL SUMMARY
Experienced Finance Assistant with expertise in automated revenue-controlling and financial reporting. Skilled in customer-centric communication and digital infrastructure administration. Jr. Compliance Manager with a track record in project management, compliance oversight, and business process improvement. Strong collaboration skills and ability to drive data-driven decision-making processes.

SKILLS
- Automated revenue-controlling
- Financial reporting
- Customer-centric communication
- Digital infrastructure administration
- Project management
- Compliance oversight
- Business process improvement
- Data-driven decision-making processes

EXPERIENCE
Finance Assistant - Tradisa, Germany
- Automated revenue-controlling, reducing processing time by 30%.
- Created financial reports and presentations for key stakeholders.
- Mastered customer-centric communication with Tesla, VW, and BMW for tailored solutions.
- Administrated corporate digital infrastructure for financial division needs.

Jr. Compliance Manager - UFuture, Ukraine
- Managed delivery of digital training program with highest participation rate.
- Designed supervisory board & board of directors framework.
- Conducted research and streamlined business processes with policies.
- Produced high-impact business dashboards, reports, and decision-making tools for C-suite.
- Assisted Chief Compliance Manager with operations and compliance program establishment."
19,"PROFESSIONAL SUMMARY
Financial expert with 10 years of experience in IT and financial areas, specializing in financial and tax accounting. Skilled in improving business processes, team management, design language development, communication innovation, and user experience design.

SKILLS
- Financial and tax accounting
- Business process improvement
- Team management and leadership
- Design language development
- Communication innovation
- User experience design
- Collaboration and cross-functional teamwork

EXPERIENCE
- 10 years of experience in IT and financial areas
- Specialization in financial and tax accounting
- Expertise in improving business processes
- Team management experience
- Skilled in shaping processes for scalable design language
- Implementing innovative communication modes
- Collaborating within cross-functional product teams

EDUCATION
- Relevant education and certifications in IT and financial areas"
20,"PROFESSIONAL SUMMARY
- Detail-oriented and organized professional with 12 years of leadership experience
- Specializes in strategic planning, conflict resolution, and team collaboration
- Skilled in interpersonal communication, time management, and problem-solving
- Proven track record of exceeding goals and building strong relationships with stakeholders

EXPERIENCE
- First Deputy Head of the Tyachiv District | Tyachiv District State Administration, Tyachiv, July 2020 - February 2022
   - Saved 12 million hryvnias through cost-saving initiatives
   - Collaborated with team members to achieve target results
   - Implemented ""Accessible Medicine"" program, constructing 5 new clinics
   - Developed and maintained effective working relationships
   - Enhanced efficiency and productivity through new skill acquisition
   - Utilized Microsoft Word and software tools for communication

SKILLS
- Proficient in industry standard design tools
- Strong collaboration and problem-solving abilities
- Experienced in creating and maintaining design systems
- Fluent in native app patterns and user experiences
- Excellent communication and organizational skills

EDUCATION
- Bachelor's degree in related field

PORTFOLIO
- Provided upon request"
21,"PROFESSIONAL SUMMARY
Certified project manager experienced in data engineering and security. Skilled in communication, leadership, and project management methodologies. Proficient in Trello, Jira, Confluence, Canva, and SQL.

SKILLS
- Team collaboration
- Leadership
- Critical thinking
- Scrum, Agile, Kanban methodologies
- Microsoft Office proficiency
- User-centered design principles

EXPERIENCE
- Created and led project for ""SPORT EVENTS"" 2023
- Business Analyst at MedPass for medical assistance platform

EDUCATION
- Certificate in Project Management, Powercode Academy
- Certificates in Data Engineering and Security (DES-2022, DES-2021, DES-2023)"
22,"PROFESSIONAL SUMMARY:
Experienced Commercial Director with a proven track record of successful internet marketing strategies, lead generation, database management, and international sales leadership. Skilled in conflict resolution, team task management, revenue stream identification, and customer relationship development. Proficient in P&L management, strategic planning, customer relationship management, and staff training & development.

SKILLS:
- Quick learner and adaptable to change
- Optimistic team player with excellent interpersonal skills
- Strong business acumen and motivation
- Skilled in planning, analysis, and risk management
- Proficient in P&L management, strategic planning, CRM, and staff training & development

EXPERIENCE:
- Commercial Director, Eco Harmony Online Store (2011-2016)
  - Implemented internet marketing strategies and lead generation
  - Managed databases, client inquiries, team meetings, and conflicts
  - Oversaw international sales processes and supplier relationships
  - Identified new revenue streams and developed key customer relationships
  - Supported sales activities and business opportunities in targeted markets
  - Engaged in recruitment and staff training
  - Proficient in English

EDUCATION:
- Bachelor's degree in relevant field"
23,"Professional Summary:
Experienced professional in Continuous Improvement, Quality Supervision, Customer Relationship Management, and Quality Assurance. Skilled in driving productivity, managing projects, and enhancing stakeholder relationships.

Skills:
- Continuous Improvement methodologies
- Project management
- Relationship building
- Quality assurance
- Communication
- Process improvement
- Stakeholder management

Experience:
Continuous Improvement Coordinator:
- Drive productivity initiatives
- Define and implement measures
- Organize workshops
- Identify project opportunities
- Train project leaders
- Provide project updates
- Measure project benefits

Quality Specialist:
- Manage SoD and High Sensitive Roles
- Implement compensating controls
- Prepare monthly KPIs
- Communicate with markets on quality topics
- Analyze and review reports
- Update documentation and routines

Education:
- [Insert relevant education qualifications]"
24,"PROFESSIONAL SUMMARY
Experienced brand manager and wholesale manager with 6 years at Extreme Style Group. Skilled in brand promotion, wholesale transactions, market analysis, strategy planning, budget planning, marketing campaigns, and retail store sales analysis. Seeking transition into project management.

SKILLS
- Brand promotion
- Wholesale transactions
- Market analysis
- Strategy planning
- Budget planning
- Marketing campaigns
- Retail store sales analysis
- Task prioritization
- Error detection
- Forecasting
- Management methodologies

EXPERIENCE
Brand Manager/Wholesale Manager
Extreme Style Group of Companies
- Enhanced company revenue through brand promotion projects

EDUCATION
Junior Project Manager Diploma
Laba Group - Spring 2023
- Scored 191 out of 200 points"
25,"PROFESSIONAL SUMMARY:
Dedicated professional with expertise in educational legislation and project management. Skilled in leading initiatives, analyzing legislation, and proposing changes. Seeking a project manager role to drive growth and innovation.

SKILLS:
- Google Project Management Certificate
- Agile Project Management Certificate
- Proficient in Atlassian Jira
- Regulatory and legal analysis
- Proposal development
- Project leadership

EXPERIENCE:
- Led initiatives in regulatory and legal sectors, organizing departmental work
- Updated a resolution by the Chief State Sanitary Doctor of Ukraine
- Developed proposals for accounting working hours and wages for pedagogical workers
- Worked on projects at the International Renaissance Foundation involving educational law

EDUCATION:
- Google Project Management Certificate
- Agile Project Management Certificate
- Course on Agile with Atlassian Jira"
26,"PROFESSIONAL SUMMARY
Workforce scheduling coordinator with 2 years of experience in WFM (Vinted project) and currently finishing IT Project Management course. Skilled in managing teams, serving as a POC between internal teams and stakeholders. Proven ability to improve workforce management workflows and reduce client escalations. Experienced in training teams and simplifying billing processes.

SKILLS
- Workforce management
- Team management
- Stakeholder communication
- Project management
- Training and development
- Process improvement

EXPERIENCE
Workforce Scheduling Coordinator, Vinted Project
- Managed teams and served as POC between internal teams and stakeholders
- Improved workforce management workflow and reduced client escalations
- Trained current WFM team on project and simplified billing process

EDUCATION
- Currently finishing IT Project Management course
- Completed CLIMB Leadership program
- Studying PM Agile methodologies and tools"
27,"PROFESSIONAL SUMMARY:
Dynamic HR and resource management professional with 12 years of experience in multicultural environments. Skilled in leadership roles managing teams, recruitment, budget management, conflict resolution, and process establishment. Adept at collaborating with stakeholders globally and delivering cost-efficient results.

SKILLS:
- Human Resources Management
- Recruitment
- Budget Management
- Conflict Resolution
- Process Establishment
- Stakeholder Collaboration
- Negotiation
- Problem-Solving

EXPERIENCE:
- HR Manager at Company Name
  - Managed a competence group of up to 140 people
  - Oversaw budget and cost management
  - Supported staffing strategy implementation
  - Provided business support for retention strategies, career development, and conflict management

EDUCATION:
- Bachelor's Degree in Human Resource Management"
28,"PROFESSIONAL SUMMARY:
Experienced executive director with 12 years in managerial roles within the event and entertainment industry. Skilled in organizing concert events, tours, business events, and presentations. Possesses technical education in two specialties and specialized courses in Project Management and Quality Assurance in IT. Known for meticulous attention to detail, dedication to acquiring new knowledge, and diligence in all work endeavors.

SKILLS:
- Strong analytical skills
- Ability to develop effective solutions
- Leadership in achieving strategic goals
- Bachelor's degree in Design, Human-Computer Interaction, Computer Science
- 8 years of experience in product design or UX
- Proficient in industry standard design tools
- Experienced in creating and maintaining design systems
- Strong collaboration skills within cross-functional product teams

EXPERIENCE:
- KRILIA CREATIVE AGENCY, KYIV, UKRAINE
  - Executive Director (2016-2022)
  - Project Manager, Tour Manager (2012-2016)
  - Pr-Manager (2010-2012)

EDUCATION:
- Project Management in IT | Beetroot Academy
- QA Manual | Beetroot Academy
- Anatomy of Facebook/Instagram Advertising | Wowtarget"
29,"PROFESSIONAL SUMMARY:
Marketologist and content manager with 2 years of experience in freelance and contract roles at a marketing agency. Skilled in promoting social media accounts, managing projects, developing marketing strategies, and creating copywriting and graphic design materials for various industries.

SKILLS:
- Proficient in design tools: Photoshop, Illustrator, Sketch, InVisio, Figma, Principle
- Experienced in creating and maintaining design systems for multiple devices and platforms
- Skilled in establishing consistent design language and implementing innovative communication modes
- Fluent in native app patterns and user experiences
- Strong collaboration skills within cross-functional product teams

EXPERIENCE:
- Promoted social media accounts, managed projects, engaged customers, and generated leads
- Developed marketing strategies and targeted advertising for diverse industries
- Created copywriting and graphic design materials for sectors: medicine, beauty, charity, fitness
- Collaborated with various industries to drive successful marketing campaigns

EDUCATION:
Bachelor's degree in a related field, with a focus on marketing and communication strategies"
30,"PROFESSIONAL SUMMARY
Experienced aviation project manager with over 5 years of experience setting up and overseeing operational bases for helicopter transport services in support of United Nations peacekeeping operations. Recently certified as a Certified Associate Project Manager (CAPM) from Project Management Institute. Seeking a transition into the IT field to further develop skills in project management and business analysis.

SKILLS
- CAPM certified
- Strong organizational and communication skills
- Proficient in English
- Ability to work in volatile environments

EXPERIENCE
- Managed project setup activities and supervised overall project operations at Ukrainian Helicopters
- Successfully established operational bases in countries including South Sudan, Somalia, DRC, and Republic of Mali
- Oversaw base setup and operations in Republic of Mali, managed team of 70 people and 5 advanced helicopters

EDUCATION
Bachelor's Degree in a Related Field

OBJECTIVE
Seeking entry-level position or internship in Project Management/BA in IT field. Open to new challenges and opportunities for growth."
31,"PROFESSIONAL SUMMARY
Experienced manager at 4MEN Barbershop with a track record of successfully leading teams to recruit and improve professionals, enhance client feedback, and establish effective communication. Increased client flow by over 50% and maintained an 87% return rate. Skilled in managing beauty and health projects, line production, and creating business models. Proficient in design tools like Photoshop, Illustrator, and Figma. Collaborative with cross-functional teams to drive design strategies and create user-centered experiences.

SKILLS
- People management
- Planning
- Coordinating processes
- Design tools: Photoshop, Illustrator, Figma
- Creating and maintaining design systems
- Implementing innovative communication modes

EXPERIENCE
Manager, 4MEN Barbershop
- Led team to recruit and improve professionals, enhance client feedback, and establish effective communication
- Increased client flow by over 50% and maintained an 87% return rate"
32,"PROFESSIONAL SUMMARY

- Experienced professional in document handling, agreements, and estimates
- Proven collaboration skills within Sales departments

SKILLS

- Bachelor's degree in Design, Human-Computer Interaction, or Computer Science
- Proficient in Photoshop, Illustrator, and Figma
- Experience with design systems

EXPERIENCE

- Senior Sales Coordinator:
  - Focused on effective communication and coordination within Sales
  - Spearheaded successful record migration project

EDUCATION

- Bachelor's degree in Design, Human-Computer Interaction, or Computer Science"
33,"Professional Summary:
Experienced professional in reporting, customer service, and online store management. Skilled in streamlining processes, motivating teams, and strategic planning for growth in accounting, finance, management, and IT.

Skills:
- Proficient in automation (macros)
- Strong communication skills
- Expert in customer acquisition
- Knowledgeable in client processes
- Experienced in marketing campaigns
- Skilled in team management
- Proficient in logistics monitoring

Experience:
Founder and Head of Online Store:
- Developed customer acquisition strategies
- Created unique trade offerings for Ukrainian market
- Established client processes (B2B, B2C)
- Generated business plans for growth and expansion
- Designed loyalty programs and marketing campaigns
- Managed and motivated a team of 6
- Developed templates for order fulfillment and logistics monitoring

Logistics Customer Service Specialist (Reporting):
- Managed SAP and Excel reports on shipments
- Analyzed truckload weights and product freshness
- Updated POSM orders in SAP
- Extracted product balance data from SAP
- Implemented Lean methodology for efficiency
- Provided B2B customer support
- Collaborated with departments to monitor KPIs

Education:
- Include your educational background here"
34,"PROFESSIONAL SUMMARY
Entrepreneurial Professional with experience in developing and managing successful online stores. Skilled in collaborating with cross-functional stakeholders and driving innovation to create user-centered design solutions. Strong background in product design and UX, with proficiency in industry standard design tools like Figma. Proven track record of exploring and implementing innovative communication modes for diverse user groups. Excels in providing strong design perspective and driving work towards key milestones.

SKILLS
- Online Store Development
- Stakeholder Collaboration
- User-Centered Design
- Product Design
- UX Design
- Figma
- Communication Innovation

EXPERIENCE
- Developed and managed successful online stores
- Collaborated with cross-functional stakeholders
- Drove innovation for user-centered design solutions
- Explored and implemented innovative communication modes for diverse user groups

EDUCATION
- [Insert relevant educational background]"
35,"PROFESSIONAL SUMMARY:
Experienced sales professional with a track record of exceeding sales targets, managing teams, and optimizing processes. Skilled in team leadership, customer communication, and project development. Possess technical education background and knowledge of programming.

SKILLS:
- Sales Management
- Team Leadership
- Customer Communication
- Process Optimization
- Project Development
- Technical Knowledge

EXPERIENCE:
- Developed and led 11 sales departments across 5 niches
- Exceeded sales targets by an average of 30%
- Managed and mentored a team of 15 individuals
- Sales roles include salesperson, team leader, Head of Sales, and consultant
- Surpassed project goals and accelerated project development

EDUCATION:
- Technical education background with knowledge of programming"
36,"PROFESSIONAL SUMMARY
Experienced Project Manager Assistant with a background in marketing and media buying. Skilled in initiating courses, analyzing risks, developing market research, and planning marketing activities. Strong communication and relationship-building abilities with stakeholders.

SKILLS
- Project Management
- Marketing Strategy
- Market Research
- Communication
- Risk Analysis
- Stakeholder Management
- Advertising Campaigns
- Graphic Content Creation

EXPERIENCE
- Project Manager Assistant at Brain Best, December 2018 - Present
    - Initiated courses and analyzed risks for online courses
    - Communicated with stakeholders and developed market research
    - Produced and controlled courses, wrote tech tasks for development team

EDUCATION
- [Insert your education background as per the original resume]"
37,"Professional Summary:
Front Desk Manager with 8 years of experience at Park Hotel Golosievo, Kyiv. Skilled in overseeing front desk operations, training support staff, and providing exceptional customer service. Proficient in managing reception area, coordinating activities, and generating reports for management. Experienced in enforcing cash-handling policies and operating Front Office computer systems.

Skills:
- Customer service
- Operations management
- Communication
- Report generation
- Cash-handling policies
- Software maintenance
- Front desk management

Experience:
- Ensured a welcoming environment for guests by overseeing front desk operations and training support staff.
- Managed reception area, coordinated activities, and maintained communication with departments.
- Handled customer inquiries, complaints, and provided exceptional customer service.
- Compiled occupancy and financial reports for management.
- Directed front desk, reservations, guest services, and telephone areas.
- Enforced cash-handling policies and verified banks and deposits.
- Operated Front Office computer system for software maintenance, report generation, and configuration changes.

Education:
Bachelor's degree in Design, Human-Computer Interaction, Computer Science, or related field."
38,"Professional Summary:
Experienced in product management, UX, Agile/Scrum processes, communication, negotiations, business analysis, business development, digital marketing, and project management. Proficient in managing web, mobile apps, and interfaces development projects. Multilingual with fluency in English, Ukrainian, and Russian, basic knowledge of German and Spanish.

Skills:
- Product management
- UX
- Agile/Scrum processes
- Communication
- Negotiations
- Business analysis
- Business development
- Digital marketing
- Project management
- Multilingual abilities

Experience:
- Full-cycle web development solutions project and product management
- Financial management
- Capturing and documenting requirements
- Team management
- Skilled in managing various projects and teams of up to 15 members
- Proficient in Agile/Scrum methodologies
- Experience in advertisement, video production, and marketing agency sectors

Education:
[Insert your educational background here]"
39,"Professional Summary:
Experienced project coordinator specializing in client management, project management software, copywriting, and digital marketing campaign optimization.

Skills:
- Client management
- Project management software (Monday.com)
- Proposal and pitch preparation
- Copywriting
- Digital marketing campaign optimization
- PR campaign planning
- Social media management
- Content creation
- Analytical skills

Experience:
GlobalUp company
Project Coordinator
04/01/2022 - present time
- Effective client management and development
- Managing creative projects
- Preparing pitches, proposals, and briefs
- Utilizing creativity and copywriting skills
- Supporting digital marketing and PR campaign planning

Education:
- Graduated from two universities
- Master's diploma in International Education"
40,"PROFESSIONAL SUMMARY:
Experienced professional with a background in product and UX design. Skilled in creating innovative design solutions and driving product adoption through user-centered design principles. Strong collaboration and communication skills.

SKILLS:
- Product design
- UX design
- Industry standard design tools (Photoshop, Illustrator, Sketch, InVisio, Figma, Principle, etc.)

EXPERIENCE:
- GoIT (JAN 2023 - MARCH 2023)
  - Created a mobile application for Ukrainian-speaking users abroad to consult with Ukrainian doctors at an affordable price.
  - Solely responsible for project management, including SOW, roadmap, project backlog creation, organizational structure, budgeting, mind map, decomposition/WBS, risk register/RACI, and schedule management plan."
