,CV
10,"I am a graphic designer currently pursuing my education at Kharkiv National University of Radio Electronics, specializing in Publishing and Printing at the Department of Media Systems and Technologies. I have also taken courses from Genius.Space in ""Web Design"" and ""UX/UI Design"".

Attention to detail and the ability to structure information help me to create clear action plans, which is an important aspect of being a UX designer. Continuous learning and practice develop my skills related to visualization and graphic elements (UI).

Design is more than just a job for me; it is my life, my oxygen. This attitude towards my profession motivates me to approach tasks with quality and discipline.

Soft skills: 

- teamwork;
- empathy;
- enjoyment of work;
- punctuality and discipline.

Graphic editors: 

- figma;
- adobe illustrator;
- adobe photoshop;
- blender;
- autoCAD.
I have some experience in commercial projects, particularly in creating a set of business cards for a tattoo artist who is currently working abroad. Additionally, I have worked on various projects including website designs, brochures, presentations, and logos.
"
11,"My design journey began 10 ago since the College of Arts. 
I’ve been lucky to work with various clients from Europe and USA. The projects I took part in range from a large Enterprise with more than 250,000 employees to an e-Commerce and SaaS.

I’m very well aware of the lifecycle of IT products, the processes, and methodologies of its development. I have the experience of leading creative teams, communicating directly with a client, elicit requirements, provide design solutions, defend and iterate on them.

Here are some things that make me different:

•  I have worked with an enterprise size company with more than 250,000 employees around the world which is the part of Big Four accounting firms.
•  I lead creative teams. I can mentor and facilitate the growth of my teammates.
•  I can estimate projects, plan resources and manage timelines.
•  I confidently present concepts and ideas to a large audience of foreign stakeholders.
•  I have advanced English which allows me to be an effective communicator.
•  I can be professional regardless of personal dislikes.
•  I am a full-stack Designer (UI/UX+Graphic design).
-Team Leadership,
-Project management,
-Project estimation, 
-Resource planning, 
-Presentation to a client, 
-Client communication, 
-Business English, 
-Enterprise size companies, 
-Agile and Scrum, 
-Art Direction, 
-Prototyping, 
-UI /UX Desing, 
-Information Architecture, 
-UML diagrams, 
-User testing, 
-Mobile App, 
-SaaS, 
-Web Design, 
-Graphic Design
I'm looking for a company that provides plenty of challenging projects, laid-back atmosphere, flexible schedule with a focus on results. I'm eager to communicate with clients, lead design teams and manage projects. Mobile and complex web solution are preferable. In return, I contribute the top-notch output, with a focus on business and user needs."
12,"More than 30 successfully finished projects
Managed team of 17 designers
As a design consultant in a sales process, pitched and launched more than 20 design projects

Finished ""Design management"" course
Finished ""People management 3.0"" course
I'm experienced product designer and design team lead focused on a design team management. Were responsible for whole chain of team processes: planning, delegating and reviewing. Responsible for managing user research projects, workshops facilitation, reporting, conflict management, etc. Also was involved in a sales processes as a domain expert

Have good understanding of business goals, good at negotiating and presenting solutions, fluently speak English and can hold written communication in German.

Proven expertise within a following projects (exposed in portfolio):
Product design manager - human resources project
Design manager - crypto product
UI/UX Team Lead - SaaS project

Various older/smaller projects - betting, healthcare, delivery
Willing to apply my manager experience in delivery processes (design delivery manager role) or to help establish strong design teams both internally or for customers.

Okay with working either in outsource company or in a product team"
13,"• 8 Design Awards on Behance
• Honorable mention in San Francisco Design week
• Ukrainian design The very best of
• For the past 1 year, being a part of an Australia-based digital home loan product that went from the idea to MVP
• In a team of just 3 people built a design system from scratch
Over 6+ years of commercial experience, based in startups, fintech, organization management, crypto, insurance, and healthcare environment. I have worked with Web, Mobile, Dashboard, and Web applications. 
I can generate hypotheses, research, create wireframes and prototypes, conduct usability tests, analyze, create a design system from scratch, and lead a design team. I like to collaborate with and manage other designers and work independently. I always pay close attention to business needs and provide best practice design advice to improve the outcomes. 

I work on the following project stages
- Communicate with stakeholders and product manager
- Conduct research
- Create functionality map, process flow
- Create low/high fidelity wireframes
- UI research and design
- Leading a team of 8 people

Another part is Collaboration and teamwork where I work on
- Mentorship of lower-level designer
- Conducting 1on1 meetings to collect issue points and help to define personal areas of improvement
- Offering feedback and support to teammates
"
14,"• During my professional career, I have created several thousand full-fledged concepts and conducted hundreds of successful advertising campaigns
• Created and headed the design department in the largest ecommerce company in the country
• Automated design and development processes in the department, which led to a multiple increase in productivity
• Created several successful brands of household appliances
• Created and headed a design bureau and printing studio
• Hired, educated and trained several dozen design specialists
I have an extensive experience in graphic and web design. Recently, I has worked in the field of e-commerce as a lead and creative designer, as well as a user experience designer.
For today I would like to devote myself more to developing a positive user experience within the framework of an interesting product.

Experience:
• Extensive experience in electronic commerce as a senior designer and the head of the design team and art director
• Extensive experience in trading companies as a creative designer
• Experience in advertising agencies as a graphic designer
• Experience in publishing and entertainment as a leading designer
• Extensive experience in the field of printing and product design

Qualifications:
• Professional skills in graphic and web design
• Experience in creating brand identity and promoting brands
• Creation of key-visuals and supervision of the further implementation of materials in various online and offline channels
• Development and implementation of digital advertising campaigns
• Good skills in management of designer teams and design departments
• Solving business problems with customer and user experience analytics and introducing new business product features
• Experience with animation, motion design and video editing
• High skills in layout design and print preparation


Soft skills:
• Ability to identify and solve complex product problems
• Critical thinking. The ability to separate the main from the private, analytical skills
• The skill of managing and successfully interacting with people. Negotiation skills, stress resistance
• Emotional intelligence, empathy
• Ability to draw conclusions and make decisions. Design thinking, сreativity, enterprise
• The ability to learn new things easily and quickly. Self learning, cross functionality
I want to join a team of entusiasts and ambitious professionals to fully devote myself to developing and improving a company's product that will conquer the whole world ;)"
15,"As a person who had a self-education, I`m really proud of myself and my portfolio, because of all my knowledge, skills, and abilities, such as:

– Advanced knowledge and experience working with Adobe Photoshop Beta & Illustrator, Figma, and Procreate App;
– Strong technical understanding of the subject;
– Understanding of current design and technology trends;
– Upper-Intermediate English level;
– Effective verbal and written communication skills;
– Time and self-management skills.

Hi there! I'm a Digital 2D Artist & UI/UX Designer from Kyiv. 
I'm looking forward to a strong friendship and cooperation!
EXPERIENCE
- Freelance // Web-designer (Dec 2018 - Nov 2019)
- UI/UX-Designer / Illustrator (Nov 2019 - Aug 2021)
-Full stack: UI/UX-Designer / Illustrator / Graphic designer (Apr 21 - Now )

SKILLS
English - Upper-Intermediate
UI/UX Design / Adaptive design
Illustration (raster/vector)
Banner design
Logo 

TOOLS
Adobe Photoshop
Adobe Illustrator
Procreate App
Figma
Midjourney

Awards
RED DOT / Brands & Communication Design (Aug 22)
I believe that I can get a position in a successful company with a friendly team, where I can show what I can do! I really want to develop and learn further! I believe that there is no limit to perfection, I am ready to work and give all my best to one hundred percent!"
16,"Skills:
Color sense, Color Theory, Composition
Branding, Advertising, Illustration
Web ads, Social media ads, Digital Design, Digital imagery, Digital Analytics, E-blast
UI/UX design
HTML/ CSS
WEBFLOW

Soft skills:   
Confidence to work independently and in a team
Creative
Interface directly with customers

Сompleted courses:
Dare IT - PRODUCT DESIGN
HILLEL (IT SCHOOL) - BASIC WEB DESIGN
CASES MEDIA - FIGMA (90)
CASES MEDIA - Graphic design. Composition (91)
Hello! I am a digital designer. I have extensive experience in Marketing and I have a huge experience in Photoshop /illustrator and Figma. Also I work with Webflow (animation/ CMS/ etc). 
Also, I am an advanced user of Figma. I worked on websites/ E-blast/ etc.

I am passionate about creating visually stunning designs that help brands grow. 

I have experience as a freelance and an in-house manager. I worked in a team and we cooperated with more than 5 companies from different countries. Also, I worked as a freelancer designer for an American company.
 
I look forward to bringing my background and experience to help you develop award-winning campaigns for your clients. I love collaborating with clients and colleagues, and I am excited to deliver designs that will help your clients engage and grow their target market.

Feel free to contact me.
Looking for work with a long term partnership and an ability to grow. On the side of a product, where I can implement my knowledge and experience to make the customer’s life easier."
17,"
Digital Graphic Designer (NDA) 
July 2021 – Present day

• web content development;
• creation of logos, posters, graphics for events;
• infographics;
• development of landing pages;
• work with small architectural forms for advertising campaigns of events;
• design of presentations and training materials;
• creation of vector illustrations and mascots.

Digital Graphic & UI/UX Designer (ReevArts)
July 2020  – July 2021

500+ Designs for social media.
250+ Designs for TV.
1+ year constant UI/UX designs for 2 products.
Quality control of animators' work (designers review)
Storyboarding & Creating illustrations for showreels and promos.


Technical Graphic Designer (Polygraphy)
April 2019 – July 2020.

1) development of designs, taking into account customer requirements and preparation for printing 
2) development of special layouts and their printing on T-shirts and sweatshirts 
3) preparing layouts for stickers, creating clipping paths 
4) control of the work of in-house designers 
5) control of designs received from customers 
6) quality control of the result of printing and cutting 
7) development of technological maps


Graphic & Web (UI/UX) Designer (Freelance Design; Self-employed)
April 2018 – March 2019

Create final art and files to be given to Developers and animators
Work closely with both editors and project managers
Create final art for presentations and assist in Creative Presentations
Website and interface designs
Prototyping and templating


Assistant manager (АМО1, ООО)
October 2013  – June 2014

1) Search for potential clients. 
2) Communication with clients and work with their objections. 
3) Search for tenders in the areas of the company's activities. 
4) Analysis of the need to introduce the production of new parts, the relevance of their demand in the market. 
5) Working with drawings 
6) Fulfillment of personal orders of the head. 
7) Analysis of competitors' market, price monitoring 
8) Maintaining the site of the enterprise.
"
18,"Completed a 6-month UI/UX design course.
Additionally studied HTML/CSS.
3 works were successfully defended and presented:
website redesign projects for a real estate company; 
created a travel website;
mobile application for booking tables in restaurants.
Dynamic junior UI/UX designer with a passion for creating
seamless and visually captivating user experiences. Proficient in design software including Figma, Photoshop and Illustrator, with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs.

Real estate site redesign
This project is a website redesign for a real estate company located in Destin, Florida.
The design of the existing site looks outdated, is not very user-friendly, has poor quality photos and does not contain information important to customers (for example, a user-friendly feedback or property valuation). Therefore, the goal of the project was to create a modern and convenient design that could attract potential customers.
Before starting the redesign, research and analysis of competitors was carried out. This helped to understand which successful solutions can be used for our project. Also, after studying social networks and customer feedback about real estate companies, 3 user personas and a customer journey map were compiled.

A web service that helps users find and book excursions, tours, entrance tickets, entertainment around the world
To create a web service that will help travel users to find and order tours and excursions around the world, and guide users (travel agents, companies) to post their offers about excursions.
The same requirements were put forward for the TK for the project:
1. Search for excursions, provide the opportunity to apply filters;
2. View and choose excursions by category. Also add filters;
3. The possibility of registration via e-mail, Google or Facebook;
4. Possibility to order an excursion and pay by card when placing an order;
5. The form for creating an announcement for an excursion for guides.
To complete this task:
1. The market of competitors was analyzed;
2. Done by JTD;
3. CJM;
4. Also made User flow
5. After that, Wireframes were made;
6. Made a UI-Kit;
7. Finally, the design is adaptive
I am looking for a full-time position in a product company that focuses on creating digital products for everyday life and business.
I am a quick learner, responsible, and ready to perform complex tasks."
19,"Redesigned User Interface of Indian Cafe; Mobile App Optimization; Web-Service; Landing Page
f.Lover Mobile App for Delivering Flowers
This is a mobile application for ordering and delivering bouquets and gifts online. My team and I developed an app that provides users with gift and flower recommendations. It should allow users to order gifts for certain date, time or in anticipation of special occasions.
I'm excited to explore roles in UX/UI design that align with my passion for creating user-centered digital experiences. I'm looking for positions that provide room for creativity and collaboration within cross-functional teams. I'm not interested in roles that primarily involve routine maintenance tasks without opportunities for design innovation. Additionally, I'm seeking positions where the design process is not rushed, allowing for thorough user research, thoughtful ideation, and testing. My goal is to contribute to projects that emphasize quality over speed and prioritize user satisfaction."
20,"During my training, I completed three projects, two on my own, the third in a team, I am good at working both in a team and alone in a team project, I was the leader and the main generator of ideas.  During the training, I learned a lot of technical knowledge and also theoretical.
Flowers delivery mobile app
- Developed a user-friendly and intuitive interface for online flowers ordering service
- Conducted persona research to better understand the demand of customers
- Created a comfortable and easy-to-use app so customers could order a bouquet from anywhere in the world

Pet Scout. Animal pet search web service
- Conducted UX research on competitor analysis, user flow, worked with the architecture of web services, used design principles to create a compelling user experience for a web service created to find missing pets.
- Created a wireframe, mockups, prototypes and Behance in a team

Barbershop Landingpage
- Created a landing page where visitors could learn about the services offered by a barbershop and make an appointment with the chosen barber
- Performed competitor analysis, developed personas,and used research methods.
- Developed a desktop, a tablet and a mobile version of the site

Tattoo Studio Website Redesign
- Created a tattoo salon website where the visitors were able to choose a tattoo or piercing artist, research portfolios, quickly and easily sign up for a consultation.
- Prior to creating the site, conducted analyses of the competitors' blackouts by age, sex, as well as other statistical data.
- Based on this data, created a visually enjoyable and intuitive website.
I am considering working remotely in a company or freelance.  I want to grow and develop as a designer.  It would be very good if the company had mentoring.  I hope that I will help you create the product that our customers want to see."
21,"I'm good at Figma, Illustrator, Protopie, Photoshop
Also:
Low and high fidelety prototypes, Vector illustration, Components, Adaptive design, Logo creation, Landing page, Improvement of the user interface and user expirience.
Focusing on UI/UX for both web and mobile applications, my expertise lies in turning concepts into real solutions. My ultimate goal is not only to create visually appealing designs, but also to solve the challenges and optimize the daily goals of the target audience. I don't just focus on aesthetics, as I try to solve problems and optimize the daily goals of the target audience.
Throughout my career, I have had the opportunity to work on a variety of projects both as part of a team and as an individual member. Famous examples include:

1.Website redesign:
Site for Redesign ""Destin Tattoo Company"" :
My version Redesign ""Destin Tattoo Company"":
The redesign was done by myself. It was done: competitor analysis, prototyping, text selection, color selection, logo development, wireframes creation, component creation and adaptation for tablet and mobile.

2.Webservice: 
 Project name ""The Lost Pets"" (teamwork) :
This project was done in a team. His idea was that a person could easily find / return  or take an animal into good hands.My role was to create a flow for people who found animals or picked them up from the street. I created an individual logo for this web service.

3.Mobile App ""Suit Store"" :
This application has been designed for the convenience of users. So that users appreciate the simplicity and comfort in the search and purchase of goods. My role in this project was to create a convenient flow for the persona of a man who often makes purchases in different categories.The project was originally a team work, but at the prototyping stage, I did all the work up to the final stage on my own.
I'd like a full time job. To work in a creative and friendly team. Find solutions to challenging problems and improve user interfaces. I would like to have the opportunity for creative promotion on design tasks."
22,"Was a team leader in the project ""BudgetStay project”. I have 2 own Pet-projects. 
In the process of developing the project of landing page ""Tantric massage salon Sensual"" as a team leader. I am also completing the project for reserving tables in the restaurant ""FoodieFinder"" mobile application, own Pet-projects.
FoodieFinder -  mobile app design.
The goal of creating a mobile app for restaurant search and table reservations is to provide users with a hassle-free and efficient way of finding and booking restaurants based on their preferences. 

Sensual Temple - landing page for desktop, tablet and mobile. 
The landing page for a tantric massage salon promotes the salon's services, creates an appealing and informative online presence, and attracts potential clients. 

BudgetStay - web service, team project, 2 designer. 
Development of a web service interface for change of environment - work and rest in a new place. 
The goal was to create a service for finding free (couch surfing) or cheap accommodation (private accommodation, hostels). Was created Main User Flow with 2 account types (free and premium) and second flow for 3 types of hosts. Design for desktop, tablet and mobile version with prototype for desktop.  

Concept, redesign for ""India Cafe"". Independent work.
This project is an updated website for an Indian restaurant located in Pennsylvania, USA. Therefore, the goal of the project was to create a modern and convenient design that could attract potential customers. 
Add missing pages with photos and a menu. Also, the possibility to make an appointment in a restaurant. Design for desktop, tablet and mobile version with prototype for desktop. 

Landing Page for Citroen 4, concept, independent work. 
This project is a concept for the Citroen 4 landing page in Ukraine. The purpose of the page is to order a test drive. Design for desktop.
At the new workplace as UX/UI designer, I expect to join a good team that strives to implement cool and modern projects for a super connection between the client that provides services and the client that receives them. For my part, I will enthusiastically implement projects and learn and improve my skills."
