No Manipulation,Claude-Sonnet-4,DeepSeek-Chat,GPT-3.5-Turbo,Llama-3.3-70B,Mixtral-8x7B,True Label
79.101,75.722,79.644,79.225,75.846,78.37,1
77.363,75.593,76.363,78.243,76.444,76.511,1
78.917,79.4,81.014,77.479,80.16,77.205,1
79.198,81.198,80.246,76.854,81.992,80.888,1
76.082,79.455,77.808,75.034,79.926,75.973,1
79.085,80.024,81.434,77.853,80.242,81.828,1
79.782,76.951,80.813,78.925,77.667,79.168,1
81.774,83.794,81.912,81.721,84.008,81.346,1
79.206,77.208,79.537,81.044,77.494,75.82,1
80.575,77.638,79.919,78.753,78.661,78.786,1
80.918,80.204,79.65,78.955,80.63,80.805,1
79.338,80.279,82.373,78.445,80.279,79.571,1
76.92,74.817,77.395,76.512,74.531,79.283,1
80.322,84.031,80.634,81.481,83.332,80.004,1
78.188,80.413,80.165,77.425,80.413,79.48,1
80.16,80.73,81.045,79.873,80.666,80.414,1
81.158,77.072,83.279,79.398,78.126,82.985,1
79.662,75.072,80.02,78.042,76.033,75.533,1
80.624,79.5,80.817,80.052,80.239,80.767,1
81.36,78.239,79.94,81.583,77.941,81.414,1
80.571,79.891,80.578,79.956,79.686,80.912,1
79.874,78.666,80.121,80.579,79.636,80.858,1
79.729,78.772,80.728,79.177,79.98,83.069,1
76.527,81.624,77.949,76.113,81.844,79.466,1
75.215,78.271,75.877,76.87,78.309,75.58,1
