No Manipulation,True Label,Claude-Sonnet-4,DeepSeek-Chat,GPT-3.5-Turbo,Llama-3.3-70B,Mixtral-8x7B
80.918,0,80.204,79.65,78.955,79.604,80.805
79.338,0,80.279,82.373,78.445,79.723,79.571
76.92,0,74.817,77.395,76.512,76.795,79.283
80.322,0,84.031,80.634,81.481,80.057,80.004
78.188,0,80.413,80.165,77.425,76.938,79.48
80.16,0,80.73,81.045,79.873,80.712,80.414
81.158,0,77.072,83.279,79.398,83.381,82.985
79.662,0,75.072,80.02,78.042,78.849,75.533
80.624,0,79.5,80.817,80.052,80.721,80.767
81.36,0,78.239,79.94,81.583,81.3,81.414
80.571,0,79.891,80.578,79.956,81.273,80.912
79.874,0,78.666,80.121,80.579,79.744,80.858
79.729,0,78.772,80.728,79.177,82.328,83.069
76.527,0,81.624,77.949,76.113,78.667,79.466
75.215,0,78.271,75.877,76.87,76.172,75.58
81.061,1,80.734,81.946,83.508,71.395,81.866
84.806,1,83.774,84.377,82.779,70.473,83.792
81.328,1,82.233,83.04,80.628,70.569,80.463
82.467,1,83.929,83.312,82.848,70.569,83.216
81.239,1,81.321,82.318,80.255,70.569,83.015
78.576,1,80.526,82.322,80.144,70.569,78.949
81.196,1,84.786,84.192,83.5,70.569,81.807
80.252,1,80.214,81.09,79.416,70.569,78.918
84.576,1,84.809,85.171,84.09,70.569,84.405
79.446,1,81.175,82.473,79.454,70.569,80.15
81.59,1,83.056,82.487,81.519,70.569,83.033
79.582,1,82.326,82.461,81.534,70.569,80.723
85.334,1,84.646,82.472,81.55,70.569,83.713
79.147,1,81.089,82.607,79.943,70.569,80.597
84.456,1,85.185,84.451,84.239,71.395,84.151
80.748,1,81.385,83.901,79.71,70.569,81.05
78.747,1,78.907,78.485,79.851,70.569,80.433
80.034,1,82.155,81.558,80.806,70.569,81.588
79.222,1,79.668,80.903,77.698,70.569,75.873
78.72,1,80.432,79.895,77.785,70.569,79.293
81.981,1,80.45,79.916,77.561,70.569,71.721
77.844,1,78.13,80.441,77.409,70.569,77.533
82.191,1,82.382,83.575,81.411,71.187,82.548
80.268,1,80.7,81.924,79.64,70.569,80.891
81.376,1,81.611,82.422,82.204,70.569,83.67
79.921,1,78.96,79.765,77.755,73.125,81.854
81.741,1,82.324,82.665,82.558,70.569,82.017
82.577,1,81.727,81.097,80.297,70.921,80.607
79.643,1,80.373,81.1,78.425,70.569,79.794
82.204,1,82.776,84.171,82.668,70.569,82.142
80.412,1,78.319,81.249,79.014,70.569,76.809
83.747,1,83.126,83.95,82.319,70.569,82.752
83.41,1,83.759,84.741,80.41,70.569,80.903
80.488,1,83.422,83.152,82.492,70.569,84.949
78.533,1,78.196,81.507,77.451,70.569,77.681
82.808,1,82.142,84.209,81.605,71.395,82.821
82.911,1,82.804,84.399,83.551,70.569,85.68
79.108,1,79.997,80.583,79.108,70.569,79.033
85.071,1,85.99,85.749,84.901,71.395,83.629
80.347,1,79.546,80.848,79.611,71.187,81.996
79.548,1,81.584,82.227,79.126,70.569,80.454
77.226,1,77.732,79.037,77.328,70.569,78.122
82.431,1,81.147,82.714,78.166,71.395,81.69
80.178,1,81.264,82.318,80.517,70.569,84.037
79.263,1,80.162,80.627,79.165,70.569,81.221
80.745,1,80.662,80.796,80.077,70.569,81.066
81.369,1,81.88,84.627,83.024,70.569,81.997
81.448,1,81.605,82.805,81.06,71.395,82.296
80.692,1,80.649,83.039,80.241,70.569,79.756
79.425,1,80.499,81.969,81.108,70.569,80.151
83.81,1,85.006,83.725,83.261,70.77,84.66
82.776,1,82.261,81.949,81.225,70.569,81.951
78.394,1,79.996,79.839,79.047,70.569,74.843
79.21,1,80.763,81.856,78.917,70.569,77.457
75.63,1,79.314,78.867,78.07,70.569,76.327
78.077,1,77.741,79.361,77.025,70.569,77.938
81.891,1,80.136,80.883,78.752,70.569,83.037
77.147,1,80.596,80.325,76.037,70.569,79.963
82.487,1,82.776,81.872,82.19,70.569,83.46
81.159,1,81.059,81.701,80.391,70.569,81.501
83.06,1,82.681,83.916,80.186,70.569,80.725
81.739,1,79.839,82.121,80.542,70.569,79.842
83.006,1,82.128,80.62,78.929,70.569,81.069
81.921,1,82.164,82.246,81.617,70.569,82.71
81.118,1,82.064,80.742,79.663,71.395,82.401
77.278,1,80.149,78.977,78.424,70.304,78.609
81.733,1,82.343,82.506,82.321,70.569,81.794
82.369,1,82.585,82.59,80.753,71.395,80.674
81.93,1,80.916,81.116,81.045,70.569,80.237
80.587,1,79.987,79.834,80.445,70.569,81.283
78.893,1,78.776,79.359,80.711,70.569,79.782
84.068,1,84.722,83.727,82.806,70.569,83.004
81.257,1,82.437,82.117,81.298,70.569,78.873
78.357,1,77.801,80.307,76.65,70.569,75.401
85.063,1,83.088,83.3,82.895,70.569,83.78
77.09,1,80.155,79.368,79.99,70.569,82.042
81.318,1,81.304,81.53,82.527,70.569,81.461
85.619,1,81.718,82.931,81.38,70.569,82.571
82.794,1,81.218,82.251,80.316,70.569,81.405
78.957,1,80.769,79.134,77.863,70.569,78.539
80.064,1,79.489,81.446,80.201,70.569,79.592
82.266,1,83.178,84.906,82.499,70.569,83.137
81.905,1,81.536,81.428,80.809,70.77,80.816
83.257,1,81.926,84.406,82.227,70.569,83.105
78.534,1,80.65,80.022,79.091,70.569,80.012
83.421,1,85.618,84.866,83.057,70.569,83.093
78.766,1,77.762,78.05,78.96,70.569,78.574
80.782,1,82.224,83.119,81.832,70.569,68.36
80.259,1,81.275,80.825,81.032,70.569,82.815
82.705,1,82.416,83.233,77.366,70.569,83.64
82.431,1,82.127,83.255,80.915,70.569,82.858
82.61,1,82.318,82.504,79.418,70.569,81.341
82.365,1,83.557,83.945,85.061,70.569,84.451
80.758,1,81.625,82.04,79.588,70.569,80.944
81.767,1,83.319,82.129,80.964,70.569,82.089
79.957,1,79.68,80.448,80.056,70.569,77.874
81.575,1,79.348,80.035,78.644,70.569,76.952
82.244,1,82.439,82.631,82.291,70.569,81.612
83.887,1,85.4,84.962,84.29,70.569,84.478
83.523,1,82.791,83.162,84.034,70.569,82.285
82.712,1,83.674,83.072,81.98,70.569,81.7
81.421,1,81.523,83.461,81.35,70.569,82.957
81.739,1,83.2,83.461,81.268,70.569,82.853
82.691,1,85.385,84.784,82.428,70.569,81.305
79.894,1,81.618,81.846,79.62,70.569,79.161
82.429,1,83.859,83.596,80.909,70.569,82.04
84.072,1,84.574,84.489,81.743,70.569,83.544
86.226,1,86.005,87.034,86.033,70.569,87.087
82.022,1,82.571,84.845,82.139,70.569,82.478
82.225,1,80.477,82.58,81.956,70.569,73.793
77.676,1,77.728,80.534,76.297,70.569,79.227
81.82,1,81.681,82.938,81.95,70.569,83.388
75.947,1,76.026,78.25,74.997,70.569,78.373
83.692,1,84.366,84.4,83.151,73.796,76.072
81.879,1,83.253,84.953,81.219,70.569,76.367
80.707,1,83.236,83.605,81.15,70.569,81.057
81.438,1,81.365,83.041,80.544,70.569,81.249
80.522,1,80.36,82.004,80.393,70.569,80.348
81.658,1,81.809,83.155,80.883,70.569,80.489
83.731,1,85.057,83.837,82.353,70.569,79.964
83.276,1,81.62,81.471,81.534,70.304,83.578
79.291,1,79.576,82.879,79.02,70.569,78.294
84.793,1,84.461,83.731,82.117,70.569,84.844
83.757,1,84.567,83.036,82.184,70.569,80.911
78.55,1,81.036,80.068,79.429,70.569,78.056
79.793,1,83.548,82.602,84.186,70.569,77.06
79.524,1,79.018,80.849,78.065,70.569,80.463
82.209,1,82.332,83.694,81.215,70.569,82.602
83.692,1,82.423,82.656,83.832,70.569,82.184
81.896,1,82.627,85.224,81.235,70.569,79.46
78.75,1,75.782,82.428,79.831,70.569,78.099
80.813,1,81.54,81.958,78.617,70.569,78.941
83.072,1,84.538,86.146,84.119,70.569,84.146
81.579,1,82.022,82.511,82.652,70.569,81.725
79.328,1,80.424,79.318,79.003,70.569,77.464
83.897,1,84.292,85.33,84.699,70.304,83.952
82.934,1,81.912,81.819,81.785,70.569,82.201
77.038,1,79.034,77.802,77.038,70.569,67.243
79.224,1,78.69,78.492,79.264,70.569,75.089
84.515,1,84.064,85.392,83.742,70.569,83.739
83.958,1,84.441,84.355,82.913,70.569,81.408
81.297,1,83.096,85.663,81.333,70.569,83.246
80.619,1,81.958,82.529,80.026,70.569,76.237
78.942,1,83.165,83.889,78.153,70.569,84.811
78.897,1,82.352,82.288,80.464,70.569,75.54
78.552,1,79.064,82.483,78.552,70.569,77.795
79.871,1,82.276,81.721,79.683,70.569,80.437
81.35,1,83.308,83.974,81.327,70.569,82.539
84.624,1,84.292,85.113,84.876,70.569,84.521
82.581,1,82.704,82.402,80.54,70.569,81.747
78.309,1,78.78,81.52,77.662,70.569,75.986
85.277,1,86.977,86.506,85.871,70.569,85.157
79.051,1,80.45,81.783,79.33,70.569,80.708
80.395,1,80.505,81.652,80.283,70.569,80.179
80.329,1,79.983,80.496,79.624,70.569,75.623
76.664,1,78.923,79.608,79.333,70.569,79.099
81.203,1,81.82,81.476,81.87,70.569,70.359
84.533,1,84.291,86.467,83.158,70.569,78.523
83.062,1,83.948,83.734,82.305,70.569,84.434
83.818,1,83.091,84.06,83.214,70.569,83.477
78.785,1,81.204,82.424,78.563,70.569,79.328
82.805,1,82.646,83.119,82.945,70.569,83.304
77.633,1,77.913,75.302,77.217,70.569,78.548
79.316,1,80.911,82.173,79.609,70.569,73.945
81.943,1,82.029,84.537,81.235,70.569,81.725
76.085,1,79.304,78.987,77.415,70.569,78.537
78.873,1,79.66,81.329,79.954,70.569,80.311
83.258,1,82.453,81.726,82.961,70.569,75.677
81.268,1,83.033,82.11,81.268,70.569,82.773
78.64,1,80.673,80.798,79.82,70.569,79.54
78.478,1,82.407,83.641,78.616,70.569,78.309
82.198,1,82.399,82.854,82.948,70.569,83.642
82.059,1,80.758,81.789,81.71,70.569,81.153
80.915,1,82.625,80.798,81.715,70.569,81.99
81.245,1,82.142,84.126,82.198,70.569,85.004
80.522,1,81.523,80.322,80.784,70.569,82.129
79.313,1,84.531,84.899,79.377,70.569,84.026
82.226,1,83.046,84.181,79.94,70.569,83.884
81.471,1,81.757,81.544,82.322,71.187,80.436
81.726,1,81.752,81.893,82.728,70.569,80.501
74.687,1,79.731,81.142,79.301,70.569,78.949
81.497,1,84.363,83.718,81.391,70.569,84.479
79.557,1,82.335,82.764,81.212,70.569,71.025
79.557,1,81.77,80.67,81.965,70.569,78.587
82.229,1,82.189,83.024,82.037,70.569,82.952
79.405,1,80.43,82.884,83.007,70.569,80.967
84.608,1,84.074,85.809,84.513,70.569,84.985
80.46,1,80.273,80.753,81.001,70.569,79.719
80.465,1,80.904,81.981,78.718,70.569,81.196
82.819,1,81.479,82.694,82.779,70.569,81.181
80.367,1,80.771,80.874,79.867,70.569,82.648
78.76,1,78.706,78.613,76.246,70.569,78.815
82.005,1,81.762,81.017,81.161,70.569,82.413
84.72,1,85.048,85.792,83.33,70.569,86.066
78.112,1,81.937,80.23,80.415,70.569,76.827
83.121,1,82.792,82.385,82.298,70.569,83.624
83.253,1,84.721,85.216,83.723,70.569,79.083
81.368,1,83.114,82.536,81.283,71.395,82.403
79.012,1,80.842,80.811,77.998,70.569,76.641
80.697,1,80.724,83.119,80.972,70.569,68.986
82.452,1,83.633,84.536,83.739,70.569,76.443
80.463,1,79.356,81.245,78.816,70.569,83.006
79.485,1,78.338,79.518,75.077,71.395,81.159
82.934,1,83.906,83.785,82.818,70.569,82.632
81.023,1,84.396,84.18,82.685,70.569,75.212
79.193,1,82.992,82.305,79.815,70.569,78.234
82.243,1,82.509,82.448,78.835,70.569,79.13
83.329,1,83.628,84.354,81.511,70.569,83.429
81.598,1,82.574,82.691,81.353,70.569,83.71
77.563,1,79.189,78.522,77.733,70.569,78.754
84.02,1,82.22,83.191,81.083,70.569,82.562
78.753,1,80.178,81.497,78.094,70.569,81.231
78.047,1,78.835,77.227,77.301,70.569,79.418
80.2,1,81.141,81.229,79.724,70.569,81.141
82.275,1,81.876,82.538,81.654,70.569,81.934
81.813,1,80.09,83.28,82.934,70.569,80.632
72.684,1,75.258,76.229,72.548,70.569,74.289
82.953,1,82.664,81.896,82.122,70.304,82.756
75.122,1,75.204,76.547,74.953,70.569,74.903
79.49,1,81.323,80.746,79.116,70.569,80.503
82.145,1,82.497,83.225,83.245,70.569,81.456
77.294,1,76.708,77.766,76.516,70.569,75.826
77.803,1,79.701,80.427,76.762,70.569,78.446
81.062,1,82.381,81.872,81.277,70.569,80.439
79.93,1,81.882,84.478,79.845,70.569,80.645
79.006,1,82.208,81.577,80.041,70.569,80.698
78.149,1,78.869,81.155,77.898,70.569,77.971
80.306,1,82.499,83.17,77.213,70.569,81.939
82.156,1,83.322,85.044,82.999,70.569,80.936
77.328,1,77.292,77.447,76.504,70.569,79.118
81.13,1,81.934,82.856,81.461,70.569,81.593
78.274,1,79.039,79.522,78.356,70.569,78.185
81.436,1,82.01,80.747,81.088,70.569,81.357
81.637,1,82.409,81.735,79.648,70.569,81.155
81.369,1,81.268,82.228,81.058,70.569,83.119
78.668,1,78.469,80.162,77.697,70.569,78.837
81.307,1,83.219,83.293,82.717,70.569,81.08
83.532,1,84.646,84.484,83.836,70.569,84.572
82.702,1,83.425,83.143,82.303,70.569,78.299
78.003,1,79.191,81.932,78.552,70.569,79.12
83.212,1,83.329,83.388,82.232,70.569,81.071
81.222,1,81.847,81.919,81.77,70.569,82.573
81.245,1,81.512,82.157,82.577,70.569,82.518
78.863,1,79.563,79.132,78.863,70.569,75.13
79.373,1,79.428,83.117,80.085,70.569,80.384
76.503,1,76.701,80.259,78.407,70.569,80.599
83.182,1,85.7,84.46,83.099,70.569,84.472
81.416,1,83.481,84.287,81.528,70.569,81.796
80.28,1,82.59,80.035,81.138,70.569,82.672
80.558,1,82.014,82.79,82.106,70.569,81.391
82.792,1,81.749,84.478,80.623,70.569,81.17
84.901,1,84.712,87.009,85.015,70.569,85.312
79.51,1,82.923,82.787,81.004,70.569,82.681
82.553,1,81.907,81.95,80.747,70.569,79.587
83.35,1,83.144,81.197,83.05,70.569,84.522
76.679,1,75.928,75.054,79.026,70.569,70.237
79.645,1,81.621,81.647,80.609,70.569,80.592
80.626,1,80.137,80.704,80.558,70.569,80.603
80.179,1,80.659,81.591,80.114,70.569,81.382
79.183,1,79.821,80.875,79.056,70.569,78.244
