,CV
270,"
Experience in leading 2 commercial projects as a Project Manager, and facilitating the team on the 3rd project as a Scrum Master. 

As a PM, I’m responsible for communication with the stakeholders; scope, requirements, schedule, risks and people management. I plan and monitor projects’ execution to ensure they are completed in a timely manner and within budget. I plan and designate project resources, prepare budgets, mitigate risks, motivate the team and keep stakeholders informed about the entire process.
As a Scrum Master, I help the team to remove the blockers, coach them, teach Scrum practices, manage project Jira and facilitate the team on daily standups, grooming sessions, sprint plannings, and sprint retrospectives.

Experience: Confluence, Jira, MC Project, SharePoint, Gantt Chart, Agile methodology, Scrum, planning pocker, Kanban, test cases creation, holding F2F, interviewing candidates, proposal preparation.

Project 1: development of the electron application required for the demostration of the client’s products.
Domain: telecommunications.
Customer: Sweden.
Tools & technologies: JavaScript, Vue.js, NPM/yarn, Gitlab, Cypress. 

Project 2: development of the microservices integrations.
Domain: telecommunications.
Customer: Sweden.
Tools & technologies: Dotnet 3,5 and 6, RabbitMQ, EntityFramework Core, PostgreSQL, Oracle. CI/CD (Gitlab).

Project 3: development of the mobile application (iOS and Android) and a WordPress website.
Domain: health care.
Customer: USA.
Tools & technologies: Flutter, Python, Flask 1.1.2, Bitbucket, Docker, Codemagic CI/CD, Azure Infrastructure, MailChimp, SendGrid, Twillio.
"
271,"Achievements:
I am dealing with the organizing, planning, managing, securing, leading, and controlling the various project tasks. 
Project “Outdoor Wi Fi network build up with 140 access points” - there were executed few project stages under my coordination.
Coordinate launch of  Wi fi Advertising Model
Manage the Project HR performance appraisal system on 1C base.
Implementation of Electronic document system on 1C base - there were executed few project stages under my coordination.
Project “Standardization and automation CPE sales reconciliation” - customer requirements analysis and coordination of  whole project.
Experience in Project management and Finance area.
3+ experience in Project management and analysis.
7+ experience in Finance (Consume Electronics business). Some results as Sales manager.
Participation in IT, Technical project implementation. 
Knowledge in Project management, Finance and Investment.
Experience of solving different tasks in short terms and stress conditions.
Good analytical skills, result-oriented, communicative.
Ready for getting new knowledge and to be a part of your team.
"
272,"As a role Project Manager, I have successfully leeding cross-functional teams to deliver projects on time, within budget, and to the satisfaction of stakeholders. My expertise lies in managing complex projects, optimizing processes, and identifying risks and opportunities for improvement.

I collaborate with stakeholders from various departments to ensure that the project met all requirements, and I communicated regularly with senior leadership to provide updates on progress and make recommendations for adjustments to the project plan.

In addition to my technical project management skills, I am a strong leader who can motivate and inspire teams to achieve their best work. I have experience managing both onsite and remote teams, and I am adept at fostering a positive team culture that promotes collaboration, open communication, and continuous learning.

Overall, my track record of successful project delivery, my ability to navigate complex challenges, and my leadership skills make me an asset to any organization seeking a skilled and experienced Project Manager.
E X P E R I E N C E

Project Manager (OSKI)
 ( January 2023 — April 2023)
• Develop and manage CRM product
• Coordinate project activities
• Monitor project progress
• Manage project resources
• Manage project risks
• Communicate project status
• Ensure quality control
• Manage project budgets
• Manage project documentation

***

IT Nation HACK 2.0 - Hackathon participant September 2022
Organised the work of the team (distribution and control of tasks
Prepared materials and tools for the team to successfully
complete the hackathon.
Complied documentation of test result and handed them over to
mentors for final evaluation

***

CEO (Tourist Agency)

 ( February 2007 — Till now)
• Management and Control
• Business development, KPI performance and strategy implementation
• Time and risk management 
• Search for new marketing solutions 
• Planning and conducting advertising campaigns 
• Creation of specifications, design of prototypes

IT COURSES:

IAMPM - DAO, Project Management January 2023
- Work with project documentation, various types of contracts
- Manage customer expectations, risks, resources, and time
- Conduct business correspondence and project documentation
- Create WBS, hand tasks, and prioritize
- Present ready-made solutions, prototypes to the customer

QATestLab Training Center, QA September 2022
- Theoretical knowledge of QA
- Creating and supporting test documentation
- Experience with bug tracking systems (Jira)
- Basic web knowledge: HTTP/HTTPS (JSON, XML), HTML, CSS
- Experience with REST APIs (Postman)
- Relational Databases: MySQL
- Experience with VCS: Git / GitHub

***
PowerCode Academy, QA Engineer 2022
***
Lviv IT School (LITS), Basics of Software Testing May 2022
***
STUD-POINT - Project Management & Leader School 2021
***
Google AdWords - PPC Management 2017

Education:
Kiev University of Tourism Economics and Law 2004 - 2010
Organization management, Manager - Specialist
"
273,"Skills:
• Waterfall and Agile planning models (Scrum, Kanban)
• Word, Excel, PowerPoint
• ADV and GSM (programs for sailing and accounting of produced products)
• Copywriting
• 1C


Languages:
Mother tongues
• Russian
• Ukrainian 
Foreign languages
• English - C1
• French - A2
Export/ Import specialist at «Ukratlantic» — June 2019 - March 2020

The major role is playing: great planning skills, well-developed communication skills, high English knowledge, the ability to work having strict deadlines and the ability to conduct business correspondence both with colleges and clients all over the world. My direct responsibilities included processing incoming for production orders, drawing up supply plans, preparing documents, updating clients on cargo, and tracking processes.


Co-organizer of «Gesheft» festival — March 2017 - April 2018

Being effective both at individual and group work. Making decisions, providing with extraordinary ideas, fulfilling requests, solving problem situations, maintaining lists, being responsible for communication with participants and guests of the festival.


Organizer of «Children’s big day» festival — June - October 2017

Constantly searching to find out something new. The full realization of one’s ideas, the ability to motivate not only myself but also a team. Active participation in each stage of the project, supervision of all processes at the event.


Space manager at «Green theatre» — March - October 2017

Planning of the season, organization of my work, as well as the working process for stuff, team-leading. Multitasking and financial accounting.
"
274,"
express my genuine enthusiasm and strong interest in the Project Manager position at your company. As a highly motivated professional with a diverse background encompassing sales management, project coordination, and business development, I am eager to contribute my skills and knowledge to a renowned and innovative company like yours, where I can further cultivate my passion for project management and gain invaluable experience in an international setting.
Throughout my career in various bookstores, I have had the privilege of honing my project management abilities in a dynamic and fast-paced environment. My roles as a Sales Manager, Project Coordinator, Project Manager, and Business Development Manager have provided me with hands-on experience in delivering successful projects while aligning them with the overall strategic vision of the organizations. Despite working with smaller companies, I am confident that my experience has equipped me with a strong foundation in managing projects, ensuring their successful execution, and fostering productive teamwork.
While my previous roles have been rewarding, I aspire to elevate my career and seek new challenges in a larger and more globally impactful organizations.
"
275,"Successfully graduated from PM School in project management.
- Increased total sales by 110% starting from the 3rd month of working at the company
- Held successful negotiations and entered into agreements with key accounts, which form 80% of the client pool
- Ensured steady growth in turnover in the region
Familiar with software development methodologies of Agile family (Scrum & Kanban) and Waterfall.
I have an educational experience in project decomposition, preparation of SRS in international format IEEE, creation of WBS. Work in Gantt Chart. People-management.
Familiar with risk management on the project.
I know how to plan, solve problems, analyze and organize. Thank to this, I am good at sales, negotiations and I have a client-oriented approach.
- 6 years experience in sales (sales/account/business development manager)
- Excellent communication skills
- Analytical and critical thinking
- Stress resistance and ability to work within deadlines
- T-shaped person, responsible, result-oriented, initiative, self-motivated, able to learn quickly.
English level: Intermediate+
Looking for the company with cool people to work with, exiting projects and ideas where I'll be able to use the management skills and to receive even more experience and knowledge.
It will be priceless to be able to work with the head of PM or senior PM who could help in solving the complex questions and give me helpful tips and advice."
276,"
Familiar with the Agile (Scrum, Kanban) and Waterfall
methodologies of software development.
 Understanding the development life cycle
 Highly aware of the project decomposition principles,
requirements collection and analysis
 Have a training experience in creating WBS and schedule
in Gantt Chart format
 Familiar with project risk management. Have a training
experience in creating Risk Management Matrix
 Composing of project documentation such as Vision, SRS
by the IEEE 830 standard, User Stories for HR
management system
 Practical training : analysis of situations that PM may face
in daily work

Professional literature:
 “Software Project Management For Dummies” by Teresa Luckey, Joseph Phillips
 “Testing dot com” by Roman Savin
 “Kanban and Scrum - Making the Most of Both” by Henrik Kniberg and Mattias Skarin
 “Scrum and XP from the Trenches” by Henrik Kniberg
 “Scrum” by Jeff Sutherland
 “Black Book of Manager” by V.Pankratov
 “Deadline” by Tom Demarco
 “Time drive” by Gleb Arhangelskiy
 “Fundamentals of project management” by Joseph Heagney
 “PMBOK guide” by PMI
 “Business analysis for practitioners” by PMI
 “Agile book” by PMI
 Harvard business review on becoming a high performance manager
I graduated from PM School Kharkiv where I received a lot of theoretical and practical knowledge of Project Management and I am ready to implement them in practice. I want to work in a place that will improve my skills and give me the opportunity to grow professionally."
277,"Over the last year me and my team created events about Ukrainian gambling industry, biohacking, Greece gambling and WeGame (Ukrainian gaming festival). 
Every project I created is my achievement. 

A year earlier I participated in the creation of the largest architectural event in Ukraine (Interior of the Year/Ukrainian Urban Awards). 

I have no experience in IT, but I previously had no experience in event creation, architecture, gambling, biohacking, gaming.
Feb 2021-Aug 2021     Media group “House and Interior”
• Analysis and maintenance of media group pages;
• Tasks execution monitoring;
• Organization of all-Ukrainian competitions;
• Search for speakers and agreements with them;
• Organization of their transfer and documentation;
• Full organization of competitions (search for speakers, host of events, media partners, equipment);
• Communication with contractors, representatives of companies about the organization of competitions.

Aug 2021 - Mar 2022      Smile Expo
• Creation of a general concept of theproject (theme, visual concept andguideline, venue);
• Setting tasks for the project team; 
• Prioritization of tasks, deadlines;
• Task execution monitoring; 
•Full preparation of the event: location approval, search for speakers, preparation of the conference agenda;
• Budgeting.
Considering that I do not have practical experience in IT, I understand that I cannot apply for the full-time position of a PM. 
I would like to start working as an Junior specialist for such a position and go deeper into the subject."
278,"
Finance Assistant - Tradisa, Germany
• Automated revenue-controlling, resulting in a 30% reduction in processing time.
• Created financial reports and designed presentations for key stakeholders.
• Mastered customer-centric communication with Tesla, VW, and BMW enabling bespoke solutions.
• Administrated and fine-tuned corporate digital infrastructure for the needs of the financial division.

Jr. Compliance Manager - UFuture, Ukraine
• Managed project delivery of a gamified digital training program for 400+ employees, achieving the highest participation rate across all portfolio companies.
• Designed the framework of a supervisory board & board of directors.
• Conducted research & prepared documentation and 
 policies to streamline business processes.
• Devised and executed high-impact business dashboards, presentations, reports, and decision-making trees for C-suite, supporting data-driven decision-making processes.
• Assisted the Chief Compliance Manager with business operations and the establishment of a comprehensive compliance program across the holding company.
I love organizing the world around me and interacting with people. Hence I'm looking for an opportunity where I can facilitate your/our venture's growth and deliver exceptional results through communication and business streamlining.

If you happen to be a startup or a company in a startup ecosystem, I will be happy to talk about any business-related position. Cheers!"
279,"Most of all, I am proud of the results of my work. I’m not afraid to take on difficult tasks. For example, in the summer of 2019, we had a sale of the company. This is a complex and time-consuming project that ended successfully.
Financial expert with 10 years of experience in IT and financial areas, specializing in financial and tax accounting and improving business  processes in the company.Passionate about managing, motivating, mentoring and directing a team to achieve personal and professional objectives. Having theoretical knowledge in project management and experience in a training project as a PM.

Training Projects
2018 Project Management Courses at POWERCODE ACADAMY 
«Clean Earth» (waste recycling project)
- compiled and analyzed the whole story	
- carried out Organizational Breakdown Structure
- developed Work Breakdown Structure
- designed SWOT analysis
In the role of assistant project manager, I would like to receive interesting and difficult tasks, on which I could realize all my talents, like hard work, perseverance, proactivity."
280,"Hello. My name is Oleksandr. Thank you for looking at my profile, in which I want to share a little information about myself.
My total work experience is more than 12 years. I have excellent attention to detail and strong organizational skills. I am very disciplined with work ethic skills. A strategic leader who strives for excellence, efficiency, and willingness to resolve various conflicts under high pressure. I know how to use interpersonal skills, excellent time management, and problem-solving skills. The organized and reliable candidate who successfully manages multiple priorities with a positive attitude. Willing to take on additional responsibilities to achieve team goals.
- First Deputy Head of the Tyachiv District |Tyachiv District State Administration – Tyachiv, July 2020 - February 2022 
• Savings of 12 million hryvnias due to the implementation of cost-saving initiatives aimed at solving long-standing problems; 
• Collaborated with team members to achieve target results; 
• Proven track record of working under tight deadlines and a fast-paced environment; 
• Successfully implemented the program of the President of Ukraine ""Accessible Medicine"", and together with local self-government bodies built 5 and restored 4 outpatient clinics for family medicine for a total amount of 45 million hryvnias; 
• Development and maintenance of polite and effective working relationships; 
• Acquired new skills and applied them in daily tasks to increase efficiency and productivity; 
• Actively listened to customers, quickly solved problems and transferred the main problems to the manager; 
• Used coordination and planning skills to achieve results according to the schedule; 
• Preparation of various written messages, reports and documents; 
• Participated in continuous improvement by generating proposals, participating in problem solving activities to support teamwork; 
• Used Microsoft Word and other software tools to create documents and, other communications; 
• Exceeding goals due to effective task prioritization and excellent work ethic; 
• Demonstrated respect, friendliness and willingness to help where needed; 
• Parti, created in team building activities to improve working relationships. 

- Sales Manager |""Olmar"" LLCproblem-solvingruary 2019 - June 2020 
• Business growth by adopting a market expansion strategy to serve diverse customer needs; 
• Presented products and services to potential customers, converting 95% into paying customers; 
• Target prospects in other territories by thoroughly researching competitor products, services, and trends; 
• Track product line changes to effectively meet dynamic market needs. 

- Judge's Assistant |Tyachiv district court of Transcarpathian region – Tyachiv, March 2010 - January 2019
• Preparation of various written messages, reports, and documents;
• Preparation of documents, identification of discrepancies, and prompt appeal for resolution;
• Identified problems, analyzed information, and provided solutions to problems;
• Acquired new skills and applied them in daily tasks to increase efficiency and productivity.
"
281,"*Certificate of completion Powercode Academy course in project managment
*Certificate of completion DES-2022 (Data Engineering and Security winter school)
*English: FCE (B2) 
*Certificate of completion DES-2021(Data Engineering and Security winter school)
*Germany:  В2.1 (Goethe Institut Certificate)
* ""FlatFriend"" - project with team of volunteers, who want to create a quality product for the Ukrainian market.Participating as project manager.
* ""SPORT EVENTS"" project 2023 (creating and leading project as a project manager, pet-project during PM course)
*DES-2023  (Data engineering and security winter school) - MedPass (a platform for medical assistance to people). Participating in the development as a business analyst.
*DES-2022 (Data engineering and security winter school) - COV (Country of  volunteers,a platform for matchmaking  between companies and volunteers) . Participating in the development as a business analyst

*Experience:
Confident about such programs as Trello, Jira, Confluence, Canva, SQL, Notion, Slack 
Microsoft office skills   (Power point, Word, Excel, Teams, Access)
*Skills:
 I can and enjoy  working both with a team and alone.
Sociable and pleasant in communication, stress tolerant, assertive, diplomatic. Always open to new ideas and suggestions.
Leadership: Clarity and argumentation
Growth Mindset: Critical Thinking Managerial
General Management: Scrum, Agile, Kanban, V-Model, Waterfall
"
282,"2011-2016 - an online store ""Eco Harmony"" - Commercial Director
Internet Marketing (boards, forums, social networks)
lead generation, working with leads database, working with clients' requests
holded meetings with the team, the resolution of disputes and conflict situations;
 team management, control and monitoring of the implementation of tasks
fixed international sales process
managed relations with suppliers
looked for ways to create new revenue streams at every possible opportunity
developed commercial relationships with key customers and partners
supported all sales activities within the company
constantly looking out for new sales and business opportunities in targeted markets,involved in the recruitment and staff training
Fluent English;
Quick learner who is open to change and adapts well to new situations;
Optimistic team player with the ability to get along well with everyone;
I can get on with people at all levels and influence them;
Great business sense;
Highly motivated;
Dealing tactfully with sensitive issues;
Superb planning, analysis, and estimation skills;
First rate risk management skills;
P&L Management;
Strategic Planning;
Customer Relationship Management;
Staff Training & Development.
"
283,"
Focused Improvement and Goal Alignment Coordinator:

-   enable the productivity gain through driving continuous improvement initiatives
- ensure right measures define and spread across the company
- workshops organization and facilitation
- opportunities for projects identification across all E2Es and approving those with stakeholders
- training and coaching project leaders on the FI methodologies
- Report status and results of DMAIC projects to relevant managers and stakeholders
- Ensure that the benefits generated by the projects are properly measured and that impact on total costs are effectively validated by F&C

 Quality Supervisor:


Leading the Team of 7 members; 
Project management;
New controls implementation;
Enhancing the level of service delivered to the Markets; 


Customer Relationship Management Coordinator:

	Focus on developing and enhancing relationship with the Markets on E2E processes by driving standardization, simplification and automation;
•	Ensure collaborative and proactive approach on improving quality, allying best practices and standards; 
•	Coordinate/ facilitate/ support key projects within the Market;
•	React as single point of contact between the Market and NBS
•	Day-to-day communication with Markets and operation in the form of e-mails, calls, regular meetings etc.

Quality Specialist:

SoD and High Sensitive Roles Management for Markets in scope:
- run compensating controls for agreed SoDs and follow up on deviations;
- run compensating controls for SAP SoDs;
- prepare KPIs for monthly monitoring;
- communicate  with markets on quality assurance topics via e-mail or skype
- control, analyze and finalize reviewing report by the markets.  
- improve, standardize, automate and harmonize Compensating Control process;
- update all documentation and Standard Routines.
"
284,"•Significant improvement of the company’s revenue after the implementation of brands promotion projects. •Assistance in the organization of competitions of the Kitesurfing Federation of Ukraine, as well as children’s competitions in alpine skiing and roller skating.
For 6 years I worked as a brand manager and wholesale manager in a group of companies Extreme Style. Functions:
•promotion and development of the brand on the Ukrainian market
•conducting transactions with wholesale customers
•negotiating with foreign suppliers
•market analysis
•long-term strategy planning
•budget planning
•launching marketing campaigns
•reporting
•retail store sales analysis
• preparation of documentation
• maintenance documentation
• staff training and preparation of training materials


In the spring of 2023, I received a diploma from the Junior Project Manager course at the Laba Group.

The courses helped me to understand the prioritization of tasks, error detection, forecasting and management methodologies in project management. I would like to continue developing in this direction directly in practice, working in the company. I scored 191 points out of 200 on the courses to obtain my diploma.

I chose project management because my past position was similar, I am interested in process management, optimal problem solving. I believe that when the team works well together and everyone understands their tasks, the goal will be achieved.
I would like to get into such a company, where, first of all, I would work with interesting tasks, with a good leader from whom I can learn and develop. And of course, no ""bureaucracy"" in the company."
285,"I've finished course in the Google Project Management Certificate program ( certificate - Course Certificate  Agile Project Management).
Also, i've taken a course Agile with Atlassian Jira.
Former lawyer is looking for position as a project manager. Focusing on long-term growth, innovation and continuous improvevement.  

Worked in the field of educational legislation. 
As a leading specialist in the regulatory and legal sector, organized the work of the department from scratch.

I participated in the conduct of cases regarding the violation of the rights of participants in the educational process, analyzed the current legislation, prepared proposals changing to the current legislation, in particular, with my participation, changes were made to the resolution of the Chief State Sanitary Doctor of Ukraine dated August 22, 2020 No. 50.

Also, I developed proposal to  the document that will determine the accounting of working hours and wages of pedagogical workers during distance and mixed learning, in particular, in conditions of a pandemic.

Worked on a project at the International Renaissance Foundation, analixed educational law during martial law.
I would like to have opportunity to have mentor who'll help me to expand my current knowledge, receive new real valuable skills in project management, especially in IT project management.
This will give a greater chance to be useful to the company and to be more competitive employee."
