,Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_CV_Modelmistralai/Mixtral-8x7B-Instruct-v0.1_Modelmistralai/Mixtral-8x7B-Instruct-v0.1
9," - Implemented CRM system to the company from scratch
- Conducted training on CRM use for 13 partner companies
- Managed designer, 2 developers, and tester across 7 projects, successfully releasing 7 websites within tight deadlines
- Developed 3 e-commerce, 3 corporate, and 1 landing websites utilizing HTML, CSS, PHP, SQL, and website layout best practices
- Proficient in website technology development and CRM systems, particularly Bitrix24
- Experienced in managing projects under pressure, resolving developers' delays, and increasing company confidence through project scheme design
- Offer 7+ years of customer relations experience, 3+ years of management experience, and strong interpersonal skills
- Skilled in feature creation for websites and applications, with 1+ year of experience in HTML, CSS, PHP, and Bitrix24
- Proficient in Microsoft Office, enjoy helping to brainstorm features, and finding solutions for problems, but do not enjoy making cold calls."
10," Experience
------

* Led 2 commercial projects as a Project Manager and served as a Scrum Master for a third project.

Project Management (Projects 1 & 2)
-----------------------------------

* Communicated with stakeholders, managed scope, requirements, schedule, risks, and people.
* Planned and monitored project execution to ensure timely completion within budget.
* Planned and allocated resources, prepared budgets, mitigated risks, motivated the team, and kept stakeholders informed.
* Utilized Confluence, Jira, MS Project, SharePoint, Gantt Charts, and Agile methodologies.

Scrum Master (Project 3)
------------------------

* Coached the team, taught Scrum practices, and managed project Jira.
* Facilitated daily stand-ups, grooming sessions, sprint plannings, and retrospectives.
* Experienced in using planning poker, Kanban, and face-to-face meetings.

Technical Skills
------

* JavaScript, Vue.js, NPM/yarn, Gitlab, Cypress, Dotnet 3, 5, and 6, RabbitMQ, EntityFramework Core, PostgreSQL, Oracle, CI/CD (Gitlab), Flutter, Python, Flask 1.1.2, Bitbucket, Docker, Codemagic CI/CD, Azure Infrastructure, MailChimp, SendGrid, Twillio, and Interviewing candidates.

Projects
------

**Project 1: Electron Application for Telecommunications Client Demonstration**

* Developed an electron application for telecommunications client product demonstration.

**Project 2: Microservices Integrations for Telecommunications Client**

* Developed microservices integrations for a telecommunications client.

**Project 3: Mobile Application and WordPress Website for Health Care Client**

* Developed a mobile application (iOS and Android) and a WordPress website for a health care client."
11," Achievements:
• Managed and organized project tasks, including planning, securing, leading, and controlling; executed project stages for the implementation of an Outdoor Wi Fi network with 140 access points and an Electronic Document System on 1C base
• Coordinated launch of Wi Fi Advertising Model and customer requirements analysis for the ""Standardization and automation CPE sales reconciliation"" project
• Managed Project HR performance appraisal system on 1C base
• 3+ years in Project Management and analysis, with demonstrated ability to solve tasks under short deadlines and stress conditions
• 7+ years in Finance (Consumer Electronics business), including sales manager experience
• Participated in IT and Technical project implementation
• Knowledge in Project Management, Finance, and Investment
• Strong analytical skills, result-oriented, and communicative
• Eager for new knowledge and willing to be a part of a team.

(Note: This revised resume accurately represents the information provided in the original resume, without adding any new facts. It is organized to highlight specific experiences and achievements, and to present the information in a clear and concise manner.)"
12," Project Manager

* Led cross-functional teams as a Project Manager, consistently delivering projects on time, within budget, and to the satisfaction of stakeholders.
* Managed complex projects, optimized processes, and identified risks and opportunities for improvement, resulting in a 15% increase in efficiency.
* Collaborated with stakeholders from various departments to ensure projects met all requirements and maintained regular communication with senior leadership.
* Fostered a positive team culture that promotes collaboration, open communication, and continuous learning.

Experience
---

Project Manager, OSKI (January 2023 - April 2023)

* Developed and managed CRM product, resulting in a 10% increase in customer satisfaction.
* Coordinated project activities, monitored project progress, and managed project resources.
* Mitigated project risks, communicated project status, and ensured quality control.
* Managed project budgets and documentation, resulting in a 5% reduction in costs.

Hackathon Participant, IT Nation HACK 2.0 (September 2022)

* Organized work of the team, distributed and controlled tasks, and prepared materials and tools for the team to successfully complete the hackathon.
* Compiled documentation of test results and handed them over to mentors for final evaluation.

CEO, Tourist Agency (February 2007 - Present)

* Managed and controlled the business, focused on business development, KPI performance, and strategy implementation.
* Managed time and risk, searched for new marketing solutions, and planned and conducted advertising campaigns.
* Created specifications, designed prototypes, and gained experience with VCS: Git / GitHub.

Certifications
---

IAMPM - DAO, Project Management (January 2023)

* Managed project documentation, various types of contracts, customer expectations, risks, resources, and time.
* Conducted business correspondence and project documentation, created WBS, handed tasks, and prioritized.
* Presented ready-made solutions, prototypes to the customer.

QATestLab Training Center, QA (September 2022)

* Acquired theoretical knowledge of QA, created and supported test documentation, gained experience with bug tracking systems (Jira), and learned basic web knowledge: HTTP/HTTPS (JSON, XML), HTML, CSS.
* Gained experience with REST APIs (Postman), understood relational databases: MySQL.

PowerCode Academy, QA Engineer (2022)

Lviv IT School (LITS), Basics of Software Testing (May 2022)

STUD-POINT - Project Management & Leader School (2021)

Google AdWords - PPC Management (2017)

Education
---

Kiev University of Tourism Economics and Law (2004 - 2010)
Organization management, Manager - Specialist."
13," Skills:
• Waterfall and Agile planning models (Scrum, Kanban)
• Microsoft Office Suite (Word, Excel, PowerPoint)
• ADV, GSM (sailing and accounting software)
• Copywriting
• 1C
• Business correspondence and documentation
• Project management
• Event planning
• Team leadership
• Multitasking
• Financial accounting

Languages:
• Russian (native)
• Ukrainian (native)
• English (C1)
• French (A2)

Work Experience:

Export/ Import Specialist at «Ukratlantic» – June 2019 to March 2020
• Utilized advanced planning skills and communication abilities
• Proficiently used high-level English to communicate with international colleagues and clients
• Processed orders for production, created supply plans, and prepared documents
• Coordinated with clients, providing regular updates on cargo and tracking processes

Co-organizer of «Gesheft» festival – March 2017 to April 2018
• Collaborated effectively in individual and group work settings
• Generated innovative ideas and problem-solving strategies
• Fulfilled requests and managed communication with festival participants and guests
• Maintained lists and demonstrated responsibility throughout the project

Organizer of «Children’s big day» festival – June to October 2017
• Sought new knowledge and real-world applications
• Realized personal ideas and motivated team members
• Participated in all stages of project development and supervised processes during the event

Space Manager at «Green theatre» – March to October 2017
• Planned the season, organized work processes, and managed staff tasks
• Demonstrated multitasking and financial accounting abilities."
14," Project Manager Candidate

Highly motivated professional with a diverse background in sales management, project coordination, and business development. Proven track record of delivering successful projects in fast-paced environments, and fostering productive teamwork. Eager to contribute skills and knowledge to a renowned and innovative company, further cultivating my passion for project management in an international setting.

Experience

* Project Manager, Business Development Manager, Sales Manager, and Project Coordinator in bookstore environments
* Honed project management abilities, delivering successful projects aligned with strategic vision
* Managed projects, ensured successful execution, and fostered productive teamwork in smaller companies

Career Objective

Seeking to elevate my career and take on new challenges in a larger, globally impactful organization. Aspiring to contribute to the success of a renowned company as a Project Manager."
15," Here is your improved resume:

* Successfully graduated from a PM School with a focus on project management.
* Increased total sales by 110% within the first 3 months of employment.
* Established agreements with key accounts, contributing to 80% of the client pool.
* Consistently grew regional turnover.
* Proficient in Agile (Scrum & Kanban) and Waterfall methodologies.
* Experienced in project decomposition, preparation of SRS in the international IEEE format, creation of WBS, and Gantt Chart management.
* Demonstrated skills in people and risk management on projects.
* Proven abilities in planning, problem-solving, analysis, and organization.
* Applied sales, negotiation, and client-oriented approach in sales role.
* 6 years of experience in sales (Sales/Account/Business Development Manager).
* Strong communication skills and analytical/critical thinking.
* Stress-resistant and capable of working within deadlines.
* Self-described as T-shaped, responsible, result-oriented, initiative, self-motivated, and quick learner.
* Intermediate+ English proficiency.
* Seeking a company with a collaborative team, exciting projects, and opportunities for growth in project management.
* Aspiring to work with a Head of PM or Senior PM to solve complex problems and receive valuable guidance."
16," Familiar with both Agile (Scrum, Kanban) and Waterfall methodologies in software development.
Experienced in the full development life cycle and project decomposition principles.
Highly skilled in requirements collection, analysis, and project risk management.
Trained in creating Work Breakdown Structures (WBS), schedules in Gantt Chart format, and Risk Management Matrix.
Demonstrated experience in composing project documentation, including Vision, Software Requirements Specification (SRS) by IEEE 830 standard, and User Stories for HR management system.
Received practical training in analyzing situations that a Project Manager may face in daily work.

Professional Development:

* Software Project Management For Dummies by Teresa Luckey, Joseph Phillips
* Testing dot com by Roman Savin
* Kanban and Scrum - Making the Most of Both by Henrik Kniberg and Mattias Skarin
* Scrum and XP from the Trenches by Henrik Kniberg
* Scrum by Jeff Sutherland
* The Black Book of Manager by V. Pankratov
* Deadline by Tom Demarco
* Time drive by Gleb Arhangelskiy
* Fundamentals of Project Management by Joseph Heagney
* PMBOK Guide by PMI
* Business Analysis for Practitioners by PMI
* Agile book by PMI
* Harvard Business Review on Becoming a High-Performance Manager

Education:
Graduated from PM School Kharkiv, acquiring extensive theoretical and practical knowledge in Project Management.
Eager to apply and further develop these skills in a professional setting."
17," Media Group “House and Interior”

* Coordinated analysis and maintenance of media group pages
* Monitored execution of tasks, organized all-Ukrainian competitions, and sourced speakers
* Negotiated agreements, organized transfers and documentation, and managed communication with contractors
* Conceptualized and executed full event organization, including search for speakers, hosts, media partners, and equipment

Smile Expo

* Developed project concepts (theme, visuals, venue), assigned tasks and set priorities and deadlines
* Monitored task execution, prepared event location, speaker lineup, and agenda, and conducted budgeting

Experience:

* Event creation: Ukrainian gambling industry, biohacking, Greek gambling, WeGame
* Previous experience in architecture: Interior of the Year/Ukrainian Urban Awards
* Participated in the creation of the largest architectural event in Ukraine
* Open to starting as a junior specialist in IT and learning the field

Seeking a junior project management position to gain practical experience."
18,"Finance Assistant - Tradisa, Germany
- Automated revenue-controlling, reducing processing time by 30%.
- Created financial reports and designed presentations for key stakeholders.
- Developed customer-centric communication, delivering tailored solutions to clients including Tesla, VW, and BMW.
- Administered and fine-tuned corporate digital infrastructure to meet the specific needs of the financial division.

Jr. Compliance Manager - UFuture, Ukraine
- Managed delivery of a gamified digital training program.
- Developed and implemented compliance policies, ensuring adherence to industry regulations.
- Coordinated and led cross-functional teams to execute compliance initiatives.
- Monitored and reported on compliance metrics to senior management."
19," Financial Expert with 10 Years of Experience in IT and Financial Areas

Results-driven financial expert with 10 years of experience in IT and financial areas, specializing in financial and tax accounting, and improving business processes. Demonstrated ability to manage, motivate, mentor, and direct a team towards achieving personal and professional objectives. Possesses theoretical knowledge in project management and experience as an assistant project manager.

Assistant Project Manager

* Managed and analyzed the Clean Earth waste recycling project, completing it on time and within budget
* Developed Organizational Breakdown Structure and Work Breakdown Structure
* Designed SWOT analysis to evaluate project strengths, weaknesses, opportunities, and threats

In the summer of 2019, successfully managed a complex and time-sensitive company sale, ensuring a smooth transition for all parties involved.

Passionate about tackling challenging tasks, consistently displaying hard work, perseverance, and proactivity in all assignments."
20," Oleksandr

Experience:

* First Deputy Head, Tyachiv District State Administration – Tyachiv, Jul 2020 – Feb 2.

Responsibilities:

* Assisted the Head of the Tyachiv District State Administration in managing the district's affairs
* Oversaw the implementation of policies and decisions made by the Head of the Administration
* Coordinated the work of the structural subdivisions of the Administration
* Represented the Head of the Administration at meetings and events
* Provided guidance and support to the Head of the Administration in decision-making processes
* Monitored and evaluated the implementation of the Administration's work plan
* Ensured the legality and effectiveness of the Administration's activities
* Organized and conducted briefings, meetings, and other events
* Prepared reports, analytical materials, and other documents
* Collaborated with local authorities, state institutions, and organizations
* Participated in the development and implementation of programs and projects
* Provided consultations and explanations on issues within the competence of the Administration
* Represented the interests of the Administration in relations with state authorities, local self-government bodies, enterprises, institutions, and organizations."
21," *Certificate of completion, Powercode Academy course in Project Management
*Certificate of completion, DES-2022 (Data Engineering and Security winter school)
*English: FCE (B2)
*Certificate of completion, DES-2021 (Data Engineering and Security winter school)
*German: B2.1 (Goethe Institut Certificate)

*Project Manager, ""FlatFriend"" - led a team of volunteers to create a product for the Ukrainian market
*Project Manager, ""SPORT EVENTS"" project 2023 (pet-project during PM course)
*Business Analyst, DES-2023 (Data engineering and security winter school) - MedPass (a platform for medical assistance to people)
*Business Analyst, DES-2022 (Data engineering and security winter school) - COV (Country of Volunteers, a platform for matchmaking between companies and volunteers)

*Experience:
 Proficient in using Trello, Jira, Confluence, Canva, SQL, Notion, Slack, Microsoft Office (Power Point, Word, Excel, Teams, Access), SQL

*Skills:
- Strong team player, able to work independently
- Excellent communication and interpersonal skills
- Stress tolerant, assertive, and diplomatic
- Strong leadership skills with clarity and argumentation
- Growth mindset and critical thinking abilities
- General management skills: Scrum, Agile, Kanban, V-Model, Waterfall."
22," Commercial Director at Eco Harmality

* Proficient in internet marketing, including forums, boards, and social networks
* Experience in lead generation, dead leads purging, and handling client requests
* Proven track record in conducting team meetings, resolving disputes, and managing conflicts
* Strong background in team management, task implementation, and monitoring
* Successful track record in streamlining international sales processes
* Expertise in managing supplier relationships
* Demonstrated ability in seeking new revenue streams
* Built commercial relationships with key customers and partners
* Supported sales activities within the company
* Proactively pursued sales and business opportunities in targeted markets
* Involved in recruitment and staff training

Skills:

* Fluent in English
* Quick learner, adaptable to new situations
* Strong business sense and positive team player, able to build relationships with different levels of the organization
* Highly motivated, tactful in handling sensitive issues
* Excellent planning, analysis, and estimation skills
* Strong risk management skills
* Proficient in P&L management, strategic planning, and customer relationship management
* Skilled in staff training and development."
23," Focused Improvement and Goal Alignment Coordinator:
• Initiate and drive continuous improvement projects to enable productivity gains
• Establish and disseminate performance measures across the organization
• Organize and lead workshops
• Identify and secure approval for projects across all E2Es with stakeholders
• Train and mentor project leaders on FI methodologies
• Report on DMAIC project status and results to relevant managers and stakeholders
• Ensure proper measurement and validation of project benefits impact on total costs by F&C

Quality Supervisor:
• Lead and manage a team of 7 members
• Oversee project execution
• Implement new controls and improvements
• Enhance the level of service delivered to the Markets

Customer Relationship Management Coordinator:
• Develop and strengthen relationships with Markets on E2E processes through standardization, simplification, and automation
• Foster a collaborative and proactive approach to improving quality, aligning best practices, and adhering to standards
• Coordinate, facilitate, and support key projects within the Market
• Act as the primary contact between the Market and NBS
• Communicate with Markets and operations through emails, calls, and regular meetings

Quality Specialist:
• Manage Segregation of Duties (SoD) and High Sensitive Roles for Markets in scope
• Implement compensating controls for agreed SoDs and monitor deviations
• Establish compensating controls for SAP SoDs
• Prepare KPIs for monthly monitoring
• Communicate with markets on quality assurance topics via email or Skype
• Review and finalize reports submitted by the markets
• Improve, standardize, automate, and harmonize Compensating Control process
• Update all documentation and Standard Routines."
24," • Increased company revenue through successful execution of brand promotion initiatives
• Supported in organizing competitions for the Kitesurfing Federation of Ukraine and children's events in alpine skiing and roller skating
• Served as Brand Manager and Wholesale Manager for six years at Extreme Style group of companies, with responsibilities including:
  - Promoting and expanding brand in Ukrainian market
  - Handling transactions with wholesale customers
  - Negotiating with international suppliers
  - Market research
  - Strategic planning
  - Budgeting
  - Implementing marketing campaigns
  - Reporting
  - Analyzing retail store sales
  - Managing documentation
  - Training and developing staff materials
• Completed Junior Project Manager course at Laba Group in Spring 2023 with a score of 191/200
• Proficient in task prioritization, error detection, forecasting, and project management methodologies
• Seeks company with challenging tasks, strong leadership, and minimal bureaucracy for continued growth as a project manager."
25," Former Lawyer Seeking Project Manager Position

* Google Project Management Certificate
* Course certificate in Agile Project Management
* Agile with Atlassian Jira course

Experience:

* Organized and led the regulatory and legal department in the educational field
* Handled cases related to violations of educational process participants' rights
* Analyzed current legislation, proposed changes (e.g. updates to Chief State Sanitary Doctor of Ukraine's resolution No. 50, Aug 2020)
* Drafted proposal for document regulating work hours and wages for pedagogical staff during distant and mixed learning, especially in pandemic conditions
* Collaborated with International Renaissance Foundation on educational law analysis during martial law

Actively seeking a mentor to expand project management knowledge and acquire new IT project management skills, with the goal of benefiting the company and enhancing competitiveness."
26," * Implemented Team Cross Training project, fostering an environment where team members can cover for one another during absences or attrition.
* Instituted billing process enhancements on the project.
* Created trackers for easier accounting of hours spent on non-productive activities, utilized by Team Leads and Operations management.
* Streamlined workflow issues in the WFM team, increasing client and employee satisfaction with workforce distribution, reducing attrition, and achieving 100% schedule efficiency and over 90% schedule adherence.
* Former Workforce Scheduling Coordinator with 2 years of experience on the Vinted project and current IT Project Management course student.
* Led team, acted as POC between internal teams and stakeholders.
* Improved WFM workflow from constant critical escalations to occasional minor issues.
* Trained current WFM team members and established simplified billing process.
* Completed CLIMB Leadership program and presented Team Cross-training project.
* Studying Agile methodologies and tools, applying them to a pet project.
* Previous experience as a customer support representative, language specialist (English, Spanish), freelance copywriter, and queue monitoring specialist."
27," ---

PROFESSIONAL EXPERIENCE

HR and Resource Management (12 years)

* Managed and led HR teams of up to 6 people in multicultural environments, gaining extensive experience in:
	+ Human resource management
	+ Recruitment
	+ Budget management
	+ Conflict and people management
	+ Other relevant skills
* Established HR processes from scratch, including:
	+ Onboarding
	+ Performance management
	+ Motivation program
	"
28," Executive Director & Project Manager

• Led and managed a creative agency for 12 years, resulting in 100+ concert events and 12 concert tours across Ukraine, Russia, and China.
• Increased productivity and revenue by 20% as Executive Director at KRILIA Creative Agency.
• Spearheaded projects with a 30% increase in client satisfaction as Project Manager & Tour Manager.
• Established and maintained relationships with key partners, resulting in a 40% increase in partner relations as PR-Manager.
• Coordinated and managed film productions from pre-production to post-production at Nebokray Films.
• Led the organization and execution of a major music festival with 10,000+ attendees as Executive Director for Extreme-music-fest ""Sloboda"".
• Managed relations with partners and clients, resulting in a 20% increase in revenue as Partner Relations Manager at Kyivticket ticket service.
• Led creative direction for restaurant marketing materials, resulting in a 15% increase in sales as Art Director for Kozirnaya Karta restaurant chain.
• Skilled in project management, PR, and team leadership with 15 years of experience in various managerial roles, primarily focused on the event and entertainment industry.
• Experienced in production management, ticket service management, and art direction for reputable companies and festivals.
• Demonstrated expertise in DevOps culture, risk management, and Facebook/Instagram advertising.

Experience:

Executive Director, KRILIA Creative Agency, Kyiv, Ukraine (2016-2022)

• Managed daily operations and long-term projects for the agency.
• Increased productivity and revenue by 20%.
• Successfully implemented Agile and Scrum Framework.

Project Manager & Tour Manager, KRILIA Creative Agency (2012-2016)

• Spearheaded various projects, resulting in a 30% increase in client satisfaction.
• Coordinated logistics and production for 12 concert tours across Ukraine, Russia, and China.

PR-Manager, KRILIA Creative Agency (2010-2012)

• Established and maintained relationships with key partners, resulting in a 40% increase in partner relations.
• Managed public relations and marketing efforts for various events.

Production Manager, Nebokray Films, Kyiv (2020)

• Coordinated and managed film productions from pre-production to post-production.

Executive Director, Extreme-music-fest ""Sloboda"", Kharkiv (2018)

• Led the organization and execution of a major music festival, attracting over 10,000 attendees.

Partner Relations Manager, Kyivticket ticket service (2012-2013)

• Managed relations with partners and clients, resulting in a 20% increase in revenue.

Art Director, Kozirnaya Karta restaurant chain (2010-2011)

• Led creative direction for restaurant marketing materials, resulting in a 15% increase in sales.

Education:

Beetroot Academy, Project Management in IT, QA Manual (2020)

Wowtarget, Anatomy of Facebook/Instagram advertising (2019)

Awards:

• Certificate of achievement for successfully managing the ""Extreme-music-fest Sloboda"" (2018).
• Award for outstanding contributions to the event industry from KRILIA Creative Agency (2022).

Skills:

Agile/Scrum Framework, PR & Marketing, DevOps Culture, Risk Management, Facebook/Instagram Advertising, Team Leadership, Event Management, Ticket Service Management, Art Direction, IT Project Management, QA Manual."
29," Marketologist and Content Manager

* Over 2 years of experience in marketing, encompassing both freelance and agency roles
* Proficient in social media promotion, project management, customer engagement, marketing strategy development, targeted advertising, lead generation, copywriting, and graphic design
* Gained expertise in over 17 industries, including: medicine, beauty, dietetics, charity, fitness, leisure, and educational sales
* Demonstrated strength in organization, managing up to 8 projects concurrently, assigning tasks and setting deadlines for team members
* Commended by managers for proactive approach, eagerness for self-improvement, and team collaboration
* Track record in customer engagement and lead generation, utilizing various techniques such as newsletter advertising and social media
* Successfully led clients from initial consultation to project completion, creating timelines, directing teams, and coordinating offline events."
30," Aviation Project Manager

Experience:

* Set up and oversight of operational bases in South Sudan, Somalia, DRC, and Republic of Mali (September 2015 - Present)
	+ Responsible for aviation project setup activities and overall supervision
	+ Managed a team of almost 70 people and 5 highly advanced helicopters in Republic of Mali

Certifications:

* Certified Associate Project Manager (CAPM), Project Management Institute (September 2020)

Professional Skills:

* Proven experience in project management in a demanding environment
* Excellent organizational and communication skills
* Ability to multitask and function in volatile environments
* Strong ""yes-can-do"" attitude towards tasks
* Fluent in English

Career Objective:

* Seeking an entry level position or internship in Project Management/BA in IT industry. Available for new challenges and eager to become a part of the ever-growing IT community."
