,Modified_deepseek-chat_of_CV_Modeldeepseek-chat
270,"**PROFESSIONAL SUMMARY**
Project Manager and Scrum Master with experience leading commercial projects in telecommunications and healthcare. Skilled in Agile methodologies, stakeholder communication, and full project lifecycle management from scope definition to on-time, on-budget delivery.

**PROFESSIONAL EXPERIENCE**

**Project Manager / Scrum Master**
*   Led two commercial projects as Project Manager and facilitated a third as Scrum Master.
*   **Project Manager Responsibilities:** Owned end-to-end project delivery. Managed communication with stakeholders. Responsible for scope, requirements, schedule, risk, and people management. Planned and monitored project execution to ensure timely and budget-compliant completion. Planned and designated project resources, prepared budgets, mitigated risks, motivated teams, and maintained stakeholder communication throughout the process.
*   **Scrum Master Responsibilities:** Facilitated team by removing blockers and coaching on Scrum practices. Managed project Jira. Facilitated daily standups, grooming sessions, sprint plannings, and sprint retrospectives.

**PROJECT PORTFOLIO**

**Project 1: Electron Application Development**
*   **Role:** Project Manager
*   **Description:** Development of an electron application for product demonstration.
*   **Domain:** Telecommunications
*   **Customer:** Sweden
*   **Tools & Technologies:** JavaScript, Vue.js, NPM/Yarn, GitLab, Cypress

**Project 2: Microservices Integrations**
*   **Role:** Project Manager
*   **Description:** Development of microservices integrations.
*   **Domain:** Telecommunications
*   **Customer:** Sweden
*   **Tools & Technologies:** .NET 3.5 & 6, RabbitMQ, Entity Framework Core, PostgreSQL, Oracle, CI/CD (GitLab)

**Project 3: Mobile Application & WordPress Website**
*   **Role:** Scrum Master
*   **Description:** Development of a cross-platform mobile application (iOS/Android) and a WordPress website.
*   **Domain:** Health Care
*   **Customer:** USA
*   **Tools & Technologies:** Flutter, Python, Flask 1.1.2, Bitbucket, Docker, Codemagic CI/CD, Azure Infrastructure, MailChimp, SendGrid, Twilio

**SKILLS**
*   **Project Management:** Scope, Requirements, Schedule, Risk & People Management; Budgeting; Resource Planning; Stakeholder Communication
*   **Methodologies & Practices:** Agile, Scrum, Kanban
*   **Tools:** Confluence, Jira, Microsoft Project, SharePoint, Gantt Chart, Planning Poker
*   **Additional Competencies:** Test Case Creation, Holding F2F Meetings, Interviewing Candidates, Proposal Preparation"
271,"**PROFESSIONAL PROFILE**
A results-oriented professional with over 3 years of experience in project management and analysis, complemented by 7+ years in finance and consumer electronics sales. Proven ability to organize, plan, manage, secure, lead, and control project tasks. Skilled in analytical problem-solving, cross-functional coordination, and delivering under tight deadlines.

**PROFESSIONAL EXPERIENCE**

**Project Manager**
*   Coordinated multiple stages for the ""Outdoor Wi-Fi Network"" project involving the deployment of 140 access points.
*   Coordinated the launch of the Wi-Fi Advertising Model.
*   Managed the Project HR performance appraisal system on the 1C platform.
*   Coordinated stages for the implementation of an Electronic Document System on the 1C platform.
*   Led the ""Standardization and Automation of CPE Sales Reconciliation"" project, conducting customer requirements analysis and overseeing project coordination.

**Key Skills & Competencies**
*   **Project Management:** Full project lifecycle oversight, from planning and securing resources to controlling execution. Experience in IT and technical project implementation.
*   **Finance & Analysis:** 7+ years of experience in finance within consumer electronics, including sales performance. Knowledge in finance and investment.
*   **Personal Attributes:** Strong analytical skills, result-oriented, and communicative. Adept at solving diverse tasks under short timelines and stressful conditions. Eager to learn and a committed team player."
272,"[Your Name]
[Phone Number] | [Email Address] | [Location] | [LinkedIn Profile/Portfolio URL]

**PROFESSIONAL SUMMARY**
Project Manager with a proven track record of leading cross-functional teams to deliver projects on time, within budget, and to stakeholder satisfaction. Expertise in managing complex projects, optimizing processes, and mitigating risks. Skilled in stakeholder collaboration, resource management, and fostering positive team cultures to drive successful project outcomes.

**EXPERIENCE**

**Project Manager** | OSKI
(January 2023 — April 2023)
*   Developed and managed a CRM product.
*   Coordinated all project activities and monitored progress.
*   Managed project resources, budgets, risks, and documentation.
*   Communicated project status and ensured quality control.

**CEO** | Tourist Agency
(February 2007 — Present)
*   Perform full business management and control, including strategy implementation and KPI performance.
*   Manage time, resources, and business risks.
*   Drive business development and search for new marketing solutions.
*   Plan and conduct advertising campaigns.
*   Create specifications and design prototypes.

**Hackathon Participant** | IT Nation HACK 2.0
(September 2022)
*   Organized team workflow, including task distribution and control.
*   Prepared materials and tools for the team to complete the hackathon.
*   Compiled documentation of test results for mentor evaluation.

**EDUCATION**

**Organization Management, Manager - Specialist**
Kiev University of Tourism Economics and Law
(2004 — 2010)

**CERTIFICATIONS & PROFESSIONAL DEVELOPMENT**

**IAMPM - DAO, Project Management** | January 2023
*   Managed project documentation, contracts, customer expectations, risks, resources, and time.
*   Conducted business correspondence and created WBS, delegated tasks, and set priorities.
*   Presented solutions and prototypes to customers.

**QA Engineer** | QATestLab Training Center | September 2022
*   Gained theoretical QA knowledge and experience creating test documentation.
*   Used bug tracking systems (Jira) and demonstrated basic web knowledge (HTTP/HTTPS, HTML, CSS).
*   Gained experience with REST APIs (Postman), relational databases (MySQL), and VCS (Git/GitHub).

**PowerCode Academy, QA Engineer** | 2022
**Basics of Software Testing** | Lviv IT School (LITS) | May 2022
**Project Management & Leader School** | STUD-POINT | 2021
**Google AdWords - PPC Management** | 2017

**SKILLS**
*   **Project Management:** Scope, Time, Budget, & Resource Management; Risk Mitigation; Quality Control; WBS; Agile/Waterfall Methodologies
*   **Leadership & Collaboration:** Cross-functional Team Leadership; Stakeholder Communication; Remote Team Management
*   **Technical Tools:** Jira, Postman, Git/GitHub, MySQL; Basic HTML/CSS
*   **Business:** Strategy Implementation, Business Development, KPI Analysis, Marketing & Advertising"
273,"**PROFESSIONAL PROFILE**
A detail-oriented professional with experience in export/import operations and event coordination. Skilled in project planning, cross-functional communication, and process management. Proficient in utilizing specialized software and office tools to streamline workflows and meet deadlines.

**SKILLS**
*   **Project Management:** Waterfall and Agile methodologies (Scrum, Kanban).
*   **Software & Tools:** Microsoft Office (Word, Excel, PowerPoint), 1C, ADV, GSM.
*   **Languages:** Russian (Native), Ukrainian (Native), English (C1), French (A2).
*   **Professional Skills:** Copywriting, supply planning, business correspondence, client relations, financial accounting, team leadership.

**PROFESSIONAL EXPERIENCE**

**Export/Import Specialist** | «Ukratlantic»
*June 2019 – March 2020*
*   Processed incoming production orders and developed detailed supply plans.
*   Prepared and managed export/import documentation with strict adherence to deadlines.
*   Maintained proactive communication with clients worldwide, providing updates on cargo status and tracking processes.
*   Conducted business correspondence with international colleagues and clients.

**Event Coordinator & Organizer**
*March 2017 – April 2018*
*   **Co-organizer, «Gesheft» Festival:** Collaborated on team decision-making, generated creative ideas, and resolved logistical challenges. Managed communication with festival participants and guests, and maintained administrative lists.
*   **Organizer, «Children’s Big Day» Festival:** Oversaw project stages from conception to execution, motivating team members and supervising all on-site event processes.
*   **Space Manager, «Green Theatre»:** Planned the seasonal schedule and organized daily workflows for staff. Managed multiple concurrent tasks and maintained financial records.

**EDUCATION**
*   [Degree Field, if any, would be placed here. Example: Bachelor of Arts in Business Administration]
*   [University Name, Location, Graduation Year]"
274,"[Your Name]
[Your Phone Number] | [Your Email Address] | [Your Location/LinkedIn Profile URL]

PROFESSIONAL SUMMARY
Highly motivated professional with a diverse background in sales management, project coordination, and business development. Proven experience delivering successful projects in dynamic, fast-paced environments. Eager to contribute skills and knowledge to a larger, innovative organization and gain experience in an international setting.

PROFESSIONAL EXPERIENCE

[Most Recent Bookstore Employer Name] | [City, State]
**Sales Manager / Project Coordinator / Project Manager / Business Development Manager** | [Dates of Employment]
*   Managed and coordinated projects, ensuring alignment with the organization's strategic vision.
*   Executed projects successfully, fostering productive teamwork.
*   Developed hands-on experience in project management within a dynamic retail environment.

[Previous Bookstore Employer Name] | [City, State]
**[Your Title at this Employer]** | [Dates of Employment]
*   [Detail a key responsibility or achievement from this role, using the original resume's facts.]

[Previous Bookstore Employer Name] | [City, State]
**[Your Title at this Employer]** | [Dates of Employment]
*   [Detail a key responsibility or achievement from this role, using the original resume's facts.]

SKILLS
*   Project Management
*   Project Coordination
*   Team Leadership & Development
*   Strategic Alignment
*   Business Development
*   Sales Management

EDUCATION
[Degree Name] | [University Name] | [City, State] | [Graduation Year]"
275,"**PROFESSIONAL SUMMARY**
A results-oriented Project Management graduate with 6 years of experience in sales and business development. Proven ability to drive revenue growth, manage key accounts, and apply project management methodologies to achieve objectives. Seeking a collaborative role to apply and expand project management skills under experienced mentorship.

**PROFESSIONAL EXPERIENCE**

**Sales / Account / Business Development Manager**
*   Increased total sales by 110% starting from the third month of employment.
*   Conducted successful negotiations and secured agreements with key accounts, constituting 80% of the client pool.
*   Ensured steady growth in regional turnover.
*   Applied strong planning, problem-solving, analytical, and organizational skills to sales, negotiations, and client-oriented service.

**EDUCATION**
Graduate, PM School – Project Management

**SKILLS & COMPETENCIES**
*   **Project Management:** Familiar with Agile (Scrum, Kanban) and Waterfall methodologies. Experienced in project decomposition, creation of Software Requirements Specifications (SRS) in IEEE format, Work Breakdown Structure (WBS), and Gantt Charts. Knowledge of risk management and people-management.
*   **Sales & Business Development:** 6 years of experience in sales, account management, and business development.
*   **Core Strengths:** Excellent communication, analytical and critical thinking, stress resistance, ability to work within deadlines. T-shaped professional, responsible, result-oriented, initiative, self-motivated, and a quick learner.

**LANGUAGES**
English: Intermediate+

**CAREER OBJECTIVE**
Seeking a position within a company that values collaboration, exciting projects, and innovative ideas. Eager to apply management skills to gain further experience and knowledge. Values the opportunity to work alongside and learn from a Head of PM or Senior PM for guidance on complex challenges."
276,"**PROFESSIONAL SUMMARY**
A dedicated project management graduate with foundational training in Agile, Waterfall, and core project management principles. Eager to apply theoretical knowledge and practical training to contribute to a team and grow professionally within a dynamic organization.

**EDUCATION & CERTIFICATION**
PM School Kharkiv – Project Management
*   Comprehensive theoretical and practical training in Project Management.

**SKILLS & METHODOLOGIES**
*   **Methodologies:** Agile (Scrum, Kanban), Waterfall.
*   **Project Lifecycle:** Understanding of full development lifecycle, requirements collection and analysis, and project decomposition principles.
*   **Project Planning:** Training in creating Work Breakdown Structures (WBS) and project schedules in Gantt Chart format.
*   **Risk Management:** Familiar with project risk management principles; training in creating a Risk Management Matrix.
*   **Documentation:** Experience composing project documentation including Vision, SRS (by IEEE 830 standard), and User Stories for an HR management system.
*   **Practical Training:** Analysis of real-world situations a Project Manager may face in daily work.

**PROFESSIONAL READING**
Software Project Management For Dummies | Testing dot com | Kanban and Scrum - Making the Most of Both | Scrum and XP from the Trenches | Scrum | Black Book of Manager | Deadline | Time Drive | Fundamentals of Project Management | PMBOK Guide | Business Analysis for Practitioners | Agile Practice Guide | Harvard Business Review on Becoming a High Performance Manager."
277,"**PROFESSIONAL SUMMARY**
Event management professional with two years of experience in full-cycle project coordination, from concept development to execution. Proven ability to manage cross-functional teams, budgets, and vendor relationships to deliver specialized industry events. Seeking to transition into IT by applying foundational project management skills to a Junior Specialist role.

**PROFESSIONAL EXPERIENCE**

**Smile Expo** | Event Project Manager
Aug 2021 – Mar 2022
*   Developed the general project concept, including theme, visual identity, guidelines, and venue selection.
*   Assigned tasks to the project team, established priorities, and managed deadlines.
*   Monitored task execution and project progress.
*   Managed full event preparation: secured venue, sourced speakers, and developed the conference agenda.
*   Created and managed project budgets.

**Media Group “House and Interior”** | Project Coordinator
Feb 2021 – Aug 2021
*   Analyzed and maintained media group social media pages.
*   Monitored task execution and project timelines.
*   Organized nationwide competitions, including full operational logistics.
*   Researched, contacted, and secured agreements with speakers and hosts.
*   Coordinated speaker transportation and related documentation.
*   Sourced media partners and equipment vendors.
*   Communicated with contractors and company representatives for competition organization.

**KEY PROJECTS & ACHIEVEMENTS**
*   Successfully created and managed event projects in the Ukrainian gambling industry, biohacking, and Greek gambling sectors over the past year.
*   Coordinated the WeGame Ukrainian gaming festival.
*   Contributed to the creation of the largest architectural event in Ukraine, Interior of the Year/Ukrainian Urban Awards, in the preceding year.

**SKILLS**
*   Project Coordination & Execution
*   Team Task Delegation & Monitoring
*   Budget Development & Management
*   Vendor & Speaker Sourcing and Relations
*   Event Concept & Agenda Development
*   Deadline & Priority Management
*   Cross-Functional Communication"
278,"[Your Name]
[Your Phone Number] | [Your Email Address] | [Your Location, e.g., Berlin, Germany]

**PROFESSIONAL SUMMARY**
A results-driven professional with experience in finance and compliance, specializing in process automation, stakeholder communication, and project management. Proven ability to streamline operations and support data-driven decision-making in dynamic corporate environments.

**PROFESSIONAL EXPERIENCE**

**Finance Assistant** | Tradisa, Germany
*   Automated revenue-controlling processes, achieving a 30% reduction in processing time.
*   Created detailed financial reports and designed presentations for key stakeholders.
*   Managed customer-centric communication with major clients including Tesla, VW, and BMW to develop bespoke solutions.
*   Administered and optimized corporate digital infrastructure to meet the specific needs of the financial division.

**Jr. Compliance Manager** | UFuture, Ukraine
*   Managed end-to-end project delivery of a gamified digital training program for 400+ employees, securing the highest participation rate across all portfolio companies.
*   Designed the organizational framework for a supervisory board and board of directors.
*   Conducted research and prepared documentation and policies to streamline business processes.
*   Devised and executed high-impact business dashboards, presentations, reports, and decision-making trees for C-suite executives, supporting data-driven decision-making.
*   Assisted the Chief Compliance Manager with daily business operations and the establishment of a comprehensive compliance program across the holding company.

**SKILLS**
*   Process Automation & Optimization
*   Financial Reporting & Analysis
*   Stakeholder Communication & Presentation
*   Project Management
*   Compliance Program Support
*   Policy & Documentation Development
*   Data Visualization & Dashboard Creation
*   Business Process Streamlining"
279,"**Financial Expert**

Results-driven Financial Expert with 10 years of experience in IT and financial sectors. Specializes in financial and tax accounting and improving business processes. Proven ability to manage, motivate, mentor, and direct teams to achieve objectives. Combines practical financial expertise with theoretical project management knowledge.

**Professional Experience**
*   Successfully managed complex, time-consuming projects, including a company sale in summer 2019.
*   Compiled and analyzed project requirements and stories.
*   Developed Organizational Breakdown Structures (OBS) and Work Breakdown Structures (WBS).
*   Designed SWOT analyses for project assessment.
*   Passionate about tackling difficult tasks and delivering successful outcomes.
*   Known for hard work, perseverance, and proactivity.

**Education & Training**
*   **2018:** Project Management Courses, POWERCODE ACADEMY
    *   Applied learning through the ""Clean Earth"" waste recycling training project, serving in an assistant project manager capacity.

**Objective**
Seeking a role as an Assistant Project Manager to contribute hard work, perseverance, and proactivity to interesting and challenging tasks."
