,Modified_meta-llama_llama-3.3-70b-instruct_of_CV_Modelmeta-llama_llama-3.3-70b-instruct
270,"Experience in leading 2 commercial projects as a Project Manager, and facilitating the team on the 3rd project as a Scrum Master.

As a Project Manager, responsibilities include:
- Communication with stakeholders
- Scope, requirements, schedule, risks, and people management
- Planning and monitoring project execution to ensure timely completion and budget adherence
- Resource allocation and budget preparation
- Risk mitigation and team motivation
- Stakeholder updates throughout the project process

As a Scrum Master, responsibilities include:
- Removing blockers
- Coaching and teaching Scrum practices
- Managing project Jira
- Facilitating daily standups, grooming sessions, sprint plannings, and sprint retrospectives

Technical experience with:
- Confluence
- Jira
- MC Project
- SharePoint
- Gantt Chart
- Agile methodology
- Scrum
- Planning poker
- Kanban
- Test case creation
- Face-to-face meetings
- Candidate interviews
- Proposal preparation

Project experience:
- Project 1: Development of an electron application for client product demonstration
  - Domain: Telecommunications
  - Customer: Sweden
  - Tools and technologies: JavaScript, Vue.js, NPM/Yarn, Gitlab, Cypress
- Project 2: Development of microservices integrations
  - Domain: Telecommunications
  - Customer: Sweden
  - Tools and technologies: Dotnet 3.5 and 6, RabbitMQ, EntityFramework Core, PostgreSQL, Oracle, CI/CD (Gitlab)
- Project 3: Development of a mobile application (iOS and Android) and a WordPress website
  - Domain: Healthcare
  - Customer: USA
  - Tools and technologies: Flutter, Python, Flask 1.1.2, Bitbucket, Docker, Codemagic CI/CD, Azure Infrastructure, MailChimp, SendGrid, Twilio"
271,"Achievements:
- Managed and coordinated various project tasks, including organization, planning, securing, leading, and controlling.
- Successfully coordinated project stages for ""Outdoor Wi-Fi network build up with 140 access points"".
- Coordinated the launch of a Wi-Fi Advertising Model.
- Managed the Project HR performance appraisal system on a 1C base.
- Implemented an Electronic document system on a 1C base, overseeing several project stages.
- Led customer requirements analysis and coordinated the ""Standardization and automation CPE sales reconciliation"" project.

Experience:
- 3+ years of experience in Project Management and analysis.
- 7+ years of experience in Finance within the Consumer Electronics business, with achievements as a Sales Manager.
- Participated in the implementation of IT and Technical projects.

Skills:
- Project Management
- Finance and Investment
- Analytical skills
- Result-oriented
- Communicative

Personal Qualities:
- Ability to solve tasks under short deadlines and stressful conditions.
- Willingness to acquire new knowledge and be a part of a team."
272,"As a seasoned Project Manager, I have a proven track record of leading cross-functional teams to deliver projects on time, within budget, and to the satisfaction of stakeholders. My expertise lies in managing complex projects, optimizing processes, and identifying risks and opportunities for improvement.

I collaborate with stakeholders from various departments to ensure that projects meet all requirements, and I communicate regularly with senior leadership to provide updates on progress and make recommendations for adjustments to the project plan.

In addition to my technical project management skills, I am a strong leader who can motivate and inspire teams to achieve their best work. I have experience managing both onsite and remote teams, and I am adept at fostering a positive team culture that promotes collaboration, open communication, and continuous learning.

Overall, my track record of successful project delivery, my ability to navigate complex challenges, and my leadership skills make me an asset to any organization seeking a skilled and experienced Project Manager.

EXPERIENCE

Project Manager (OSKI)
(January 2023 — April 2023)
• Developed and managed CRM product
• Coordinated project activities
• Monitored project progress
• Managed project resources
• Managed project risks
• Communicated project status
• Ensured quality control
• Managed project budgets
• Managed project documentation

IT Nation HACK 2.0 - Hackathon participant (September 2022)
• Organized the work of the team, including task distribution and control
• Prepared materials and tools for the team to successfully complete the hackathon
• Compiled documentation of test results and handed them over to mentors for final evaluation

CEO (Tourist Agency)
(February 2007 — Present)
• Managed and controlled business operations
• Developed and implemented business strategies, including KPI performance and time and risk management
• Searched for new marketing solutions
• Planned and conducted advertising campaigns
• Created specifications and designed prototypes

EDUCATION AND TRAINING

IAMPM - DAO, Project Management (January 2023)
• Worked with project documentation and various types of contracts
• Managed customer expectations, risks, resources, and time
• Conducted business correspondence and project documentation
• Created WBS, handed tasks, and prioritized
• Presented ready-made solutions and prototypes to customers

QATestLab Training Center, QA (September 2022)
• Gained theoretical knowledge of QA
• Learned to create and support test documentation
• Gained experience with bug tracking systems (Jira)
• Acquired basic web knowledge: HTTP/HTTPS (JSON, XML), HTML, CSS
• Gained experience with REST APIs (Postman)
• Worked with relational databases: MySQL
• Gained experience with VCS: Git/GitHub

PowerCode Academy, QA Engineer (2022)

Lviv IT School (LITS), Basics of Software Testing (May 2022)

STUD-POINT - Project Management & Leader School (2021)

Google AdWords - PPC Management (2017)

Kiev University of Tourism Economics and Law (2004-2010)
• Organization management, Manager-Specialist degree"
273,"Skills:
• Waterfall and Agile planning models (Scrum, Kanban)
• Microsoft Office (Word, Excel, PowerPoint)
• ADV and GSM (programs for sailing and accounting of produced products)
• Copywriting
• 1C

Languages:
• Russian (mother tongue)
• Ukrainian (mother tongue)
• English (C1)
• French (A2)

Export/Import Specialist
Ukratlantic, June 2019 - March 2020
- Utilized planning skills to manage incoming production orders and draw up supply plans
- Conducted business correspondence with colleagues and clients worldwide, leveraging strong English knowledge
- Processed documents, updated clients on cargo, and tracked processes while meeting strict deadlines

Co-organizer
Gesheft Festival, March 2017 - April 2018
- Demonstrated effectiveness in individual and group work, making decisions and providing innovative ideas
- Maintained communication with participants and guests, solved problem situations, and fulfilled requests

Organizer
Children’s Big Day Festival, June - October 2017
- Motivated self and team to achieve project goals, actively participating in each stage of the event
- Supervised all processes, ensuring successful execution

Space Manager
Green Theatre, March - October 2017
- Planned the season, organized workload, and led team members
- Demonstrated multitasking abilities and managed financial accounting"
274,"Highly Motivated Professional

Objective: 
To obtain a challenging Project Manager position in a renowned and innovative company where I can apply my skills and knowledge to contribute to the organization's success.

Summary:
Results-driven professional with a diverse background in sales management, project coordination, and business development. Proven track record of delivering successful projects and aligning them with the overall strategic vision of organizations.

Experience:
Sales Manager
Project Coordinator
Project Manager
Business Development Manager

Key Skills:
Project Management
Sales Management
Project Coordination
Business Development
Teamwork
Strategic Planning

Career Background:
Proven experience working in various bookstores, with hands-on experience in managing projects, ensuring successful execution, and fostering productive teamwork. Skilled in managing projects in dynamic and fast-paced environments."
275,"Successfully graduated from PM School in project management.

Results-driven professional with 6 years of experience in sales, possessing a strong background in project management. Proven track record of driving sales growth, with a notable achievement of increasing total sales by 110% starting from the 3rd month of working at a company.

Key accomplishments include:
- Successfully negotiated and entered into agreements with key accounts, comprising 80% of the client pool
- Ensured steady growth in turnover in the region

Skilled in software development methodologies, including Agile (Scrum & Kanban) and Waterfall. Experienced in project decomposition, preparation of SRS in international format IEEE, creation of WBS, and working with Gantt Charts. Proficient in risk management and people management.

Strong analytical, critical thinking, and problem-solving skills, with excellent communication abilities. Possess a client-oriented approach, with a strong ability to work under pressure and meet deadlines. Self-motivated, responsible, and initiative-driven, with a strong desire to learn and grow.

Key strengths include:
- Sales and account management
- Business development
- Project management
- Analytical and critical thinking
- Stress resistance and ability to work within deadlines
- Excellent communication skills
- Intermediate+ English level

Seeking a dynamic company with innovative projects and a collaborative team environment, where management skills can be utilized and further developed. Opportunity to work under the guidance of a senior PM or head of PM would be highly valued, providing a chance to gain valuable insights and expertise."
276,"Familiar with Agile (Scrum, Kanban) and Waterfall software development methodologies. 
Understanding of the development life cycle, with awareness of project decomposition principles, requirements collection, and analysis. 
Trained in creating Work Breakdown Structures (WBS) and schedules in Gantt Chart format. 
Knowledge of project risk management, including training in creating a Risk Management Matrix. 
Experience composing project documentation such as Vision, Software Requirements Specification (SRS) according to IEEE 830 standard, and User Stories for HR management systems. 
Practical training in analyzing situations that a Project Manager may face in daily work.

Professional Literature:
- “Software Project Management For Dummies” by Teresa Luckey, Joseph Phillips
- “Testing dot com” by Roman Savin
- “Kanban and Scrum - Making the Most of Both” by Henrik Kniberg and Mattias Skarin
- “Scrum and XP from the Trenches” by Henrik Kniberg
- “Scrum” by Jeff Sutherland
- “Black Book of Manager” by V.Pankratov
- “Deadline” by Tom Demarco
- “Time drive” by Gleb Arhangelskiy
- “Fundamentals of project management” by Joseph Heagney
- “PMBOK guide” by PMI
- “Business analysis for practitioners” by PMI
- “Agile book” by PMI
- Harvard Business Review on becoming a high-performance manager

Graduate of PM School Kharkiv, with theoretical and practical knowledge in Project Management, seeking a professional environment to apply and further develop skills."
277,"Event Management Professional

Summary:
Results-driven event creation professional with experience in managing multiple projects, including events about Ukrainian gambling industry, biohacking, Greece gambling, and WeGame (Ukrainian gaming festival). Proven ability to learn and adapt to new industries, with no prior experience in event creation, architecture, gambling, biohacking, or gaming.

Experience:

Media Group ""House and Interior"" (Feb 2021 - Aug 2021)
- Analyzed and maintained media group pages
- Monitored task execution
- Organized all-Ukrainian competitions
- Searched for speakers and negotiated agreements
- Coordinated logistics, including transfer and documentation
- Fully organized competitions, including speaker selection, host arrangement, media partnerships, and equipment procurement
- Communicated with contractors and company representatives

Smile Expo (Aug 2021 - Mar 2022)
- Created project concepts, including themes, visual concepts, and guidelines
- Set tasks and priorities for project teams
- Monitored task execution and deadlines
- Prepared events, including location approval, speaker selection, and conference agenda preparation
- Managed budgets

Additional Experience:
Participated in the creation of the largest architectural event in Ukraine (Interior of the Year/Ukrainian Urban Awards)

Career Goals:
Seeking a Junior Specialist position to gain experience and knowledge in IT project management, with the goal of advancing to a Project Manager role."
278,"Finance Assistant - Tradisa, Germany
• Automated revenue-controlling, resulting in a 30% reduction in processing time.
• Created financial reports and designed presentations for key stakeholders.
• Mastered customer-centric communication with major automotive clients, including Tesla, VW, and BMW, enabling bespoke solutions.
• Administrated and fine-tuned corporate digital infrastructure for the financial division.

Jr. Compliance Manager - UFuture, Ukraine
• Managed project delivery of a gamified digital training program for 400+ employees, achieving the highest participation rate across all portfolio companies.
• Designed the framework of a supervisory board and board of directors.
• Conducted research and prepared documentation and policies to streamline business processes.
• Devised and executed high-impact business dashboards, presentations, reports, and decision-making trees for C-suite, supporting data-driven decision-making processes.
• Assisted the Chief Compliance Manager with business operations and the establishment of a comprehensive compliance program across the holding company.

Highly organized and people-focused, with a passion for facilitating growth and delivering exceptional results through effective communication and business streamlining. Seeking a business-related position, particularly in a startup or startup ecosystem, where skills can be utilized to drive success."
279,"Financial Expert
Results-driven professional with 10 years of experience in IT and financial areas, specializing in financial and tax accounting, and business process improvement.

Summary:
Highly motivated and experienced financial expert with a strong background in managing and mentoring teams to achieve personal and professional objectives. Proven track record of successfully handling complex and time-consuming projects, including a company sale in 2019.

Experience:
Financial Expert (Self-Described)
- Successfully managed and completed a company sale project in 2019
- Utilized expertise in financial and tax accounting to drive business process improvement

Project Management Experience:
Assistant Project Manager, ""Clean Earth"" (Waste Recycling Project, 2018)
- Compiled and analyzed project data
- Conducted Organizational Breakdown Structure
- Developed Work Breakdown Structure
- Designed SWOT analysis

Education and Training:
2018 - Project Management Courses, POWERCODE ACADEMY

Skills:
- Financial and tax accounting
- Business process improvement
- Project management (theoretical knowledge)
- Team management and mentoring
- Proactivity and perseverance"
280,"Oleksandr
Results-driven strategic leader with over 12 years of experience, excellent attention to detail, and strong organizational skills. Proven track record of achieving excellence, efficiency, and resolving conflicts under high pressure.

First Deputy Head of the Tyachiv District
Tyachiv District State Administration – Tyachiv, July 2020 - February 2022
* Implemented cost-saving initiatives, resulting in 12 million hryvnias in savings
* Collaborated with team members to achieve target results in a fast-paced environment
* Successfully implemented the ""Accessible Medicine"" program, building and restoring 9 outpatient clinics for 45 million hryvnias
* Developed and maintained effective working relationships with local self-government bodies and stakeholders
* Utilized coordination and planning skills to achieve results according to schedule
* Prepared written messages, reports, and documents, and applied Microsoft Word and other software tools
* Exceeded goals through effective task prioritization and excellent work ethic
* Demonstrated respect, friendliness, and willingness to help, and participated in team-building activities

Sales Manager
""Olmar"" LLC, February 2019 - June 2020
* Implemented a market expansion strategy, driving business growth and serving diverse customer needs
* Presented products and services to potential customers, achieving a 95% conversion rate
* Researched competitor products, services, and trends to target prospects in new territories
* Tracked product line changes to meet dynamic market needs

Judge's Assistant
Tyachiv District Court of Transcarpathian Region – Tyachiv, March 2010 - January 2019
* Prepared written messages, reports, and documents, and identified discrepancies for resolution
* Analyzed information, identified problems, and provided solutions to improve efficiency and productivity
* Acquired new skills and applied them in daily tasks to increase efficiency and productivity"
281,"Certificate of Completion:
- Powercode Academy course in Project Management
- DES (Data Engineering and Security winter school)
- DES-2021 (Data Engineering and Security winter school)
- DES-2023 (Data Engineering and Security winter school)

Language Skills:
- English: FCE (B2)
- Germany: В (Goethe Institut Certificate)

Projects:
- ""FlatFriend"" - Project Manager for a team of volunteers creating a quality product for the Ukrainian market
- ""SPORT EVENTS"" project 2023 - Project Manager, creating and leading the project as a pet-project during the PM course
- MedPass (DES) - Business Analyst for a platform providing medical assistance to people
- COV (DES-2022) - Business Analyst for a platform matching companies with volunteers

Experience:
- Proficient in Trello, Jira, Confluence, Canva, SQL, Notion, Slack
- Microsoft Office skills: PowerPoint, Word, Excel, Teams, Access

Skills:
- Ability to work effectively in team and solo environments
- Strong communication and interpersonal skills: sociable, pleasant, stress-tolerant, assertive, diplomatic
- Open to new ideas and suggestions
- Leadership skills: clarity and argumentation
- Growth Mindset: critical thinking, managerial
- General Management: familiar with Scrum, Agile, Kanban, V-Model, Waterfall methodologies"
282,"2011-2016 
Commercial Director, Eco Harmony Online Store

Key Responsibilities:
- Spearheaded internet marketing efforts across boards, forums, and social networks
- Generated leads and managed leads database, as well as client requests
- Conducted team meetings, resolved disputes, and managed conflict situations
- Oversaw team management, task implementation, and monitored progress
- Streamlined international sales processes
- Fostered supplier relations
- Identified opportunities for new revenue streams
- Developed key commercial relationships with customers and partners
- Supported all sales activities
- Sought new sales and business opportunities in target markets
- Participated in recruitment and staff training

Skills:
- Fluent English
- Quick learner, adaptable to new situations
- Team player with excellent interpersonal skills
- Strong business acumen
- Highly motivated
- Tactful in sensitive situations
- Excellent planning, analysis, and estimation skills
- Proven risk management skills
- P&L Management
- Strategic Planning
- Customer Relationship Management
- Staff Training & Development"
283,"Focused Improvement and Goal Alignment Coordinator
------------------------------------------------
- Enabled productivity gain through driving continuous improvement initiatives
- Ensured right measures were defined and spread across the company
- Organized and facilitated workshops
- Identified opportunities for projects across all E2Es and approved those with stakeholders
- Trained and coached project leaders on FI methodologies
- Reported status and results of DMAIC projects to relevant managers and stakeholders
- Ensured benefits generated by projects were properly measured and impact on total costs was effectively validated by F&C

Quality Supervisor
----------------
- Led a team of 7 members
- Managed projects
- Implemented new controls
- Enhanced the level of service delivered to the Markets

Customer Relationship Management Coordinator
-----------------------------------------
- Developed and enhanced relationships with Markets on E2E processes by driving standardization, simplification, and automation
- Ensured a collaborative and proactive approach to improving quality, aligning best practices and standards
- Coordinated, facilitated, and supported key projects within the Market
- Served as a single point of contact between the Market and NBS
- Maintained day-to-day communication with Markets and operations through emails, calls, and regular meetings

Quality Specialist
-----------------
- Managed SoD and High Sensitive Roles for Markets in scope
- Ran compensating controls for agreed SoDs and followed up on deviations
- Ran compensating controls for SAP SoDs
- Prepared KPIs for monthly monitoring
- Communicated with markets on quality assurance topics via email or Skype
- Controlled, analyzed, and finalized reviewing reports by the markets
- Improved, standardized, automated, and harmonized the Compensating Control process
- Updated all documentation and Standard Routines"
284,"**Summary:**
Results-driven professional with 6 years of experience in brand management and wholesale management, seeking to leverage skills in project management to drive business growth and improvement.

**Work Experience:**
Brand Manager and Wholesale Manager, Extreme Style (6 years)
- Improved company revenue through effective brand promotion projects
- Collaborated in organizing competitions for the Kitesurfing Federation of Ukraine, children’s alpine skiing, and roller skating events
- Key responsibilities included:
  - Brand promotion and development in the Ukrainian market
  - Wholesale customer transactions and negotiations with foreign suppliers
  - Market analysis and long-term strategy planning
  - Budget planning and launching marketing campaigns
  - Reporting and retail store sales analysis
  - Documentation preparation and maintenance
  - Staff training and development of training materials

**Education and Training:**
- Diploma in Junior Project Manager course, Laba Group (Spring 2023)
  - Scored 191 out of 200 points
  - Acquired skills in task prioritization, error detection, forecasting, and project management methodologies

**Career Interests:**
Seeking a role in project management where I can apply my skills in process management, problem-solving, and team collaboration to achieve goals. Prefer a dynamic company with a competent leader, interesting tasks, and a minimal bureaucratic structure."
285,"Former Lawyer Seeking Project Manager Position

Summary:
Results-driven professional with a background in law, seeking to leverage project management skills to drive long-term growth, innovation, and continuous improvement. Recently completed the Google Project Management Certificate program, including Agile Project Management, and a course in Agile with Atlassian Jira.

Experience:

Leading Specialist, Regulatory and Legal Sector
- Organized departmental work from scratch, utilizing strong analytical and organizational skills
- Conducted cases regarding educational rights violations, analyzing legislation and proposing changes
- Contributed to amendments to key legislative documents, including the resolution of the Chief State Sanitary Doctor of Ukraine (No. 50, August 22, 2020)
- Developed proposals for accounting and wage policies for pedagogical workers in distance and mixed learning environments

Project Analyst, International Renaissance Foundation
- Analyzed educational law during martial law, enhancing understanding of regulatory frameworks

Education and Certifications:
- Google Project Management Certificate program, including Agile Project Management
- Agile with Atlassian Jira course

Career Goals:
Seeking a mentorship opportunity to expand knowledge and acquire valuable skills in project management, particularly in IT project management, to enhance competitiveness and contribute to a company's success."
286,"Results-driven professional with 2+ years of experience in Workforce Management (WFM) and a strong background in team leadership, process improvement, and project management.

Key Achievements:
- Successfully implemented Team Cross Training project, enhancing team collaboration and support capabilities
- Developed and set up processes to improve the billing process, increasing efficiency and accuracy
- Created trackers for accounting hours spent on non-productive activities, utilized by Team Leads and Operations management
- Resolved multiple issues in WFM team workflow, resulting in improved client and employee satisfaction, reduced attrition rate, 100% schedule efficiency, and over 90% schedule adherence

Professional Experience:
Workforce Scheduling Coordinator (Vinted project)
- Managed team and served as a point of contact between internal teams and stakeholders
- Improved workflow from constant critical client escalations to occasional minor issues
- Trained WFM team members and implemented processes for simplified billing

Education and Training:
- Currently finishing IT Project Management course
- Completed CLIMB Leadership program, presenting the Team Cross-training project
- Studying PM Agile methodologies and tools, applying them to a personal project

Previous Experience:
- Customer Support Representative
- Language Specialist (English, Spanish)
- Freelance Copywriter
- Queue Monitoring Specialist"
