,"Modified_gpt-4o_of_Experience:

2013-2019 - Entrepreneur, Sales of Medical Equipment and Related Goods (ФОП Петрова С.С /МЕДТЕХНІКА)
- Managed and supported daily retail operations.
- Responsible for employee selection.
- Negotiated and concluded contracts with suppliers.
- Addressed transport and logistics issues including receipt, relocation, revaluation, and returns.
- Managed accounting for payments to suppliers, contractors, buyers, and customers.

2019-2021 - COO, Artichoke Art & Fashion School
- Led sales of short-term educational courses in art direction.
- Selected and managed a team of employees.
- Organized teamwork for a team of six members.
- Developed and distributed tasks within the team.
- Managed projects including the creation of monthly work plans across various disciplines, from course programs to marketing activities and enrollment statistics.
- Directed 'weekend' projects such as master classes and public talks.
- Maintained student accounting and database records.

Summary of Achievements:
- Planned, directed, and managed projects to meet objectives.
- Coordinated the successful simultaneous development of multiple projects.
- Delegated responsibilities and developed time schedules.
- Negotiated contracts ensuring quality standards were met._Modelgpt-4o"
35,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Phone Number]  
[Email Address]  

---

**Professional Experience**

**Brain Best**  
*Project Manager Assistant*  
December 2018 – Present  
- Spearheaded project initiation and conducted risk analysis for Brain Best Online Courses targeting the local market.  
- Facilitated communication among stakeholders, including lectors, team members, and sponsors.  
- Led market research initiatives and oversaw course production and quality assurance.  
- Drafted technical tasks for the development team.

**Volans**  
*Marketing Manager*  
January 2018 – October 2018  
- Led marketing activities and prioritized development backlog for Volans ICO and Volans Blockchain Wallet projects.  
- Conducted risk analysis and market research to support strategic planning.  
- Managed communication with stakeholders, including team members, sponsors, and advisors.  
- Established and maintained public relations with rating agencies and social influencers.  
- Planned marketing events and authored public documents such as whitepapers.  
- Initiated and monitored community support activities and enhanced customer experience processes.

**Self-Employed**  
*Media Buyer*  
September 2017 – April 2018  
- Executed advertising campaigns on a CPA model for clients, including Hashflare, Mamsy.ru, and MoneyClick.  
- Researched the CPA offers market and collaborated with brand teams.  
- Planned and managed the execution of advertising campaigns, coordinating with designers for graphic content creation.  
- Monitored campaign performance and analyzed marketing metrics.

---

**Education**

[Your Degree or Course]  
[Your Institution]  
[Years Attended]  

---

**Skills**

- Project Management  
- Market Research and Analysis  
- Stakeholder Communication  
- Risk Analysis  
- Marketing and Advertising  
- Public Relations  
- Technical Documentation  

---

**References**

Available upon request."
36,"**Front Desk Manager**

**Park Hotel Golosievo, Kyiv**

- Served as the first point of contact, creating a welcoming atmosphere for all visitors.
- Ensured that staff consistently provided attentive, friendly, and courteous service to guests and colleagues.
- Led the reception area operations, managed front desk activities, and spearheaded staff training and supervision.
- Fostered strong working relationships and effective communication with all departments.
- Engaged with customers in person and via phone, addressing inquiries and resolving guest complaints.
- Prepared management reports, including occupancy and financial data.
- Directed and coordinated activities of the front desk, reservations, guest services, and telephone operations.
- Produced daily and monthly reports for the front office department.
- Conducted cashier check-ins/outs, verified banks and deposits at shift end, and enforced cash-handling policies.
- Operated and maintained front office computer systems, ensuring software functionality and report analysis."
37,"Specialties:

- Project management (web, mobile apps, and interfaces development)
- Product management
- Business analysis
- Business development
- Digital marketing
- User Experience (UX)
- Negotiations
- Excellent communication skills
- Agile/Scrum Processes Experience (multiple roles)
- Multilingual (Fluent in English, Ukrainian, and Russian; Basic in German and Spanish)

Experience Summary:

- Skilled in full-cycle web development solutions, encompassing project and product management, financial oversight, and requirements documentation.
- Accomplished in managing diverse projects with durations ranging from two weeks to six months.
- Expertise in overseeing all stages of the project lifecycle: from capturing and documenting requirements, through invoicing, negotiating with customers, to monitoring, controlling, maintaining, and closing projects.
- Leadership experience managing teams of up to 15 members, with recent implementation of Scrum methodology.
- Broad experience across various industries, including IT, advertising, video production, and marketing.
- Dedicated to utilizing cross-industry insights to develop customer-centric products.

Career Goals:

- Aspiring to work in a professional team environment that encourages personal and professional development.
- Value collaboration on significant, ambitious projects within large teams.
- Interested in diverse, dynamic work environments rather than routine tasks.
- Prefer roles that do not focus on sales responsibilities (e.g., search, preliminary negotiations).
- Driven by engaging projects with professional management; thrive in high-load settings."
38,"**[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL]  

---

**Professional Summary**

Dynamic and results-driven professional with extensive experience in project coordination, marketing, and communications. Demonstrated success in managing projects and teams, driving revenue growth, and optimizing digital and PR campaigns. Expertise in content creation, social media management, and strategic communication.

---

**Experience**

**GlobalUp Company**  
*Project Coordinator*  
April 2022 - Present

- Excel in client management through consistent follow-up and updates via calls and emails.
- Oversee creative projects using Monday.com for project management.
- Create compelling pitches, proposals, and briefs, supported by market research.
- Plan social media marketing calendars and collaborate with creative and web development teams for projects such as website design and presentations.
- Support digital marketing campaigns, including Google Ads and social media ads.
- Enhance PR campaign planning with influencers and media partnerships.

**National Aviation University**  

*Specialist of the Marketing, Advertising and Exhibition Sector of the Information and Analytical Department*  
December 2016 - June 2017

*Specialist of the Sector of Information Processing and Analysis of the Information-Analytical Department*  
September 2017 - March 2018

*PR and Advertising Specialist of the Media Communications Center*  
April 2018 - September 2018

*Leading Specialist of the Radio and Television Sector of the Center of Media Communications*  
October 2018 - August 2020

*Head (Deputy Head of Department) of the Communication Sector of the Media Communications Center*  
August 2020 - November 2020

- Contributed to the development of a comprehensive communication strategy.
- Managed social media presence on Instagram, Facebook, Telegram, and TikTok in line with strategic goals.
- Created engaging photo and video content for multiple platforms.
- Designed visual content for social media.
- Wrote engaging news articles and posts for social media platforms.
- Analyzed and maintained performance metrics of social media pages.
- Prepared tasks and references for photographers, videographers, and designers.
- Updated visual content for university departments.
- Coordinated the preparation and updating of university information on external platforms.

---

**Education**

*Master's Diploma of International Education*  
Graduated from two universities"
39,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

### Objective
To leverage my project management and leadership skills in a challenging environment that offers opportunities for growth and continuous learning, while contributing significantly to team objectives and outcomes.

### Professional Experience

**Project Manager**  
*Confidential Construction Project*  
- Led the construction of a 5-story building involving 23 participants with a budget exceeding $80,000.  
- Oversaw team coordination, budget management, and ensured timely achievement of project milestones.

**Sales Manager**  
*Investment Group ""MOLODIST""*  
*April 2021 - February 2022*  
- Directed business negotiations and sales initiatives, propelling company growth.  
- Delivered exceptional customer service support and maintained comprehensive reporting systems.  
- Streamlined client interactions through CRM system implementation and management.  
- Contributed to budget preparation and financial forecasting.

**Head (Chairman)**  
*The Primary Trade Union Organization of Students and Cadets of the State Tax University*  
*March 2018 - February 2020*  
- Initiated and led projects to ensure timely execution and reporting.  
- Inspired and guided a team of 16 within a broader framework of 97 members.  
- Facilitated daily/weekly meetings with team members, stakeholders, and partners for alignment and progress.

### Projects

**LikarPoruchUA (Pet Project)**  
*GoIT, January 2023 - March 2023*  
- Developed a mobile application providing consultations with Ukrainian doctors for overseas users at competitive rates.  
- Conducted comprehensive project management tasks including SOW creation, roadmap formation, and project budgeting.  
- Established a detailed project backlog and organizational structure.  
- Crafted mind maps, decomposition/WBS, risk registers, RACI matrices, and schedule management plans to meet project objectives.

### Accomplishments
- Expanded trade union membership by 30% through strategic planning and execution.  
- Designed and executed a membership accounting system linked to partner store discounts.  
- Orchestrated large-scale external events for over 2,000 participants, boosting community engagement.

### Skills
- Project management and planning  
- Team leadership and motivation  
- Budgeting and financial reporting  
- Sales and customer relationship management  
- CRM and ERP systems expertise

### Education and Professional Development
- Extensive study and hands-on experience in Project Management with a focus on IT. Continuously seeking improvement through practical applications and growth opportunities."
40,"[Your Name]  
[Your Address]  
[City, Zip Code]  
[Your Email]  
[Your Phone Number]  

**Professional Summary**  
Dynamic and results-driven Project Manager with extensive experience in leading high-value CAPEX projects. Proven track record in managing teams, optimizing processes, and enhancing plant operations. Committed to career growth through continuous learning and networking.

**Work Experience**  

**Head of Health & Safety Department**  
CRH Ukraine  
July 2016 – Present  
- Spearheaded HS CAPEX projects worth 14 million UAH.  
- Directed departmental operations and led a team of four professionals.  
- Oversaw project management and annual budgeting for OPEX & CAPEX.  
- Facilitated stakeholder communication effectively.

**Health & Safety Officer**  
CRH Ukraine, Odessa  
February 2015 – June 2016  
- Managed departmental initiatives to achieve goals and meet deadlines.  
- Conducted risk assessments to identify unsafe acts and conditions.

**Project Manager (Stay-up Project)**  
- Led improvements in organizational structure, training, and plant aesthetics.

**Volunteer Management**  
- Coordinated corporate volunteering activities.

**Education**  

**GoIT Project Manager Course**  
January 2023 – Present  

**Projects**  

**Meditation Platform Development**  
- Created a project website and mobile platform.  
- Prepared comprehensive project documentation, including SOW, mind map, WBS, Project RACI, Risk Register, and Schedule Management Plan.  
- Utilized Jira for project planning.

**Career Goals**  
- Short-term: Acquire new skills and become an expert in project management.  
- Long-term: Expand professional network and achieve a senior-level promotion.

**Skills**  
- Project Management  
- Team Leadership  
- Strategic Planning  
- Risk Assessment  
- Budget Management  
- Stakeholder Communication  

**Languages**  
- [Languages You Speak]  

**References**  
Available upon request."
41,"Yevheniia Melnyk

**Objective**  
Seeking to further develop my expertise as an IT Project Manager, focusing on strengthening project management skills and advancing my proficiency in manual testing.

**Summary**  
Junior IT Project Manager with over 6 years of experience in project-related roles in the construction industry. Specializes in budgeting, planning, project control, and team management. Proficient in Scrum and Agile methodologies. Committed to advancing knowledge in manual testing and enhancing English language skills.

**Education**  
- IT Project Management Course, Go IT  
- Scrum and Agile Course, Skillsetter Platform  
- Currently enrolled in Dexola IT Camp (PM Role)

**Experience**  
- Extensive team management and leadership experience in construction projects.  
- Expertise in preparing key project management documents: SOW, estimate templates, critical paths, mind maps, general budgets, EVM (schedule + cost), RACI charts, risk assessments, test plans, and project closure documents.  
- Skilled in developing QA documents, including test plans, test cases, bug reports, checklists, and QA levels.  
- Proficient in using project management and collaboration tools: Confluence, Jira, Trello, TestRail, Miro, Microsoft Office, Slack, Google Docs/Sheets.  
- Knowledgeable in 3D modeling and design software: 3D Max, Archicad, and Enscape.

**Skills**  
- Project Management  
- Team Leadership  
- Budgeting and Planning  
- Agile and Scrum Methodologies  
- Manual Testing  
- Document Preparation and Management  
- Tools: Confluence, Jira, Trello, TestRail, Microsoft Office, Slack, Google Docs/Sheets

**Courses & Certifications**  
- IT Project Management, Go IT  
- Scrum and Agile, Skillsetter Platform  

Yevheniia Melnyk"
42,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
Results-driven Project Manager with a strong focus on continuous skill development and a comprehensive understanding of project management processes. Dedicated to fostering effective communication and achieving goals for both team and customer satisfaction.

**Education**  
**PM Courses**  
Hillel Computer School  

**Skills**  
- Project Planning and Execution  
- Mastery of Methodologies and Frameworks  
- Risk Management and Mitigation Strategies  
- Team Communication and Motivation  
- Budget and Resource Optimization  
- Problem Solving and Conflict Resolution  

**Professional Interests**  
- Collaborating with creative and innovative teams  
- Contributing to projects that push boundaries and deliver outstanding results  

**Language Proficiency**  
- English: Intermediate to Upper-Intermediate  
- Actively studying to reach Advanced level  

**Personal Development**  
- Engaging in activities that promote growth and learning, such as reading, sports, and educational content  
- Actively seeking engagement with diverse and inspiring individuals  

**Personal Attributes**  
- Problem-solving mindset  
- Composed and optimistic under pressure  
- Eager to embrace challenges to enhance self-confidence and efficiency  

**Hobbies**  
- Reading  
- Participating in Sports  
- Networking  
- Watching educational content  

Thank you for your attention. I look forward to the opportunity to connect and collaborate in the future."
43,"**Hillel IT School**  
Project Management  
Mar 2023 - May 2023  
- Grade: Excellent  
- Key Activities:  
  - SDLC project understanding  
  - Software development methodologies: Waterfall, Kanban, SCRUM, Lean, XP  
  - Project documentation and stakeholder management  
  - Project communications management  
  - Client requirement collection  
  - Scope of work management  
  - Resource and team management  
  - Project budget management  
  - Team motivation  
  - Time and schedule management in IT projects  
  - IT project risk management  
  - Proficiency in Jira and Confluence  

**Group Leader**  
PP ""ІРВАН""  
2021-2023  
- Managed construction of Internet communication networks across various regions of Ukraine  
- Led team management and project budget oversight  
- Procured necessary equipment and materials  
- Maintained comprehensive project documentation  

**Chef's Assistant**  
Restaurant Chain ""Italian Quarter""  
2019-2020  
- Prepared food following established standards  
- Managed kitchen team operations  
- Oversaw documentation management  

**Opt-out of Cooperation with:**  
- Network Marketing  
- Companies collaborating with Russians"
44,"[Your Name]

[Your Address]

[City, State, ZIP Code]

[Your Phone Number]

[Your Email Address]

---

**Professional Summary**

Seasoned Software Testing professional with over 3 years of commercial experience in effectively managing projects from inception to completion. Expertise in creating knowledge bases and providing mentorship to enhance team dynamics. Proficient in SCRUM and Kanban methodologies with a dedicated approach to optimizing software development processes and ensuring successful project delivery.

---

**Professional Experience**

**Project Manager/Software Tester**

- Leveraged over 3 years of experience in software testing and project management to drive project success.
- Executed and implemented two major projects, QAX Camp and QAX Travel, using SCRUM and Kanban methodologies.
- Developed a comprehensive knowledge base for QA trainees to improve learning and team integration.
- Provided mentorship to new team members, facilitating their professional development.

**Key Project Management Contributions**

- Enhanced software development processes through effective organization and management.
- Planned and conducted meetings to steer productive discussions and achieve project goals.
- Tracked and managed project tasks to ensure timely completion by all team members.
- Created and maintained detailed project documentation to support project continuity.
- Acted as the communication nexus between team members and stakeholders to ensure clarity.
- Proactively resolved issues to maintain project momentum and meet deadlines.
- Led SCRUM events including Retrospective and Planning sessions to drive continuous improvement.

---

**Education**

**QA Courses**

- Completed coursework focused on foundational software quality assurance principles and practices.

---

**Skills**

- Proficient in SCRUM and Kanban methodologies
- Strong organizational and project management abilities
- Excellent communication and facilitation skills
- Effective mentorship and team guidance
- Skilled in project planning and documentation

---

**Career Objective**

Aspiring to expand my expertise in project management with an emphasis on project planning and business analysis, aiming to deliver successful projects and drive organizational growth."
45,"Achievements

• Expanded team from 3 to 12 members through strategic recruitment, comprehensive training, effective monitoring, and consistent control.
• Successfully led a team of 9, surpassing the East region's 2021 plan at 103%, a 75% growth from 2020.
• Spearheaded negotiations and executed agreements, capturing and retaining over 50% market share in the Ukrainian medicinal herbs sector prior to 2020; since 2021, concentrated on VIP network management and strategic task delegation.
• Maintained high team retention with an average tenure of 3 to 3.5 years.
• Introduced new brands to the Ukrainian pharmacy market, achieving an average annual growth rate of 30% even during challenging quarantine periods.

Professional Experience

Regional Manager of the East Region (April 2017 - Present)
• Consistently achieved 100% or more of the team’s sales plans across multiple cities including Sumy, Kharkiv, Poltava, Dnepr, Zaporozhye, and Krivoy Rog.
• Managed and trained a team of medical representatives to enhance client interactions and drive tertiary sales growth.
• Negotiated and secured key contracts with major pharmacy networks, facilitating large-scale medicine procurements and achieving secondary sales targets.
• Organized and led team training sessions, meetings, and transition projects; delivered insightful sales reports through presentations and set and monitored SMART goals for team achievement.
• Conducted recruitment and interviews, alongside performing competitive analysis and market monitoring.

Education & Certifications

Course Product-Project with a Mentor (September 2022 - December 2022)

Certifications:
• DAO PM, IAMPM (July 2022 - September 2022)
• QA Engineer, G5 University (June 2022)

Profile

Diligent and passionate professional with exceptional organizational abilities, eager to secure a Junior Project Manager role to contribute towards achieving company objectives. Proficient in effective team management to realize corporate targets, including meeting sales plans, executing team training, strategic recruitment, and engaging in high-stakes client negotiations."
46,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
Accomplished professional with over 11 years of international experience in IT sales, hospitality, and aviation industries. Demonstrates exceptional communication and interpersonal skills with the ability to effectively address and fulfill client requests. Notable for consistently performing as a top employee and earning promotions. Brings valuable cultural awareness from visiting over 75 countries and working abroad for prominent international companies.

**Professional Experience**

**IT Sales Professional**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]  
- Gained comprehensive knowledge of IT products and services, including CMS and e-commerce platforms: WordPress, Joomla, Prestashop, Magento.
- Managed approximately 100 client inquiries daily, achieving a 90% resolution rate for requests and concerns.
- Promoted twice in 2 years to managerial roles, leading a team of 8-10 employees.
- Conducted training and appraisals, enhancing team performance and knowledge.
- Prepared business correspondence and sales reports, keeping senior management informed.

**Hospitality and Aviation Professional**  
[Company Names], [Locations]  
[Month, Year] – [Month, Year]  
- Developed advanced communication skills, interacting with individuals from over 120 nationalities.
- Adapted to fast-paced environments and managed dynamic situations effectively.
- Gained significant cultural exposure and improved international client interactions.

**Cabin Crew Member**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]  
- Enhanced cultural insight from visiting over 75 countries, improving service delivery and guest interactions.

**Additional Skills**  
- Well-organized, proactive, and reliable in managing processes.
- Trilingual: English, Ukrainian, and Russian.
- Certification in Project Management from an online IT academy.
- Proficient with Agile methodologies, Scrum, Kanban, Jira, Confluence, and Miro.
- Skilled in SOW, project documentation, backlog creation, budgeting, and team/risk management.

**Education & Certifications**  
- Project Management Certification, [Online IT Academy Name]

**Objective**  
Aspiring Junior Project Manager seeking to leverage diverse experience in IT, sales, hospitality, and aviation. Eager to contribute as a valuable asset while continuing professional growth."
47,"[Your Name]  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Analytical and detail-oriented Design Engineer with over three years of experience in project management within an engineering company. Proven ability to deliver projects on time and within budget. Proficient in translating customer design specifications into actionable project plans. Dedicated to continuous growth, complemented by certifications in project management. Seeking a challenging position in the IT sector.

**Key Skills**  
- Project Management  
- Technical and Commercial Proposal Preparation  
- Scheduling and Time Management  
- Equipment Selection and Questionnaire Preparation  
- Team Supervision and Leadership  
- Project Documentation Coordination  
- Project Defense and Technical Explanations  
- On-site Supervision  

**Professional Experience**  

*Project Manager*  
[Engineering Company Name], [Location]  
[Month, Year] – Present  

- Managed and delivered projects with a budget cap of $1.5 million USD.  
- Supervised and coordinated a team of up to 30 design engineers.  
- Developed and coordinated technical and commercial proposals.  
- Facilitated coordination of project documentation for smooth execution.  
- Led meetings and site visits, communicating project goals to stakeholders.  
- Conducted project defenses and created explanatory notes.  
- Oversaw on-site work supervision, managing a team of up to five people.  

**Education**  

- DAO PM Courses, IAMPM  
- English Courses, American English Center  

**Certifications**  

- [Certifications Specific to IT PM, if applicable]  

**Professional Development**  
- Knowledge of SDLC, Agile methodology, and PERT estimation.  
- Skilled in risk management, using Jira, Confluence, and Slack.  
- Understanding of lean canvas, WBS, user stories, acceptance criteria, story points, road map, and mind map creation.  
- Familiar with waterfall and agile methodologies for project management.  

---"
48,"[Your Name]  
[Your Address]  
[City, State, Zip Code]  
[Email Address]  
[Phone Number]  

**Professional Summary**  
Accomplished professional with over 8 years of diverse experience in design, sales, and project management within the construction industry. Expertise in coordinating and executing projects with both local and international stakeholders, coupled with strong written and verbal communication abilities and meticulous attention to detail. Proven track record in leading teams and delivering successful outcomes. Enthusiastic about applying expertise in SDLC methodologies, requirements management, and risk management to a software development environment.

**Key Skills**  
- SDLC Methodologies  
- Requirements Management  
- Risk Management Plans  
- Technical Requirements Specification  
- Project Coordination and Implementation  
- Billing and Accounting Processes  
- Exhibition and Negotiation  
- Analytical and Problem-Solving Skills  

**Professional Experience**  
**Project Manager**  
*Construction Sector*  
- Spearheaded and managed multiple successful projects, collaborating extensively with international stakeholders to ensure project alignment and success.  
- Directed billing and accounting activities, including invoicing and communications with international partners.  
- Represented the company at exhibitions and negotiations, successfully fostering profitable partnerships and projects in Italy.  

**Education & Professional Development**  
- Participated in a variety of courses, seminars, and independent studies focusing on SDLC methodologies, requirements management, and risk management.  
- Developed technical requirements specifications, work breakdown structures (WBS), and risk management plans.  

**Professional Interests**  
- Invested in exploring cutting-edge trends in design and modern technology, always seeking to deepen knowledge and expertise.  

**Personal Attributes**  
- Responsible, detail-focused, and open-minded, dedicated to delivering high-quality results in all professional efforts.  "
49,"[Your Name]  
[Your Address]  
[City, State, ZIP]  
[Your Email]  
[Your Phone Number]  

**SUMMARY**  
Dynamic professional with a strong record in project management from initiation to completion. Expert in harmonizing customer requirements with business objectives to drive value. Over the last four years, I have held diverse roles in the Events & Catering and Rental of Premises sectors, encompassing web design, social media management, graphic design, and project management. My experience often intersects with product and project management roles.

**EXPERIENCE**  
- Launched and steered new projects, ensuring alignment with strategic goals.  
- Crafted job descriptions and streamlined onboarding processes.  
- Defined goals and implemented quality control for project success.  
- Supported the CEO in managing daily operations.  
- Led technology operations and supported group-wide marketing initiatives.  
- Aided in the development and execution of technology briefs.  
- Performed market analysis and trend identification to drive business strategy.  
- Formulated and executed a Competitive Advantage Plan.  
- Managed advertising budgets with a focus on ROI analysis.  
- Supervised recruitment and integration of new employees.  
- Oversaw product supply and procurement processes.  
- Planned events, ensuring quality assurance standards were met.  
- Engaged with contractors to secure project success through negotiation and cooperation.  
- Maintained inventory to sustain business operations.  
- Scheduled staff and conducted master classes to enhance team skills.  
- Coordinated banquets, managing all reporting and budgeting aspects.

**SKILLS**  
- **Project Management:** Agile, Scrum, Kanban, Waterfall, SDLC  
- **Tools:** Jira, Confluence, GantPro, Trello, Worksection  
- **Design & Media:** Figma, Photoshop, Illustrator  
- **Technical:** MS Office, MySQL  
- **Leadership & Management:** Leadership, Conflict management, Risk management  
- **Cognitive:** Critical Thinking, Negotiating, Task Management  

**LOOKING FOR**  
Seeking a vibrant, collaborative company with professional colleagues where I can apply my skills and experience to contribute to impactful projects, acquire new skills, and achieve professional growth."
50,"Customer Support Professional

Profile:
Dynamic customer support representative and supervisor with over 4 years of experience in client engagement and team leadership. Skilled in web products, including domains, hosting, SSL certificates, and WordPress. Effective communicator and leader with a strong aptitude for rapid learning. Aspires to expand skills into IT project management.

Experience:
- Provided exceptional customer support while supervising teams and managing workflows efficiently.
- Conducted comprehensive training for new team members, organized workflows, and delegated development tasks effectively.
- Held one-on-one meetings to provide performance feedback and foster team development and growth.
- Excelled in collaborative environments and demonstrated adaptability to new information and technologies.

Skills:
- Proficient in client and team communication
- Leadership and training expertise
- Knowledgeable in web products
- Fast learner with adaptability to new environments
- Strong responsibility and motivation to enhance work quality

Objective:
Aspiring IT project manager seeking opportunities for mentorship from experienced professionals. Dedicated to learning, contributing to dynamic teams, and enhancing professional skills in IT environments."
51,"[Your Name]  
[Your Address]  
[City, Country]  
[Email Address]  
[Phone Number]  

---

**Objective**  
Dynamic and experienced management professional with 12 years of comprehensive expertise in aviation and tourism, seeking to transition into the IT industry as a Project Manager. Eager to leverage proven project management and organizational skills in a new domain and embrace new challenges.

---

**Education**  
**Go IT School**  
Project Management Full Course  
August 2022 - Present  

---

**Professional Experience**

**Project Manager / Head of Aviation**  
Kompas Ukraine, Kyiv, Ukraine  
September 2021 - April 2022  
- Facilitated collaborations with airline companies and established contractual agreements for charter flights.  
- Led the departmental restructuring into two subdivisions and implemented efficient work processes.  
- Prepared financial reports and managed the payment schedules for all charter flights.  
- Conducted market analysis for touristic charter aviation.  
- Drafted contracts with travel agencies.  

**Head of Aviation**  
TUI Ukraine, Kyiv, Ukraine  
December 2013 - April 2020  
- Served as project manager within the Project subdivision, overseeing key initiatives.  
- Managed system integration between the travel company and airline systems.  
- Successfully launched an ancillary selling platform, enhancing revenue streams.  
- Conducted negotiations and drafted contracts with airline companies.  
- Oversaw budget planning and resource allocation.  
- Recruited and onboarded new staff, including conducting interviews and tests.  
- Organized and facilitated training programs in Ukraine, Lithuania, and Latvia.  
- Engaged in international meetings to share insights and strategies.  

---

**Skills**  
- Project Management  
- Strategic Planning  
- Contract Negotiations  
- Financial Reporting  
- Team Leadership and Training  
- System Integration  
- Market Analysis  

---

**Languages**  
- [Language 1]  
- [Language 2]  

---

**References**  
Available upon request."
52,"[Your Name]  
[Your Address]  
[City, State, Zip Code]  
[Email Address]  
[Phone Number]  

**Objective**  
Aspiring leader with diverse experience in youth policy development, project management, and team leadership, seeking to leverage skills in international environments.

**Education**  
- Leadership School Graduate  
- FCE 2019, Cambridge Assessment English  

**Professional Experience**  

**Head of Town Youth Council**  
- Spearheaded city and international projects with a focus on teamwork and motivation.  
- Defined project priorities, determined costs, and prepared comprehensive reports.

**Representative, Youth Conference, Council of Europe**  
- Engaged with foreign delegations and presented projects to diverse audiences.  
- Planned and monitored tasks effectively.

**Coordinator, Ukrainian Volunteer Service**  
- Developed thematic projects and managed budgets efficiently.  
- Expertly communicated with sponsors to support project goals.

**CR Manager**  
- Enhanced customer relationships using CRM systems and G-suite.  
- Guided teams through task delegation and performance monitoring.  
- Employed client-oriented strategies to achieve business goals.

**Head of Call Center and Ad-Boards Department**  
- Led a team of over 15 employees through training and management.  
- Coordinated staff activities and facilitated team-building events.  
- Promoted a culture of teamwork and motivation.

**Project Manager, Real Estate**  
- Directed international project management for real estate initiatives.  
- Collaborated with international partners on marketing strategies.  
- Developed initiatives to enhance audience engagement.

**Additional Skills**  
- Project management  
- Leadership and delegation  
- Communication and presentation  
- Budget management  
- Team building and motivation  

**Achievements**  
- Speaker at the European Youth Forum ""Enter! Youth Week: Our Rights, Our Lives"".  
- Successfully led the execution of complex international projects.

---

*References available upon request.*"
53,"Zhanyl [Last Name]  
[Your Address]  
[City, Postal Code]  
[Email Address]  
[Phone Number]  

**Professional Summary**  

Dynamic and results-oriented project manager with 5 years of experience in spearheading and organizing development programs for startups and entrepreneurs. Skilled in leading projects from inception to successful completion, with a proven track record in organizing major events, guiding cross-functional teams, and enhancing entrepreneurial ecosystems.  

**Experience**  

**Acceleration Program Manager, Kyrgyzpatent**  
[Dates of Employment]  
- Organized the ""Startup Kyrgyzstan"" contest twice, overseeing team selection through to final event coordination.  
- Designed and executed strategies for acceleration programs, empowering entrepreneurs to achieve their goals.  

**Project Manager, DevCIT Center**  
Oct 2021 - Jan 2022  
- Organized and executed 2 IT Hackathons and 2 comprehensive acceleration programs to foster innovation among young entrepreneurs.  

**Key Projects and Achievements**  

- Conducted Training of Trainers (ToT) for university educators in the Kyrgyz Republic, leading to the establishment of business incubators.  
- Contributed to the concept and organization of the first state Innovation Center.  
- Collaborated with Accelerate Prosperity Kyrgyzstan to organize strategic initiatives aimed at enhancing the startup ecosystem.  

**Skills**  

- Project Management  
- Program Coordination  
- Startup Ecosystem Development  
- Event Planning and Execution  
- Strategic Partnership Building  
- Team Leadership  

**Education**  

[Your Degree, if applicable] – [University Name]  
[Date of Graduation]  

**Languages**  

- [Language 1]  
- [Language 2, if applicable]  

**Open to New Opportunities**"
