,Modified_meta-llama/llama-3.3-70b-instruct_of_Modified_meta-llama_llama-3.3-70b-instruct_of_CV_Modelmeta-llama_llama-3.3-70b-instruct_Modelmeta-llama/llama-3.3-70b-instruct
10,"**Summary**
Experienced Project Manager and Scrum Master with a proven track record of leading commercial projects and facilitating agile teams.

**Professional Experience**

**Project Manager**
- Led 2 commercial projects, overseeing scope, requirements, schedule, risks, and people management
- Coordinated communication with stakeholders, planned and monitored project execution, and ensured timely completion and budget adherence
- Managed resource allocation, budget preparation, risk mitigation, and team motivation
- Provided stakeholder updates throughout the project process

**Scrum Master**
- Facilitated project execution on the 3rd project, removing blockers and coaching team members on Scrum practices
- Managed project Jira, facilitated daily standups, grooming sessions, sprint plannings, and sprint retrospectives

**Technical Skills**
- Confluence
- Jira
- MC Project
- SharePoint
- Gantt Chart
- Agile methodology
- Scrum
- Planning poker
- Kanban
- Test case creation
- Face-to-face meetings
- Candidate interviews
- Proposal preparation

**Project Experience**

* **Project 1: Electron Application Development**
  + Domain: Telecommunications
  + Customer: Sweden
  + Tools and technologies: JavaScript, Vue.js, NPM/Yarn, Gitlab, Cypress
* **Project 2: Microservices Integrations**
  + Domain: Telecommunications
  + Customer: Sweden
  + Tools and technologies: Dotnet 3.5 and 6, RabbitMQ, EntityFramework Core, PostgreSQL, Oracle, CI/CD (Gitlab)
* **Project 3: Mobile Application and WordPress Website Development**
  + Domain: Healthcare
  + Customer: USA
  + Tools and technologies: Flutter, Python, Flask 1.1.2, Bitbucket, Docker, Codemagic CI/CD, Azure Infrastructure, MailChimp, SendGrid, Twilio"
11,"Achievements:
- Coordinated and managed project tasks, including organization, planning, securing, leading, and controlling.
- Successfully led the ""Outdoor Wi-Fi network build up with 140 access points"" project, coordinating its stages.
- Launched a Wi-Fi Advertising Model.
- Managed the Project HR performance appraisal system using a 1C base.
- Implemented an Electronic document system on a 1C base, overseeing several project stages.
- Led customer requirements analysis for the ""Standardization and automation CPE sales reconciliation"" project.

Experience:
- Over 3 years of experience in Project Management and analysis.
- More than 7 years of experience in Finance within the Consumer Electronics business, including achievements as a Sales Manager.
- Participated in the implementation of IT and Technical projects.

Skills:
- Project Management
- Finance and Investment
- Analytical skills
- Result-oriented approach
- Effective communication

Personal Qualities:
- Proven ability to solve tasks under short deadlines and stressful conditions.
- Willingness to acquire new knowledge and collaborate as a team member."
12,"Results-Driven Project Manager
==========================

Highly accomplished Project Manager with a proven track record of delivering projects on time, within budget, and to stakeholder satisfaction. Expertise in managing complex projects, optimizing processes, and identifying areas for improvement.

Key Strengths:
- Cross-functional team leadership
- Stakeholder collaboration and communication
- Process optimization and risk management
- Team motivation and leadership
- Remote and onsite team management

Professional Experience
---------------------

### Project Manager (OSKI)
January 2023 — April 2023
- Developed and managed CRM product
- Coordinated project activities
- Monitored project progress
- Managed project resources
- Managed project risks
- Communicated project status
- Ensured quality control
- Managed project budgets
- Managed project documentation

### IT Nation HACK 2.0 - Hackathon Participant
September 2022
- Organized team work, including task distribution and control
- Prepared materials and tools for the team
- Compiled documentation of test results

### CEO (Tourist Agency)
February 2007 — Present
- Managed and controlled business operations
- Developed and implemented business strategies
- Searched for new marketing solutions
- Planned and conducted advertising campaigns
- Created specifications and designed prototypes

Education and Training
--------------------

### IAMPM - DAO, Project Management
January 2023
- Worked with project documentation and contracts
- Managed customer expectations, risks, resources, and time
- Conducted business correspondence and project documentation
- Created WBS, handed tasks, and prioritized
- Presented solutions and prototypes to customers

### QATestLab Training Center, QA
September 2022
- Gained theoretical knowledge of QA
- Learned to create and support test documentation
- Experienced with bug tracking systems (Jira)
- Acquired basic web knowledge: HTTP/HTTPS (JSON, XML), HTML, CSS
- Experienced with REST APIs (Postman)
- Worked with relational databases: MySQL
- Experienced with VCS: Git/GitHub

### PowerCode Academy, QA Engineer
2022

### Lviv IT School (LITS), Basics of Software Testing
May 2022

### STUD-POINT - Project Management & Leader School
2021

### Google AdWords - PPC Management
2017

### Kiev University of Tourism Economics and Law
2004-2010
- Organization management, Manager-Specialist degree"
13,"Skills:
• Waterfall and Agile planning models (Scrum, Kanban)
• Microsoft Office (Word, Excel, PowerPoint)
• ADV and GSM (programs for sailing and accounting of produced products)
• Copywriting
• 1C

Languages:
• Russian (mother tongue)
• Ukrainian (mother tongue)
• English (C1)
• French (A2)

Export/Import Specialist
Ukratlantic, June 2019 - March 2020
• Managed incoming production orders and developed supply plans utilizing planning skills
• Conducted international business correspondence, leveraging English language proficiency
• Processed and updated documents, tracked cargo, and met deadlines

Co-organizer
Gesheft Festival, March 2017 - April 2018
• Demonstrated individual and group work effectiveness, offering innovative ideas and decision-making
• Maintained participant and guest communication, resolved problems, and fulfilled requests

Organizer
Children’s Big Day Festival, June - October 2017
• Motivated self and team to achieve project goals through active participation
• Supervised event processes to ensure successful execution

Space Manager
Green Theatre, March - October 2017
• Planned the season, organized workload, and led team members
• Demonstrated multitasking and managed financial accounting"
14,"Highly Motivated Professional

Objective: 
To obtain a challenging Project Manager position in a renowned and innovative company where I can apply my skills and knowledge to contribute to the organization's success.

Summary:
Results-driven professional with a diverse background in sales management, project coordination, and business development. Proven track record of delivering successful projects and aligning them with the overall strategic vision of organizations.

Experience:
Sales Manager
Project Coordinator
Project Manager
Business Development Manager

Key Skills:
Project Management
Sales Management
Project Coordination
Business Development
Teamwork
Strategic Planning

Career Background:
Proven experience working in various bookstores, with hands-on experience in managing projects, ensuring successful execution, and fostering productive teamwork. Skilled in managing projects in dynamic and fast-paced environments."
15,"Results-driven professional with 6 years of experience in sales and a strong background in project management, having successfully graduated from PM School in project management. Proven track record of driving sales growth, with a notable achievement of increasing total sales by 110% starting from the 3rd month of working at a company.

Key accomplishments include:
- Successfully negotiated and entered into agreements with key accounts, comprising 80% of the client pool
- Ensured steady growth in turnover in the region

Skilled in project management with knowledge of software development methodologies, including Agile (Scrum & Kanban) and Waterfall. Experienced in project decomposition, preparation of SRS in international format IEEE, creation of WBS, and working with Gantt Charts. Proficient in risk management and people management.

Possess strong analytical, critical thinking, and problem-solving skills, with excellent communication abilities. Client-oriented approach, with a strong ability to work under pressure and meet deadlines. Self-motivated, responsible, and initiative-driven, with a strong desire to learn and grow.

Key strengths include:
- Sales and account management
- Business development
- Project management
- Analytical and critical thinking
- Stress resistance and ability to work within deadlines
- Excellent communication skills
- Intermediate+ English level

Seeking a dynamic company with innovative projects and a collaborative team environment, where management skills can be utilized and further developed, with the opportunity to work under the guidance of a senior PM or head of PM."
16,"Familiar with Agile (Scrum, Kanban) and Waterfall software development methodologies, with understanding of the development life cycle, including project decomposition principles, requirements collection, and analysis.
Trained in creating Work Breakdown Structures (WBS) and schedules in Gantor Chart format, as well as project risk management, including creating a Risk Management Matrix.
Experienced in composing project documentation, such as Vision, Software Requirements Specification (SRS) according to IEEE 830 standard, and User Stories for HR management systems.
Practically trained in analyzing situations that a Project Manager may face in daily work.

Professional Literature:
- “Software Project Management For Dummies” by Teresa Luckey, Joseph Phillips
- “Testing dot com” by Roman Savin
- “Kanban and Scrum - Making the Most of Both” by Henrik Kniberg and Mattias Skarin
- “Scrum and XP from the Trenches” by Henrik Kniberg
- “Scrum” by Jeff Sutherland
- “Black Book of Manager” by V.Pankratov
- “Deadline” by Tom Demarco
- “Time drive” by Gleb Arhangelskiy
- “Fundamentals of project management” by Joseph Heagney
- “PMBOK guide” by PMI
- “Business analysis for practitioners” by PMI
- “Agile book” by PMI
- Harvard Business Review on becoming a high-performance manager

Graduate of PM School Kharkiv, with theoretical and practical knowledge in Project Management, seeking a professional environment to apply and further develop skills."
17,
18,"Finance Assistant - Tradisa, Germany
Automated revenue-controlling, resulting in a 30% reduction in processing time
Created financial reports and designed presentations for key stakeholders
Mastered customer-centric communication with major automotive clients, including Tesla, VW, and BMW, enabling bespoke solutions
Administrated and fine-tuned corporate digital infrastructure for the financial division

Jr. Compliance Manager - UFuture, Ukraine
Managed project delivery of a gamified digital training program for 400+ employees, achieving the highest participation rate across all portfolio companies
Designed the framework of a supervisory board and board of directors
Conducted research and prepared documentation and policies to streamline business processes
Devised and executed high-impact business dashboards, presentations, reports, and decision-making trees for C-suite, supporting data-driven decision-making processes
Assisted the Chief Compliance Manager with business operations and the establishment of a comprehensive compliance program across the holding company

Highly organized and people-focused, with a passion for facilitating growth and delivering exceptional results through effective communication and business streamlining. Seeking a business-related position, particularly in a startup or startup ecosystem, where skills can be utilized to drive success."
19,"Financial Expert
Results-driven professional with 10 years of experience in IT and financial areas, specializing in financial and tax accounting, and business process improvement.

Summary:
Highly motivated and experienced financial expert with a strong background in managing and mentoring teams to achieve personal and professional objectives. Proven track record of successfully handling complex and time-consuming projects, including a company sale in 2019.

Experience:
Financial Expert (Self-Described)
- Successfully managed and completed a company sale project in 2019
- Utilized expertise in financial and tax accounting to drive business process improvement
Assistant Project Manager, ""Clean Earth"" (Waste Recycling Project, 2018)
- Compiled and analyzed project data
- Conducted Organizational Breakdown Structure
- Developed Work Breakdown Structure
- Designed SWOT analysis

Education and Training:
2018 - Project Management Courses, POWERCODE ACADEMY

Skills:
- Financial and tax accounting
- Business process improvement
- Project management (theoretical knowledge)
- Team management and mentoring
- Proactivity and perseverance"
20,"Oleksandr
Results-driven strategic leader with over 12 years of experience, excellent attention to detail, and strong organizational skills. Proven track record of achieving excellence, efficiency, and resolving conflicts under high pressure.

First Deputy Head of the Tyachiv District
Tyachiv District State Administration, Tyachiv, July 2020 - February 2022
* Implemented cost-saving initiatives, resulting in 12 million hryvnias in savings
* Collaborated with team members to achieve target results in a fast-paced environment
* Successfully implemented the ""Accessible Medicine"" program, building and restoring 9 outpatient clinics for 45 million hryvnias
* Developed and maintained effective working relationships with local self-government bodies and stakeholders
* Utilized coordination and planning skills to achieve results according to schedule
* Prepared written messages, reports, and documents, and applied Microsoft Word and other software tools
* Exceeded goals through effective task prioritization and excellent work ethic
* Demonstrated respect, friendliness, and willingness to help, and participated in team-building activities

Sales Manager
Olmar LLC, February 2019 - June 2020
* Implemented a market expansion strategy, driving business growth and serving diverse customer needs
* Presented products and services to potential customers, achieving a 95% conversion rate
* Researched competitor products, services, and trends to target prospects in new territories
* Tracked product line changes to meet dynamic market needs

Judge's Assistant
Tyachiv District Court of Transcarpathian Region, Tyachiv, March 2010 - January 2019
* Prepared written messages, reports, and documents, and identified discrepancies for resolution
* Analyzed information, identified problems, and provided solutions to improve efficiency and productivity
* Acquired new skills and applied them in daily tasks to increase efficiency and productivity"
21,"Certificate of Completion:
- Powercode Academy course in Project Management
- DES (Data Engineering and Security winter school)
- DES-2021 (Data Engineering and Security winter school)
- DES-2023 (Data Engineering and Security winter school)

Language Skills:
- English: FCE (B2)
- German: В (Goethe Institut Certificate)

Projects:
- ""FlatFriend"" - Project Manager for a team of volunteers creating a quality product for the Ukrainian market
- ""SPORT EVENTS"" project 2023 - Project Manager, creating and leading the project as a pet-project during the PM course
- MedPass (DES) - Business Analyst for a platform providing medical assistance to people
- COV (DES-2022) - Business Analyst for a platform matching companies with volunteers

Experience:
- Proficient in Trello, Jira, Confluence, Canva, SQL, Notion, Slack
- Microsoft Office skills: PowerPoint, Word, Excel, Teams, Access

Skills:
- Ability to work effectively in team and solo environments
- Strong communication and interpersonal skills: sociable, pleasant, stress-tolerant, assertive, diplomatic
- Open to new ideas and suggestions
- Leadership skills: clarity and argumentation
- Growth Mindset: critical thinking, managerial
- General Management: familiar with Scrum, Agile, Kanban, V-Model, Waterfall methodologies"
22,"2011-2016 
Commercial Director, Eco Harmony Online Store

Key Responsibilities:
- Spearheaded internet marketing efforts across multiple platforms, including boards, forums, and social networks
- Lead generation, lead database management, and client request management
- Team leadership: conducted meetings, managed conflicts, and ensured task implementation
- Oversaw international sales process optimization, supplier relations, and identified new revenue streams
- Developed and maintained key commercial relationships with customers and partners
- Supported sales activities, sought new business opportunities in target markets, and participated in recruitment and staff training

Skills:
- Fluent in English
- Adaptable and a quick learner
- Excellent interpersonal and teamwork skills
- Strong business acumen and motivation
- Tactful and diplomatic in sensitive situations
- Strategic planning, analysis, and estimation
- Proven risk management and P&L management skills
- Customer Relationship Management and Staff Training & Development expertise"
23,"Focused Improvement and Goal Alignment Coordinator
------------------------------------------------
Enabled productivity gain through driving continuous improvement initiatives
Ensured right measures were defined and spread across the company
Organized and facilitated workshops
Identified opportunities for projects across all E2Es and approved those with stakeholders
Trained and coached project leaders on FI methodologies
Reported status and results of DMAIC projects to relevant managers and stakeholders
Ensured benefits generated by projects were properly measured and impact on total costs was effectively validated by F&C

Quality Supervisor
----------------
Led a team of 7 members
Managed projects
Implemented new controls
Enhanced the level of service delivered to the Markets

Customer Relationship Management Coordinator
-----------------------------------------
Developed and enhanced relationships with Markets on E2E processes by driving standardization, simplification, and automation
Ensured a collaborative and proactive approach to improving quality, aligning best practices and standards
Coordinated, facilitated, and supported key projects within the Market
Served as a single point of contact between the Market and NBS
Maintained day-to-day communication with Markets and operations through emails, calls, and regular meetings

Quality Specialist
-----------------
Managed SoD and High Sensitive Roles for Markets in scope
Ran compensating controls for agreed SoDs and followed up on deviations
Ran compensating controls for SAP SoDs
Prepared KPIs for monthly monitoring
Communicated with markets on quality assurance topics via email or Skype
Controlled, analyzed, and finalized reviewing reports by the markets
Improved, standardized, automated, and harmonized the Compensating Control process
Updated all documentation and Standard Routines"
24,"**Summary:**
Results-driven professional with 6 years of experience in brand management and wholesale management, seeking to leverage skills in project management to drive business growth and improvement.

**Work Experience:**
Brand Manager and Wholesale Manager, Extreme Style (6 years)
- Improved company revenue through effective brand promotion projects
- Collaborated in organizing competitions for the Kitesurfing Federation of Ukraine, children’s alpine skiing, and roller skating events
- Key responsibilities included:
  - Brand promotion and development in the Ukrainian market
  - Wholesale customer transactions and negotiations with foreign suppliers
  - Market analysis and long-term strategy planning
  - Budget planning and launching marketing campaigns
  - Reporting and retail store sales analysis
  - Documentation preparation and maintenance
  - Staff training and development of training materials

**Education and Training:**
Diploma in Junior Project Manager course, Laba Group (Spring 2023)
- Score: 191 out of 200 points
- Acquired skills: task prioritization, error detection, forecasting, and project management methodologies

**Career Interests:**
Seeking a role in project management where I can apply my skills in process management, problem-solving, and team collaboration to achieve goals. Prefer a dynamic company with a competent leader, interesting tasks, and a minimal bureaucratic structure."
25,"Former Lawyer Seeking Project Manager Position

Summary:
Results-driven professional with a background in law, seeking to leverage project management skills to drive long-term growth, innovation, and continuous improvement. Completed the Google Project Management Certificate program, including Agile Project Management, and a course in Agile with Atlassian Jira.

Experience:

Leading Specialist, Regulatory and Legal Sector
- Utilized analytical and organizational skills to establish departmental workflows from inception
- Managed cases involving educational rights violations, analyzing legislation and proposing reforms
- Contributed to amendments of key legislative documents, including the resolution of the Chief State Sanitary Doctor of Ukraine (No. 50, August 22, 2020)
- Developed proposals for accounting and wage policies in distance and mixed learning environments for pedagogical workers

Project Analyst, International Renaissance Foundation
- Conducted analysis of educational law during martial law to enhance understanding of regulatory frameworks

Education and Certifications:
- Google Project Management Certificate program, including Agile Project Management
- Agile with Atlassian Jira course

Career Goals:
Seeking a mentorship opportunity to expand knowledge and acquire valuable skills in project management, particularly in IT project management, to enhance competitiveness and contribute to a company's success."
26,"Results-driven professional with 2+ years of experience in Workforce Management (WFM) and a strong background in team leadership, process improvement, and project management.

Key Achievements:
- Successfully implemented Team Cross Training project, enhancing team collaboration and support capabilities
- Developed and set up processes to improve the billing process, increasing efficiency and accuracy
- Created trackers for accounting hours spent on non-productive activities, utilized by Team Leads and Operations management
- Resolved multiple issues in WFM team workflow, resulting in improved client and employee satisfaction, reduced attrition rate, 100% schedule efficiency, and over 90% schedule adherence

Professional Experience:
Workforce Scheduling Coordinator (Vinted project)
- Managed team and served as a point of contact between internal teams and stakeholders
- Improved workflow from constant critical client escalations to occasional minor issues
- Trained WFM team members and implemented processes for simplified billing

Education and Training:
- Currently finishing IT Project Management course
- Completed CLIMB Leadership program, presenting the Team Cross-training project
- Studying PM Agile methodologies and tools, applying them to a personal project

Previous Experience:
Customer Support Representative
Language Specialist (English, Spanish)
Freelance Copywriter
Queue Monitoring Specialist 

Skills: Team Leadership, Process Improvement, Project Management, Workforce Management, Billing Process, Agile Methodologies, Team Collaboration, Client Relations, Employee Satisfaction, Schedule Efficiency, Time Tracking, Workflow Optimization."
27,"Results-driven HR and Resource Management professional with 12 years of experience in multicultural environments, including leadership roles managing up to 6 people and individual contributor positions. Proven expertise in human resources management, recruitment, budget management, conflict management, and people management. Successfully established processes from scratch, including onboarding, performance management, motivation programs, candidate experience, and education. Skilled in negotiation and problem-solving, with a cost-efficient approach to delivering results. Collaborated closely with stakeholders from the US, UK, Switzerland, and Germany.

Key Responsibilities:
- Manage a competence group of up to 140 people
- Oversee budget and cost management, with a focus on crisis response
- Support the PM office in implementing staffing strategy
- Provide business support for retention strategy
- Assist with career and personal development, retraining, and mentorship programs
- Promote the internal employer brand
- Manage conflicts effectively

Recently completed a Project Manager retraining program, enhancing skills and pursuing new opportunities. Committed to continuous learning and professional development, with a focus on identifying and addressing skills gaps."
