,Modified_anthropic_claude-3.5-sonnet_of_Modified_claude-sonnet-4-20250514_of_CV_Modelclaude-sonnet-4-20250514_Modelanthropic_claude-3.5-sonnet
10,"Yana
UX/UI Designer

PROFESSIONAL SUMMARY
Results-driven UX/UI designer specializing in modern minimalism and functional design with proven experience in creating user-centric digital solutions. Demonstrated success in delivering comprehensive design systems, from concept to interactive prototypes, while optimizing user experiences across multiple platforms. Strong background in competitor analysis and user profiling, consistently meeting project objectives through data-informed design decisions.

CORE COMPETENCIES
• Design Systems & Components
• User Experience (UX) Design
• Interface Design & Prototyping
• Responsive Web Design
• Visual Design & Typography
• User Research & Analysis
• Cross-platform Solutions

TECHNICAL EXPERTISE
• Design Tools: Figma (advanced), Adobe Illustrator, Adobe Photoshop, Miro
• Design Systems: Component libraries, Style guides, Variants
• Prototyping: Interactive workflows, User flows, Wireframes
• Standards: Material Design, Apple Human Interface Guidelines

PROJECT EXPERIENCE

Landing Page Design | Sugaring Salon
• Executed comprehensive competitor analysis to identify market opportunities
• Developed detailed user personas to guide design decisions
• Implemented strategic color theory and typography principles
• Delivered complete landing page solution aligned with business objectives

Website Redesign Project
• Developed scalable design system with reusable components and variants
• Created interactive prototypes and wireframes for improved user experience
• Designed responsive product cards utilizing advanced autolayout features
• Established consistent cross-platform design language

PROFESSIONAL PREFERENCES
• Position Type: Full-time or part-time
• Work Environment: Remote-capable
• Industry Focus: Product companies, E-commerce, Social impact
• Team Structure: Collaborative environment with defined leadership
• Project Types: Innovation-driven initiatives
• Schedule: Flexible arrangements"
11,"Yulia
UI/UX Designer

PROFESSIONAL SUMMARY
Detail-oriented UI/UX designer with demonstrated success in delivering user-centric digital solutions and brand experiences. Brings 4 years of hands-on experience in visual design, combining creative expertise with technical proficiency to craft engaging digital interfaces and brand identities. Known for effective client collaboration across global markets and consistent delivery of high-impact design solutions.

PROFESSIONAL EXPERIENCE

Freelance Design Professional
• Spearheaded end-to-end brand identity development for diverse clients across food manufacturing, retail, and service industries
• Orchestrated comprehensive visual content strategies, incorporating custom photography and video production
• Developed and implemented Instagram-optimized design solutions, driving client engagement and brand visibility
• Executed user-focused landing pages and micro-sites, ensuring optimal visual hierarchy and user experience
• Created strategic presentation materials and documentation for internal stakeholders

KEY PROJECTS
• Brand Identity Development: Conceptualized and executed complete visual identity systems
• Digital Interface Design: Crafted responsive landing pages and micro-sites
• Content Creation: Produced professional photography and video content for marketing campaigns
• Social Media Design: Developed visually cohesive Instagram profiles and content strategies

EDUCATION

Mobile Apps Design - Projector (2023)
UX/UI Design - Beetroot Academy (2022)

TECHNICAL EXPERTISE
• UI/UX Design
• Figma
• Brand Identity Design
• Visual Content Creation
• Landing Page Design
• Digital Interface Development

LANGUAGES
English (Fluent)
Polish (Fluent)

PROFESSIONAL OBJECTIVE
Seeking to leverage UI/UX expertise in a dynamic creative agency environment, focusing on innovative digital solutions and collaborative design projects that drive client success and user engagement."
12,"**UI/UX Designer**

Results-driven UI/UX Designer with proven expertise in creating intuitive digital experiences that enhance user satisfaction and drive business objectives. Specializes in end-to-end design process, from research to implementation, with a strong focus on user-centered design principles.

**Professional Experience**

**UI/UX Design Lead - Certification Project**
• Spearheaded the development of a comprehensive e-commerce platform, delivering an intuitive order builder function that met all stakeholder requirements
• Led collaborative research initiatives with a team of six designers, conducting market analysis and competitive research to identify opportunities
• Developed and executed user research strategy, including survey design and implementation, reaching significant user base
• Synthesized quantitative and qualitative data to create actionable insights, resulting in evidence-based design decisions
• Architected complete user experience through development of user personas, customer journey maps, and information architecture
• Created high-fidelity wireframes and interactive prototypes, ensuring seamless user flow across all touchpoints
• Designed and implemented responsive interfaces for desktop and mobile platforms
• Established comprehensive UI kit using atomic design principles, ensuring consistent design language
• Conducted thorough usability testing to validate design solutions and implement user feedback
• Ensured WCAG compliance and accessibility standards across all interfaces

**Technical Proficiency**
• Figma (Advanced): Component architecture, auto-layout, variants, styles, prototyping, FigJam collaboration
• Design Systems: Material Design, Human Interface Guidelines
• Responsive Design: Desktop, iOS, and Android platforms

**Core Competencies**
• User Research & Analysis
• Information Architecture
• Wireframing & Prototyping
• Usability Testing
• Interface Design
• Design System Development
• Competitive Analysis
• User Journey Mapping
• Mobile-First Design
• Accessibility Standards"
13,"**Junior UI/UX Designer**

**Professional Summary**
Results-driven UI/UX Designer with demonstrated expertise in crafting user-centric digital experiences across multiple platforms. Proven track record of successfully delivering responsive web solutions through effective cross-functional collaboration and iterative design processes. Specialized in creating intuitive interfaces that enhance user engagement and satisfaction.

**Professional Experience**

**UI/UX Designer**
6-Month Tenure

*Website Design - Agricultural and Construction Equipment Rental Platform*
• Spearheaded end-to-end user interface design, implementing comprehensive design systems
• Orchestrated responsive design solutions across desktop, mobile, and tablet platforms
• Executed user experience testing to optimize interface functionality and user flow
• Developed high-fidelity prototypes and mockups for stakeholder review
• Maintained seamless collaboration with development and QA teams throughout project lifecycle

*IT Company Website Redesign Project*
• Conceptualized and implemented complete visual design system including typography, color schemes, and iconography
• Engineered responsive layouts ensuring consistent user experience across all devices
• Created detailed prototypes and mockups for client approval and development guidance
• Facilitated effective communication between design, development, and QA teams

**Technical Proficiencies**
• UI Design: Typography, Color Theory, Layout Design, Iconography
• UX Design: Wireframing, Prototyping, User Testing
• Responsive Design: Multi-platform Optimization
• Collaboration Tools & Workflows
• Design Documentation

**Education & Certifications**
• 6 Design Courses - Certificates Available
• English Language Certification

**Career Objective**
Seeking to leverage current expertise in UI/UX design while pursuing growth opportunities toward senior designer role through continued professional development and hands-on experience."
14,"**UX/UI DESIGNER**

Results-driven UX/UI Designer with expertise in digital marketing and communications. Specializes in creating intuitive, user-centric designs for web and mobile applications, combining creative vision with strategic business insights. Proven ability to translate complex requirements into engaging digital experiences.

**PROFESSIONAL EXPERIENCE**

**Communication Strategy Expert**  
ABINBEV, Prague | March 2022 – Present
- Drive communication strategy development and implementation
- Collaborate with cross-functional teams to deliver cohesive brand messaging
- Optimize user engagement through strategic communication initiatives

**Visual Communication Lecturer**  
OMD Czech, Prague | September 2021 – Present
- Deliver expert instruction in visual communication principles and practices
- Design and implement comprehensive learning curricula
- Mentor students in developing effective visual communication skills

**SMM Expert** | March 2021 – Present
- Execute social media strategies to enhance brand presence
- Create engaging digital content aligned with user preferences
- Monitor and analyze social media metrics for continuous improvement

**Marketing Manager**  
DOMKYSRDCEM s.r.o, Prague | September 2021 – Present
- Lead marketing initiatives and campaign development
- Direct brand strategy and implementation
- Oversee digital marketing operations

**Media Planner**  
OMD Czech, Prague | November 2018 – March 2022
- Developed and executed strategic media plans
- Analyzed market trends and campaign performance
- Managed client relationships and budget allocation

**KEY PROJECTS**

**AhojStudent.com Web Redesign**
- Executed complete website restructuring
- Enhanced user navigation and content accessibility
- Improved overall user experience through strategic design solutions

**CleanUp Web Service Creation**
- Designed intuitive service discovery platform
- Implemented user-friendly category navigation
- Created seamless professional matching system

**SwiftShop - Smart Supermarket Payment App**
- Developed innovative payment solution interface
- Streamlined checkout process
- Integrated advanced technology with intuitive design

**WORKPLACE VALUES**
- Career advancement opportunities
- Remote work flexibility
- Professional development programs
- Collaborative work environment"
15,"**UI/UX Designer**

**Professional Summary**
Results-driven UI/UX Designer with demonstrated expertise in creating intuitive digital experiences across web and mobile platforms. Proven track record of executing end-to-end design solutions from research to implementation. Skilled in translating business requirements into user-centered designs that enhance engagement and satisfaction. Currently expanding expertise through advanced studies at GoIT International EdTech Company.

**Professional Experience**

**Medical Service Platform | Lead UI/UX Designer**
- Spearheaded user experience design for comprehensive healthcare platform connecting patients with medical professionals
- Designed intuitive interface for complex medical history access, appointment scheduling, and laboratory test management
- Engineered seamless chat functionality enabling 24/7 doctor-patient communication
- Implemented automated consultation recording and reporting system enhancing healthcare documentation

**Tattoo Studio Website | UI/UX Designer**
- Led complete redesign initiative improving visual appeal, accessibility, and user engagement
- Conducted comprehensive market research and user analysis to inform design strategy
- Developed and implemented complete UI kit ensuring consistent brand experience
- Created responsive design system optimizing user experience across desktop, mobile, and tablet devices

**Flower Shop Landing Page | UI/UX Designer**
- Designed conversion-focused landing page incorporating modern design principles and brand elements
- Executed thorough competitor analysis to identify market opportunities and differentiators
- Developed custom color palette and typography system aligned with brand identity
- Implemented responsive design ensuring seamless cross-platform functionality

**Technical Expertise**
- User Interface Design
- User Experience Design
- Prototype Development
- Market Research & Analysis
- Responsive Design
- UI Kit Creation
- Cross-platform Design
- User Research Methodologies

**Education**
Current Student, UI/UX Design Program
GoIT International EdTech Company"
16,"**Junior UX/UI Designer**

Results-driven UX/UI Designer with expertise in creating intuitive digital experiences through user-centered design principles. Demonstrated success in leading cross-functional teams and delivering comprehensive design solutions for web and mobile applications. Skilled in transforming complex requirements into clean, engaging interfaces that drive user engagement and conversion rates.

**Professional Experience**

**Team Lead & UX/UI Designer - ""PawPatrol"" Web Service**
• Spearheaded end-to-end design process for a pet-finding web service, leading a cross-functional team to successful project completion
• Conducted comprehensive user research and developed detailed personas to inform design decisions
• Created high-fidelity wireframes and interactive prototypes using Figma
• Established cohesive design system including style guide and UI kit
• Managed project timeline and team deliverables while ensuring design quality

**UX/UI Designer - ""Cucina de Caterina"" Italian Sauce Store**
• Executed complete website redesign to enhance user experience and drive sales
• Conducted competitive analysis to identify market opportunities and user pain points
• Developed information architecture optimizing product discovery and purchase flow
• Created responsive design solutions ensuring seamless cross-platform experience
• Delivered comprehensive UI kit for consistent brand implementation

**UX/UI Designer - ""eChair"" Gaming Chairs**
• Designed conversion-focused landing page for gaming chair product line
• Conducted user research to identify target audience preferences and behaviors
• Created wireframes and prototypes optimizing the purchase journey
• Developed comprehensive UI kit maintaining brand consistency

**Technical Skills**
• Design Tools: Figma, Adobe Photoshop, Adobe Illustrator
• Deliverables: Wireframes, Prototypes, User Flows, Style Guides, UI Kits
• Methodologies: User Research, JTBD, Competitive Analysis

Available for remote positions with collaborative teams."
17,"**SENIOR UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**
Results-driven UI/UX designer with 13+ years of leadership experience spanning design, photography, interior design, and finance sectors. Demonstrated success in delivering innovative digital solutions through human-centered design approaches. Pioneer in implementing AI-driven design workflows, consistently achieving enhanced project efficiency and user satisfaction.

**CORE COMPETENCIES**
• User Experience Design & Research
• User Interface Design & Development
• Design System Architecture
• Cross-functional Team Leadership
• Brand Identity & Visual Design
• Interactive Prototyping
• Digital & Print Production
• Fintech Solutions Design

**UI/UX DESIGN ACHIEVEMENTS**

**Mobile Photography Platform**
• Spearheaded end-to-end design of innovative marketplace connecting photographers with clients across multiple cities
• Executed comprehensive UX research and user testing to optimize platform usability
• Delivered full-scale design solutions including brand identity, wireframes, UI components, and interactive prototypes
• Implemented user-centered design methodologies resulting in intuitive booking flow

**Travel Accommodation Web Platform**
• Architected complete web-based solution for service-exchange accommodation marketplace
• Led UX research initiatives to validate user needs and optimize platform functionality
• Developed cohesive brand identity and visual design system
• Created responsive UI designs and high-fidelity interactive prototypes

**Independent Design Projects**
• LensLink Mobile Application
• Sleep for Sweat Web Platform

**CREATIVE EXPERTISE**
• Brand Identity Development
• Print & Digital Design
• Vector Illustration
• Commercial Photography
• Professional Photo Retouching
• Specialized Photography Services

**CAREER OBJECTIVE**
Seeking a senior design position to drive innovation and excellence while contributing to team success in an environment that offers professional advancement and growth opportunities."
18,"Web Designer
Lviv | Seeking Full-Time Position

PROFESSIONAL EXPERIENCE

Web Design Intern | Sigma Software
• Spearheaded the design of a high-impact social initiatives portal, implementing modern UI/UX principles to enhance user engagement
• Optimized user experience through data-driven design solutions and iterative improvements
• Executed comprehensive user research to inform strategic design decisions and maximize interface effectiveness
• Orchestrated collaborative ideation sessions resulting in innovative design concepts
• Developed and refined high-fidelity wireframes and interactive prototypes across multiple platforms
• Created compelling visual presentations for stakeholder buy-in and project implementation
• Successfully bridged design-to-development gap through clear documentation and effective communication

EDUCATION
Master's Degree in Musical Art | 2016-2022

TECHNICAL EXPERTISE
• UI/UX Design
• HTML & CSS
• Mobile Application Design
• Responsive Website Design
• Wireframing & Prototyping
• Cross-platform Interface Development
• iOS Design Guidelines (in progress)
• Material Design Guidelines (in progress)

CORE STRENGTHS
• User Research & Analysis
• Design Conceptualization
• Cross-functional Collaboration
• Strategic Problem-Solving
• Continuous Learning
• Design Trend Analysis

PORTFOLIO
Featured work samples available on Behance and Instagram"
19,"UI/UX Designer

Results-driven UI/UX Designer specializing in intuitive digital experiences that bridge user needs with business objectives. Demonstrated success in creating high-impact interfaces across web and mobile platforms, achieving 3,100+ Behance portfolio views through compelling design solutions.

Professional Experience

MedMeet Web Service
Lead UI/UX Designer | Healthcare Communication Platform
• Spearheaded interface design for comprehensive telemedicine platform, integrating video conferencing capabilities
• Architected intuitive medical history management system and prescription interface
• Orchestrated seamless collaboration in agile two-person development team

MyScan Mobile Application
UI/UX Designer | Retail Payment Solution
• Engineered user-centric mobile payment interface for streamlined supermarket transactions
• Designed intuitive product scanning system and digital receipt management functionality
• Implemented comprehensive purchase history tracking features

Barbershop Landing Page
UI/UX Designer | Customer Acquisition Platform
• Crafted conversion-focused landing page incorporating strategic visual elements
• Integrated streamlined appointment booking system to maximize customer engagement
• Optimized user flow to enhance lead generation and booking conversions

Glass Office Partitions Website
UI/UX Designer | Commercial Website Redesign
• Executed complete website redesign focusing on improved information architecture
• Developed efficient consultation request system
• Enhanced user journey to optimize business conversion rates

Technical Expertise
• UI/UX Design
• User Interface Development
• Mobile Application Design
• Web Service Design
• Information Architecture
• User Experience Optimization
• Team Leadership
• Project Collaboration"
20,"**Junior UI/UX Designer**

**Professional Summary**
Results-driven UI/UX designer specializing in user-centered digital solutions with proven success delivering end-to-end design projects for diverse clients. Combines strong design fundamentals with effective client communication to transform business requirements into intuitive, engaging user experiences. Demonstrated expertise in responsive design, prototyping, and UI kit development.

**Education**
UI/UX Design Course - Shendricov Education
Intensive 3-month program with focus on practical application

**Professional Experience**
**Freelance UI/UX Designer**
- Independently secured and executed client projects, managing full design lifecycle from concept to implementation
- Lead designer for psychology practice website, delivering comprehensive design solutions
- Successfully transformed client requirements into polished, user-centered design deliverables

**Selected Projects**

**Sky Epil Depilation Studio Landing Page**
- Designed conversion-focused landing page for established beauty services business
- Developed complete design system including typography, color schemes, and UI components
- Delivered responsive design optimized for multiple devices

**Psychology Practice Website**
- Spearheading development of multi-page professional website
- Created cohesive brand identity through comprehensive design system
- Implementing responsive design strategy across all pages

**Personal Portfolio Website**
- Conceptualized and executed multi-page responsive website
- Showcased full-stack design capabilities through blog integration

**Technical Skills**
- User Interface Design
- User Experience Design
- Prototype Development
- Typography Systems
- Color Theory
- Responsive Design
- UI Kit Development
- Project Management
- Client Relations

**Professional Objectives**
Seeking collaborative role within established design team to further develop expertise in UI/UX design while contributing to innovative digital solutions. Committed to continuous learning and professional growth in user-centered design practices."
